,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2862.00000,,2862.00000,3217.00000,,-371.00000,,685.00000,142.00000,543.00000,543.00000,,509.00000,811.58600,815.84600,0.63000,0.62000
2022-09-30,5337.00000,1058.00000,4279.00000,2952.00000,3649.00000,630.00000,,630.00000,242.00000,388.00000,388.00000,,319.00000,811.30400,814.51600,0.39000,0.39000
2022-06-30,4589.00000,335.00000,4254.00000,3142.00000,3159.00000,1095.00000,,1095.00000,231.00000,864.00000,864.00000,,835.00000,810.90300,813.59000,1.03000,1.03000
2022-03-31,4006.00000,80.00000,3926.00000,2991.00000,3008.00000,918.00000,,918.00000,153.00000,765.00000,765.00000,,699.00000,809.46900,813.98600,0.86000,0.86000
2021-12-31,4067.00000,52.00000,4015.00000,2931.00000,2950.00000,1065.00000,,1065.00000,196.00000,869.00000,869.00000,,822.00000,811.46300,817.34500,1.01000,1.01000
2021-09-30,4087.00000,52.00000,4035.00000,2854.00000,2873.00000,1162.00000,,1162.00000,219.00000,943.00000,943.00000,,881.00000,844.08800,849.02800,1.04000,1.04000
2021-06-30,4000.00000,40.00000,3960.00000,2672.00000,2692.00000,1268.00000,,1268.00000,241.00000,1027.00000,1027.00000,,991.00000,869.46000,873.47500,1.14000,1.13000
2021-03-31,4004.00000,83.00000,3921.00000,2744.00000,2768.00000,1153.00000,,1153.00000,221.00000,932.00000,932.00000,,858.00000,882.55800,885.65500,0.97000,0.97000
2020-12-31,3939.00000,96.00000,3843.00000,2914.00000,2940.00000,903.00000,,903.00000,148.00000,755.00000,755.00000,,702.00000,889.92800,891.84600,0.79000,0.79000
2020-09-30,3964.00000,117.00000,3847.00000,2664.00000,2690.00000,1157.00000,,1157.00000,213.00000,944.00000,944.00000,,876.00000,889.49900,891.06900,0.98000,0.98000
2020-06-30,4173.00000,163.00000,4010.00000,2803.00000,2829.00000,1181.00000,,1181.00000,216.00000,965.00000,965.00000,,901.00000,889.02000,890.56100,1.01000,1.01000
2020-03-31,4864.00000,756.00000,4108.00000,2855.00000,2881.00000,1227.00000,,1227.00000,265.00000,962.00000,962.00000,,944.00000,894.12200,896.68900,1.05000,1.05000
2019-12-31,5684.00000,906.00000,4778.00000,2928.00000,2956.00000,1822.00000,,1822.00000,373.00000,1449.00000,1449.00000,,1385.00000,911.32400,914.73900,1.52000,1.52000
2019-09-30,5073.00000,1212.00000,3861.00000,2544.00000,2574.00000,1287.00000,,1287.00000,246.00000,1041.00000,1041.00000,,999.00000,933.26400,935.67700,1.07000,1.07000
2019-06-30,5087.00000,1163.00000,3924.00000,2609.00000,2639.00000,1285.00000,,1285.00000,264.00000,1021.00000,1021.00000,,965.00000,951.28100,953.92800,1.01000,1.01000
2019-03-31,4978.00000,1079.00000,3899.00000,2677.00000,2706.00000,1193.00000,,1193.00000,237.00000,956.00000,956.00000,,905.00000,962.39700,965.96000,0.94000,0.94000
2018-12-31,4986.00000,979.00000,4007.00000,2952.00000,2987.00000,1020.00000,,1020.00000,150.00000,870.00000,870.00000,,827.00000,984.34300,988.65000,0.84000,0.84000
2018-09-30,4812.00000,743.00000,4069.00000,2687.00000,2735.00000,1334.00000,,1334.00000,220.00000,1114.00000,1114.00000,,1068.00000,999.80800,1003.66500,1.07000,1.06000
2018-06-30,4775.00000,637.00000,4138.00000,2696.00000,2744.00000,1394.00000,,1394.00000,286.00000,1108.00000,1108.00000,,1048.00000,1010.17900,1014.35700,1.04000,1.03000
2018-03-31,4640.00000,462.00000,4178.00000,2685.00000,2734.00000,1444.00000,,1444.00000,282.00000,1162.00000,1162.00000,,1127.00000,1016.79700,1021.73100,1.11000,1.10000
2017-12-31,4096.00000,368.00000,3728.00000,2948.00000,3000.00000,728.00000,,728.00000,-453.00000,1181.00000,1181.00000,,1118.00000,1024.82800,1030.40400,1.09000,1.08000
2017-09-30,4328.00000,312.00000,4016.00000,2596.00000,2648.00000,1368.00000,,1368.00000,348.00000,1020.00000,1020.00000,,983.00000,1035.33700,1041.13800,0.94000,0.94000
2017-06-30,4182.00000,226.00000,3956.00000,2595.00000,2648.00000,1308.00000,,1308.00000,332.00000,976.00000,976.00000,,913.00000,1035.82900,1041.87900,0.88000,0.88000
2017-03-31,4011.00000,168.00000,3843.00000,2585.00000,2637.00000,1206.00000,,1206.00000,269.00000,937.00000,937.00000,,866.00000,1041.15800,1047.74600,0.83000,0.83000
2016-12-31,3887.00000,97.00000,3790.00000,2571.00000,2631.00000,1159.00000,-7.00000,1152.00000,280.00000,872.00000,872.00000,,809.00000,1050.88800,1056.81800,0.77000,0.77000
2016-09-30,4041.00000,100.00000,3941.00000,2545.00000,2606.00000,1335.00000,-18.00000,1317.00000,324.00000,993.00000,993.00000,,959.00000,1062.24800,1067.68200,0.90000,0.90000
2016-06-30,3899.00000,123.00000,3776.00000,2545.00000,2604.00000,1172.00000,-7.00000,1165.00000,290.00000,875.00000,875.00000,,812.00000,1072.58300,1078.27100,0.76000,0.75000
2016-03-31,3847.00000,117.00000,3730.00000,2565.00000,2622.00000,1108.00000,-17.00000,1091.00000,283.00000,808.00000,808.00000,,793.00000,1079.64100,1085.28400,0.73000,0.73000
2015-12-31,3800.00000,74.00000,3726.00000,2773.00000,2837.00000,889.00000,-18.00000,871.00000,175.00000,696.00000,696.00000,,628.00000,1088.88000,1096.38500,0.58000,0.57000
2015-09-30,3869.00000,79.00000,3790.00000,2604.00000,2670.00000,1120.00000,-11.00000,1109.00000,282.00000,827.00000,827.00000,,814.00000,1098.00300,1105.64500,0.74000,0.74000
2015-06-30,3954.00000,68.00000,3886.00000,2597.00000,2662.00000,1224.00000,-59.00000,1165.00000,276.00000,889.00000,889.00000,,821.00000,1113.79000,1122.13500,0.74000,0.73000
2015-03-31,3871.00000,79.00000,3792.00000,2639.00000,2705.00000,1087.00000,3.00000,1090.00000,280.00000,810.00000,810.00000,,754.00000,1118.60200,1126.30600,0.67000,0.67000
2014-12-31,3779.00000,90.00000,3689.00000,2652.00000,2725.00000,964.00000,-800.00000,164.00000,-93.00000,257.00000,257.00000,,205.00000,1120.67200,1129.04000,0.18000,0.18000
2014-09-30,4699.00000,88.00000,4611.00000,2654.00000,2729.00000,1882.00000,-220.00000,1662.00000,556.00000,1106.00000,1106.00000,,1050.00000,1126.94600,1134.87100,0.93000,0.93000
2014-06-30,3837.00000,92.00000,3745.00000,2737.00000,2812.00000,933.00000,-122.00000,811.00000,217.00000,594.00000,594.00000,,544.00000,1133.55600,1139.80000,0.48000,0.48000
2014-03-31,3731.00000,84.00000,3647.00000,2658.00000,2733.00000,914.00000,12.00000,926.00000,232.00000,694.00000,694.00000,,648.00000,1138.64500,1144.51000,0.57000,0.57000
