,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3114.00000,1804.00000,1310.00000,-10.00000,10.00000,1300.00000,-13.00000,1287.00000,274.00000,1013.00000,1013.00000,1013.00000,,1300.00000,157.29810,158.20000,6.44000,6.40000
2022-09-30,1408.00000,1969.00000,-561.00000,-4.00000,4.00000,-565.00000,-14.00000,-579.00000,-161.00000,-418.00000,-418.00000,-418.00000,-539.00000,-565.00000,158.00000,158.00000,-2.64000,-2.64000
2022-06-30,820.00000,1843.00000,-1023.00000,-5.00000,5.00000,-1028.00000,-13.00000,-1041.00000,-233.00000,-808.00000,-808.00000,-808.00000,-1002.00000,-1028.00000,159.60000,159.60000,-5.06000,-5.06000
2022-03-31,1215.00000,1558.00000,-343.00000,-4.00000,4.00000,-347.00000,-13.00000,-360.00000,-87.00000,-273.00000,-273.00000,-273.00000,-318.00000,-347.00000,160.40000,160.40000,-1.70000,-1.70000
2021-12-31,3323.00000,1457.00000,1866.00000,-6.00000,6.00000,1860.00000,-14.00000,1846.00000,376.00000,1470.00000,1470.00000,1470.00000,1909.00000,1860.00000,161.00000,162.70000,9.13000,9.03000
2021-09-30,1785.00000,1583.00000,202.00000,-5.00000,5.00000,197.00000,-13.00000,184.00000,31.00000,153.00000,153.00000,153.00000,220.00000,197.00000,161.10000,162.90000,0.95000,0.94000
2021-06-30,2295.00000,1405.00000,890.00000,-5.00000,5.00000,885.00000,-13.00000,872.00000,169.00000,703.00000,703.00000,703.00000,908.00000,885.00000,161.10000,162.90000,4.36000,4.31000
2021-03-31,2227.00000,1442.00000,785.00000,-4.00000,4.00000,781.00000,-13.00000,768.00000,148.00000,620.00000,620.00000,620.00000,804.00000,781.00000,161.00000,162.50000,3.85000,3.82000
2020-12-31,2694.00000,1359.00000,1335.00000,-5.00000,5.00000,1330.00000,-14.00000,1316.00000,267.00000,1049.00000,1049.00000,1049.00000,1377.00000,1330.00000,161.20000,162.40000,6.45000,6.43000
2020-09-30,2227.00000,1595.00000,632.00000,-5.00000,5.00000,627.00000,-13.00000,614.00000,130.00000,484.00000,484.00000,484.00000,647.00000,627.00000,160.90000,162.00000,3.01000,2.99000
2020-06-30,2714.00000,1550.00000,1164.00000,-5.00000,5.00000,1159.00000,-14.00000,1145.00000,236.00000,909.00000,909.00000,909.00000,1179.00000,1159.00000,160.80000,161.50000,5.65000,5.63000
2020-03-31,-99.00000,1459.00000,-1558.00000,-5.00000,5.00000,-1563.00000,-13.00000,-1576.00000,-350.00000,-1226.00000,-1226.00000,-1226.00000,-1541.00000,-1563.00000,162.20000,162.20000,-7.56000,-7.56000
2019-12-31,2152.00000,1352.00000,800.00000,-6.00000,6.00000,794.00000,-13.00000,781.00000,155.00000,626.00000,626.00000,626.00000,812.00000,794.00000,163.20000,165.10000,3.84000,3.80000
2019-09-30,1700.00000,1387.00000,313.00000,-5.00000,5.00000,308.00000,-14.00000,294.00000,46.00000,248.00000,248.00000,248.00000,326.00000,308.00000,163.30000,165.60000,1.51000,1.49000
2019-06-30,1913.00000,1366.00000,547.00000,-4.00000,4.00000,543.00000,-13.00000,530.00000,102.00000,428.00000,428.00000,428.00000,560.00000,543.00000,163.30000,165.20000,2.62000,2.59000
2019-03-31,2159.00000,1271.00000,888.00000,-8.00000,8.00000,880.00000,-13.00000,867.00000,172.00000,695.00000,695.00000,695.00000,899.00000,880.00000,163.00000,164.60000,4.27000,4.22000
2018-12-31,710.00000,1272.00000,-562.00000,-6.00000,6.00000,-568.00000,-13.00000,-581.00000,-129.00000,-452.00000,-452.00000,-452.00000,-553.00000,-568.00000,163.20000,164.50000,-2.78000,-2.76000
2018-09-30,1915.00000,1280.00000,635.00000,-3.00000,3.00000,632.00000,-14.00000,618.00000,65.00000,553.00000,553.00000,553.00000,648.00000,632.00000,162.70000,164.00000,3.40000,3.38000
2018-06-30,1558.00000,1278.00000,280.00000,-3.00000,3.00000,277.00000,-13.00000,264.00000,47.00000,217.00000,217.00000,217.00000,291.00000,277.00000,163.20000,164.50000,1.33000,1.32000
2018-03-31,1224.00000,1257.00000,-33.00000,-4.00000,4.00000,-37.00000,-13.00000,-50.00000,-19.00000,-31.00000,-31.00000,-31.00000,-19.00000,-37.00000,164.00000,164.00000,-0.19000,-0.19000
2017-12-31,1411.00000,1198.00000,213.00000,-2.00000,2.00000,211.00000,-14.00000,197.00000,-445.00000,642.00000,642.00000,642.00000,226.00000,211.00000,164.20000,166.00000,3.91000,3.87000
2017-09-30,1412.00000,1267.00000,145.00000,-3.00000,3.00000,142.00000,-13.00000,129.00000,27.00000,102.00000,102.00000,102.00000,155.00000,142.00000,164.00000,165.90000,0.62000,0.61000
2017-06-30,1386.00000,1241.00000,145.00000,-4.00000,4.00000,141.00000,-13.00000,128.00000,28.00000,100.00000,100.00000,100.00000,154.00000,141.00000,164.30000,166.00000,0.61000,0.60000
2017-03-31,1523.00000,1230.00000,293.00000,-4.00000,4.00000,289.00000,-13.00000,276.00000,75.00000,201.00000,201.00000,201.00000,303.00000,289.00000,164.60000,166.50000,1.22000,1.21000
2016-12-31,1312.00000,1168.00000,144.00000,-2.00000,2.00000,142.00000,-14.00000,128.00000,28.00000,100.00000,100.00000,100.00000,156.00000,142.00000,164.50000,166.50000,0.61000,0.60000
2016-09-30,1402.00000,1133.00000,269.00000,-3.00000,3.00000,266.00000,-13.00000,253.00000,73.00000,180.00000,180.00000,180.00000,276.00000,266.00000,164.60000,166.80000,1.09000,1.08000
2016-06-30,1371.00000,1187.00000,184.00000,-5.00000,5.00000,179.00000,-13.00000,166.00000,43.00000,123.00000,123.00000,123.00000,191.00000,179.00000,164.50000,166.50000,0.75000,0.74000
2016-03-31,1364.00000,1084.00000,280.00000,-2.00000,2.00000,278.00000,-13.00000,265.00000,77.00000,188.00000,188.00000,188.00000,290.00000,278.00000,164.20000,166.00000,1.14000,1.13000
2015-12-31,1263.00000,1031.00000,232.00000,-3.00000,3.00000,229.00000,-13.00000,216.00000,60.00000,156.00000,156.00000,156.00000,242.00000,229.00000,164.00000,165.60000,0.96000,0.95000
2015-09-30,1278.00000,1018.00000,260.00000,-3.00000,3.00000,257.00000,-14.00000,243.00000,69.00000,174.00000,174.00000,174.00000,269.00000,257.00000,164.00000,165.50000,1.06000,1.05000
2015-06-30,1316.00000,1052.00000,264.00000,-3.00000,3.00000,261.00000,-13.00000,248.00000,72.00000,176.00000,176.00000,176.00000,274.00000,261.00000,164.10000,165.50000,1.07000,1.06000
2015-03-31,1285.00000,1094.00000,191.00000,-4.00000,4.00000,187.00000,-13.00000,174.00000,46.00000,128.00000,128.00000,128.00000,201.00000,187.00000,164.00000,165.60000,0.78000,0.77000
2014-12-31,1262.00000,1009.00000,253.00000,-4.00000,4.00000,249.00000,-13.00000,236.00000,69.00000,167.00000,167.00000,167.00000,262.00000,249.00000,163.50000,165.10000,1.02000,1.01000
2014-09-30,1280.00000,1005.00000,275.00000,-3.00000,3.00000,272.00000,-13.00000,259.00000,76.00000,183.00000,183.00000,183.00000,285.00000,272.00000,163.50000,165.00000,1.12000,1.11000
2014-06-30,1214.00000,1091.00000,123.00000,-3.00000,3.00000,120.00000,-13.00000,107.00000,23.00000,84.00000,84.00000,84.00000,132.00000,120.00000,163.50000,165.10000,0.51000,0.51000
2014-03-31,1189.00000,1052.00000,137.00000,-4.00000,4.00000,133.00000,-14.00000,119.00000,28.00000,91.00000,91.00000,91.00000,146.00000,133.00000,163.40000,165.00000,0.56000,0.55000
2013-12-31,1172.00000,988.00000,184.00000,-3.00000,3.00000,181.00000,-14.00000,167.00000,45.00000,122.00000,122.00000,122.00000,201.00000,181.00000,163.50000,165.40000,0.74000,0.73000
2013-09-30,1152.00000,954.00000,198.00000,-3.00000,3.00000,195.00000,-13.00000,182.00000,51.00000,131.00000,131.00000,131.00000,205.00000,195.00000,163.70000,165.60000,0.80000,0.79000
