,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,24020.00000,4360.00000,19660.00000,17159.00000,17159.00000,2501.00000,,2501.00000,-127.00000,2628.00000,2628.00000,2585.00000,3805.20000,3837.00000,0.67000,0.67000
2022-09-30,21901.00000,2396.00000,19505.00000,15111.00000,15111.00000,4394.00000,,4394.00000,894.00000,3500.00000,3500.00000,3250.00000,3796.50000,3825.10000,0.86000,0.85000
2022-06-30,18386.00000,1358.00000,17028.00000,13463.00000,13463.00000,3565.00000,,3565.00000,613.00000,2952.00000,2952.00000,2839.00000,3793.80000,3819.60000,0.75000,0.74000
2022-03-31,18552.00000,960.00000,17592.00000,13078.00000,13078.00000,4514.00000,-5.00000,4509.00000,707.00000,3802.00000,3802.00000,3393.00000,3831.10000,3868.90000,0.89000,0.88000
2021-12-31,21715.00000,859.00000,20856.00000,12680.00000,12680.00000,8176.00000,-66.00000,8110.00000,1711.00000,6399.00000,6399.00000,5470.00000,4061.90000,4096.20000,1.39000,1.38000
2021-09-30,19759.00000,925.00000,18834.00000,11907.00000,11907.00000,6927.00000,-1.00000,6926.00000,1521.00000,5405.00000,5405.00000,4787.00000,4056.30000,4090.40000,1.18000,1.17000
2021-06-30,21163.00000,893.00000,20270.00000,12085.00000,12085.00000,8185.00000,4.00000,8189.00000,1445.00000,6744.00000,6744.00000,5743.00000,4124.60000,4156.10000,1.39000,1.38000
2021-03-31,19770.00000,1238.00000,18532.00000,12928.00000,12928.00000,5604.00000,-13.00000,5591.00000,901.00000,4690.00000,4690.00000,4256.00000,4141.30000,4171.00000,1.03000,1.02000
2020-12-31,20140.00000,1195.00000,18945.00000,13842.00000,13842.00000,5103.00000,-781.00000,4322.00000,768.00000,3554.00000,3554.00000,3003.00000,4118.00000,4134.20000,0.73000,0.73000
2020-09-30,20748.00000,1432.00000,19316.00000,15280.00000,15280.00000,4036.00000,-718.00000,3318.00000,-83.00000,3401.00000,3401.00000,2901.00000,4123.80000,4132.20000,0.70000,0.70000
2020-06-30,20207.00000,1921.00000,18286.00000,24085.00000,24085.00000,-5799.00000,,-5799.00000,-2001.00000,-3798.00000,-3798.00000,-4160.00000,4105.50000,4105.50000,-1.01000,-1.01000
2020-03-31,21132.00000,3415.00000,17717.00000,17053.00000,17053.00000,664.00000,,664.00000,159.00000,505.00000,505.00000,42.00000,4104.80000,4135.30000,0.01000,0.01000
2019-12-31,26024.00000,4395.00000,21629.00000,16616.00000,16616.00000,5013.00000,,5371.00000,2282.00000,3089.00000,3089.00000,2711.00000,4393.10000,4425.40000,0.67000,0.67000
2019-09-30,26884.00000,4874.00000,22010.00000,15894.00000,15894.00000,6116.00000,,6116.00000,1304.00000,4812.00000,4812.00000,4037.00000,4358.50000,4389.60000,0.93000,0.92000
2019-06-30,26475.00000,4891.00000,21584.00000,13925.00000,13952.00000,7632.00000,,7632.00000,1294.00000,6338.00000,6338.00000,5848.00000,4469.40000,4495.00000,1.31000,1.30000
2019-03-31,26301.00000,4692.00000,21609.00000,14733.00000,14761.00000,6848.00000,,6848.00000,881.00000,5967.00000,5967.00000,5507.00000,4551.50000,4584.00000,1.21000,1.20000
2018-12-31,25257.00000,4277.00000,20980.00000,15611.00000,15611.00000,5369.00000,,7120.00000,966.00000,6154.00000,6154.00000,5711.00000,4799.70000,4838.40000,1.22000,1.21000
