,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,30444.00000,12438.00000,18006.00000,14830.00000,14830.00000,3176.00000,,3176.00000,640.00000,2536.00000,2536.00000,-2.00000,2513.00000,1936.90000,1955.90000,1.29740,1.16000
2022-09-30,25864.00000,7356.00000,18508.00000,14114.00000,14114.00000,4394.00000,,4394.00000,879.00000,3515.00000,3515.00000,-6.00000,3174.00000,1936.80000,1955.10000,1.64000,1.63000
2022-06-30,23304.00000,3666.00000,19638.00000,13667.00000,13667.00000,5971.00000,,5971.00000,1182.00000,4789.00000,4789.00000,-221.00000,4274.00000,1941.50000,1958.10000,2.20000,2.19000
2022-03-31,21466.00000,2280.00000,19186.00000,13920.00000,13920.00000,5266.00000,,5266.00000,941.00000,4325.00000,4325.00000,-2.00000,4306.00000,1971.70000,1988.20000,2.03000,2.02000
2021-12-31,19026.00000,2009.00000,17017.00000,13067.00000,13067.00000,3950.00000,,3950.00000,771.00000,3179.00000,3179.00000,,3759.00000,2033.00000,2049.40000,1.53000,1.52000
2021-09-30,19406.00000,1959.00000,17447.00000,11585.00000,11585.00000,5862.00000,,5862.00000,1193.00000,4669.00000,4669.00000,-1.00000,4352.00000,2009.30000,2026.20000,2.17000,2.15000
2021-06-30,19738.00000,1985.00000,17753.00000,10405.00000,10405.00000,7348.00000,,7348.00000,1155.00000,6193.00000,6193.00000,10.00000,5899.00000,2056.50000,2073.00000,2.87000,2.85000
2021-03-31,21695.00000,2028.00000,19667.00000,9358.00000,9358.00000,10309.00000,,10309.00000,2332.00000,7977.00000,7977.00000,-2.00000,7942.00000,2082.00000,2096.60000,3.64000,3.62000
2020-12-31,19063.00000,1361.00000,17702.00000,12261.00000,12261.00000,5441.00000,,5441.00000,1116.00000,4325.00000,4325.00000,6.00000,4562.00000,2085.80000,2099.00000,1.93000,1.92000
2020-09-30,20123.00000,2821.00000,17302.00000,13348.00000,13348.00000,3954.00000,,3954.00000,777.00000,3177.00000,3177.00000,-7.00000,3146.00000,2081.80000,2094.30000,1.37000,1.36000
2020-06-30,23275.00000,3509.00000,19766.00000,18657.00000,18657.00000,1109.00000,,1109.00000,52.00000,1057.00000,1057.00000,-1.00000,803.00000,2081.70000,2084.30000,0.38000,0.38000
2020-03-31,26378.00000,5647.00000,20731.00000,17603.00000,17603.00000,3128.00000,,3128.00000,580.00000,2548.00000,2548.00000,-18.00000,2536.00000,2097.90000,2113.70000,1.06000,1.06000
2019-12-31,24926.00000,5767.00000,19159.00000,13457.00000,13457.00000,5702.00000,,5702.00000,703.00000,4999.00000,4999.00000,-4.00000,4416.00000,2249.20000,2249.20000,2.16000,2.15000
2019-09-30,26110.00000,7536.00000,18574.00000,12552.00000,12552.00000,6022.00000,,6022.00000,1079.00000,4943.00000,4943.00000,-15.00000,4913.00000,2220.80000,2237.10000,2.09000,2.07000
2019-06-30,26520.00000,7762.00000,18758.00000,12593.00000,12593.00000,6165.00000,,6165.00000,1373.00000,4792.00000,4792.00000,17.00000,4453.00000,2286.10000,2289.00000,1.95000,1.95000
2019-03-31,25893.00000,7317.00000,18576.00000,12564.00000,12564.00000,6012.00000,,6012.00000,1275.00000,4737.00000,4737.00000,-2.00000,4389.00000,2340.40000,2342.40000,1.88000,1.87000
2018-12-31,23977.00000,6853.00000,17124.00000,11818.00000,11818.00000,5306.00000,,5306.00000,1001.00000,4305.00000,4305.00000,-8.00000,3306.00000,2493.30000,2493.30000,1.65000,1.64000
2018-09-30,24757.00000,6368.00000,18389.00000,12285.00000,12285.00000,6104.00000,,6104.00000,1471.00000,4633.00000,4633.00000,-8.00000,4622.00000,2479.80000,2481.40000,1.73000,1.73000
2018-06-30,24354.00000,5885.00000,18469.00000,12524.00000,12524.00000,5945.00000,,5945.00000,1444.00000,4501.00000,4501.00000,15.00000,4123.00000,2530.90000,2532.30000,1.63000,1.63000
2018-03-31,24032.00000,5160.00000,18872.00000,12782.00000,12782.00000,6090.00000,,6090.00000,1441.00000,4649.00000,4649.00000,-7.00000,4620.00000,2561.60000,2563.00000,1.68000,1.68000
2017-12-31,22041.00000,4537.00000,17504.00000,12405.00000,12405.00000,5099.00000,,5099.00000,23864.00000,-18765.00000,-18765.00000,-109.00000,-19450.00000,2698.50000,2698.50000,-7.03000,-7.15890
2017-09-30,22798.00000,4379.00000,18419.00000,12416.00000,12416.00000,6003.00000,,6003.00000,1866.00000,4137.00000,4137.00000,-5.00000,3808.00000,2683.60000,2683.70000,1.42000,1.42000
2017-06-30,22191.00000,4036.00000,18155.00000,12477.00000,12477.00000,5678.00000,,5678.00000,1795.00000,3883.00000,3883.00000,21.00000,3504.00000,2739.10000,2739.20000,1.28000,1.28000
2017-03-31,21932.00000,3566.00000,18366.00000,12385.00000,12385.00000,5981.00000,,5981.00000,1863.00000,4118.00000,4118.00000,-18.00000,4090.00000,2765.30000,2765.50000,1.35000,1.47890
2016-12-31,21212.00000,3278.00000,17934.00000,12834.00000,12834.00000,5100.00000,,5100.00000,1509.00000,3591.00000,3591.00000,-3.00000,3204.00000,2888.10000,2888.10000,1.14000,1.14000
2016-09-30,20934.00000,3174.00000,17760.00000,12140.00000,12140.00000,5620.00000,,5620.00000,1733.00000,3887.00000,3887.00000,-30.00000,3562.00000,2879.90000,2880.10000,1.24000,1.24000
2016-06-30,20668.00000,3120.00000,17548.00000,11778.00000,11778.00000,5770.00000,,5770.00000,1723.00000,4047.00000,4047.00000,-23.00000,3623.00000,2915.80000,2915.90000,1.24000,1.24000
2016-03-31,20495.00000,2940.00000,17555.00000,12568.00000,12568.00000,4987.00000,,4987.00000,1479.00000,3508.00000,3508.00000,-2.00000,3251.00000,2943.00000,2943.10000,1.10000,1.10000
2015-12-31,21357.00000,2901.00000,18456.00000,13648.00000,13648.00000,4808.00000,,4808.00000,1403.00000,3405.00000,3405.00000,-45.00000,2966.00000,3004.00000,3007.70000,1.02000,1.03000
2015-09-30,21633.00000,2941.00000,18692.00000,12505.00000,12505.00000,6187.00000,,6187.00000,1881.00000,4306.00000,4306.00000,-10.00000,4061.00000,2993.30000,2996.90000,1.36000,1.35000
2015-06-30,22521.00000,3051.00000,19470.00000,12576.00000,12576.00000,6894.00000,,6894.00000,2036.00000,4858.00000,4858.00000,6.00000,4580.00000,3020.00000,3025.00000,1.52000,1.51000
2015-03-31,22764.00000,3028.00000,19736.00000,12799.00000,12799.00000,6937.00000,,6937.00000,2120.00000,4817.00000,4817.00000,-5.00000,4642.00000,3034.20000,3039.30000,1.51000,1.51000
2014-12-31,21058.00000,3159.00000,17899.00000,16439.00000,16439.00000,1460.00000,,1460.00000,1077.00000,383.00000,383.00000,-1.00000,74.00000,3031.60000,3037.00000,0.06000,0.06000
2014-09-30,23014.00000,3325.00000,19689.00000,14705.00000,14705.00000,4984.00000,,4984.00000,2068.00000,2916.00000,2916.00000,-16.00000,2713.00000,3029.50000,3034.80000,0.88000,0.88000
2014-06-30,23040.00000,3615.00000,19425.00000,17251.00000,17251.00000,2174.00000,,2174.00000,1921.00000,253.00000,253.00000,-22.00000,81.00000,3033.80000,3038.30000,0.03000,0.03000
2014-03-31,23797.00000,3591.00000,20206.00000,14123.00000,14123.00000,6083.00000,,6083.00000,2131.00000,3952.00000,3952.00000,37.00000,3820.00000,3037.40000,3043.30000,1.24000,1.23000
2013-12-31,21821.00000,3737.00000,18084.00000,14364.00000,14364.00000,3720.00000,,3720.00000,1409.00000,2311.00000,2311.00000,181.00000,2371.00000,3035.80000,3041.60000,0.76000,0.77000
2013-09-30,21856.00000,3952.00000,17904.00000,13638.00000,13638.00000,4266.00000,,4266.00000,1080.00000,3186.00000,3186.00000,92.00000,3117.00000,3034.30000,3040.90000,1.01000,1.00000
2013-06-30,24646.00000,4158.00000,20488.00000,14173.00000,14173.00000,6315.00000,,6315.00000,2127.00000,4188.00000,4188.00000,30.00000,4173.00000,3040.70000,3046.30000,1.35000,1.34000
2013-03-31,24578.00000,4330.00000,20248.00000,14747.00000,14747.00000,5501.00000,,5501.00000,1570.00000,3931.00000,3931.00000,-33.00000,3804.00000,3040.10000,3044.70000,1.23000,1.23000
2012-12-31,22347.00000,4653.00000,17694.00000,16625.00000,16625.00000,1069.00000,,1069.00000,-223.00000,1292.00000,1292.00000,-68.00000,1187.00000,2930.60000,3015.50000,0.40000,0.39000
2012-09-30,18729.00000,5026.00000,13703.00000,14712.00000,14712.00000,-1009.00000,,-1009.00000,-1494.00000,485.00000,485.00000,8.00000,464.00000,2926.80000,3015.30000,0.15000,0.15000
2012-06-30,23730.00000,5343.00000,18387.00000,14690.00000,14690.00000,3697.00000,,3697.00000,718.00000,2979.00000,2979.00000,7.00000,2937.00000,2926.60000,3015.00000,0.98000,0.95000
2012-03-31,24996.00000,5590.00000,19406.00000,15338.00000,15338.00000,4068.00000,,4068.00000,1006.00000,3062.00000,3062.00000,-5.00000,2927.00000,2926.20000,3014.50000,0.98000,0.95000
2011-12-31,21839.00000,5687.00000,16152.00000,14965.00000,14965.00000,1187.00000,,1187.00000,145.00000,1042.00000,1042.00000,-44.00000,947.00000,2909.80000,2998.80000,0.32000,0.32000
2011-09-30,26862.00000,6031.00000,20831.00000,15811.00000,15811.00000,5020.00000,,5020.00000,1278.00000,3742.00000,3742.00000,1.00000,3767.00000,2910.80000,2998.60000,1.27000,1.23000
