,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,47409.00000,12862.00000,34547.00000,21310.00000,21310.00000,13237.00000,,13237.00000,2229.00000,11008.00000,11008.00000,10598.00000,2962.90000,2967.10000,3.58000,3.57000
2022-09-30,40809.00000,8093.00000,32716.00000,20715.00000,20715.00000,12001.00000,,12001.00000,2264.00000,9737.00000,9737.00000,9255.00000,2961.20000,2965.40000,3.13000,3.12000
2022-06-30,34233.00000,3518.00000,30715.00000,19850.00000,19850.00000,10865.00000,,10865.00000,2216.00000,8649.00000,8649.00000,8195.00000,2962.20000,2966.30000,2.77000,2.76000
2022-03-31,32341.00000,1624.00000,30717.00000,20654.00000,20654.00000,10063.00000,,10063.00000,1781.00000,8282.00000,8282.00000,7845.00000,2977.00000,2981.00000,2.64000,2.63000
2021-12-31,30675.00000,1418.00000,29257.00000,16600.00000,16600.00000,12657.00000,,12657.00000,2258.00000,10399.00000,10399.00000,9927.00000,3021.50000,3026.60000,3.35000,3.34000
2021-09-30,31047.00000,1400.00000,29647.00000,15536.00000,15536.00000,14111.00000,,14111.00000,2424.00000,11687.00000,11687.00000,11229.00000,2999.90000,3005.10000,3.74000,3.74000
2021-06-30,31832.00000,1353.00000,30479.00000,15382.00000,15382.00000,15097.00000,,15097.00000,3149.00000,11948.00000,11948.00000,11496.00000,3036.60000,3041.90000,3.79000,3.78000
2021-03-31,33648.00000,1382.00000,32266.00000,14569.00000,14569.00000,17697.00000,,17697.00000,3397.00000,14300.00000,14300.00000,13851.00000,3073.50000,3078.90000,4.51000,4.50000
2020-12-31,30627.00000,1292.00000,29335.00000,14159.00000,14159.00000,15176.00000,,15176.00000,3040.00000,12136.00000,12136.00000,11699.00000,3082.40000,3087.40000,3.78000,3.80000
2020-09-30,30942.00000,1687.00000,29255.00000,17486.00000,17486.00000,11769.00000,,11769.00000,2326.00000,9443.00000,9443.00000,9015.00000,3077.80000,3082.80000,2.93000,2.92000
2020-06-30,35334.00000,2259.00000,33075.00000,27415.00000,27415.00000,5660.00000,,5660.00000,973.00000,4687.00000,4687.00000,4265.00000,3076.30000,3081.00000,1.39000,1.38000
2020-03-31,33008.00000,4722.00000,28286.00000,25076.00000,25076.00000,3210.00000,,3210.00000,345.00000,2865.00000,2865.00000,2431.00000,3095.80000,3100.70000,0.79000,0.78000
2019-12-31,34320.00000,5761.00000,28559.00000,17673.00000,17673.00000,10886.00000,,10886.00000,2366.00000,8520.00000,8520.00000,8091.00000,3221.50000,3230.40000,2.58000,2.57000
2019-09-30,36184.00000,6893.00000,29291.00000,17886.00000,17886.00000,11405.00000,,11405.00000,2325.00000,9080.00000,9080.00000,8606.00000,3198.50000,3207.20000,2.69000,2.68000
2019-06-30,35952.00000,7205.00000,28747.00000,17405.00000,17405.00000,11342.00000,,11342.00000,1690.00000,9652.00000,9652.00000,9192.00000,3250.60000,3259.70000,2.83000,2.82000
2019-03-31,36059.00000,6936.00000,29123.00000,17890.00000,17890.00000,11233.00000,,11233.00000,2054.00000,9179.00000,9179.00000,8753.00000,3298.00000,3308.20000,2.65000,2.65000
2018-12-31,31909.00000,6046.00000,25863.00000,17022.00000,17022.00000,8841.00000,,8841.00000,1775.00000,7066.00000,7066.00000,6643.00000,3396.40000,3414.00000,2.00000,2.00000
2018-09-30,32791.00000,5531.00000,27260.00000,16571.00000,16571.00000,10689.00000,,10689.00000,2309.00000,8380.00000,8380.00000,7948.00000,3376.10000,3394.30000,2.35000,2.34000
2018-06-30,32834.00000,5081.00000,27753.00000,17181.00000,17181.00000,10572.00000,,10572.00000,2256.00000,8316.00000,8316.00000,7880.00000,3415.20000,3434.70000,2.31000,2.29000
2018-03-31,32290.00000,4383.00000,27907.00000,17245.00000,17245.00000,10662.00000,,10662.00000,1950.00000,8712.00000,8712.00000,8238.00000,3458.30000,3479.50000,2.38000,2.37000
2017-12-31,28022.00000,3565.00000,24457.00000,16203.00000,16203.00000,8254.00000,,8254.00000,4022.00000,4232.00000,4232.00000,3775.00000,3551.60000,3576.80000,1.09000,1.08000
2017-09-30,29467.00000,3889.00000,25578.00000,16022.00000,16022.00000,9556.00000,,9556.00000,2824.00000,6732.00000,6732.00000,6262.00000,3534.70000,3559.60000,1.77000,1.76000
2017-06-30,29173.00000,3442.00000,25731.00000,15982.00000,15982.00000,9749.00000,,9749.00000,2720.00000,7029.00000,7029.00000,6555.00000,3574.10000,3599.00000,1.83000,1.82000
2017-03-31,27917.00000,2978.00000,24939.00000,16598.00000,16598.00000,8341.00000,,8341.00000,1893.00000,6448.00000,6448.00000,5975.00000,3601.70000,3630.40000,1.66000,1.65000
2016-12-31,26990.00000,2713.00000,24277.00000,15598.00000,15598.00000,8679.00000,,8679.00000,1952.00000,6727.00000,6727.00000,6248.00000,3658.80000,3690.00000,1.72000,1.71000
2016-09-30,27140.00000,2467.00000,24673.00000,15734.00000,15734.00000,8939.00000,,8939.00000,2653.00000,6286.00000,6286.00000,5812.00000,3637.70000,3669.80000,1.60000,1.58000
2016-06-30,26846.00000,2466.00000,24380.00000,15040.00000,15040.00000,9340.00000,,9340.00000,3140.00000,6200.00000,6200.00000,5728.00000,3675.50000,3706.20000,1.56000,1.55000
2016-03-31,25411.00000,2172.00000,23239.00000,15661.00000,15661.00000,7578.00000,,7578.00000,2058.00000,5520.00000,5520.00000,5046.00000,3710.60000,3737.60000,1.36000,1.35000
2015-12-31,24815.00000,1930.00000,22885.00000,15514.00000,15514.00000,7371.00000,,7371.00000,1937.00000,5434.00000,5434.00000,5153.00000,3741.20000,3773.60000,1.33000,1.33000
2015-09-30,24595.00000,1815.00000,22780.00000,16050.00000,16050.00000,6730.00000,,6730.00000,-74.00000,6804.00000,6804.00000,6270.00000,3694.40000,3725.60000,1.70000,1.68000
