,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5923.00000,4644.00000,1279.00000,236.00000,283.00000,996.00000,-105.00000,891.00000,218.00000,673.00000,673.00000,673.00000,1066.00000,996.00000,324.40000,325.80000,2.12000,2.10000
2022-09-30,5313.00000,4087.00000,1226.00000,216.00000,268.00000,958.00000,-89.00000,869.00000,239.00000,630.00000,630.00000,630.00000,1030.00000,958.00000,324.50000,325.70000,1.94000,1.94000
2022-06-30,5338.00000,4108.00000,1230.00000,231.00000,280.00000,950.00000,-72.00000,878.00000,200.00000,678.00000,678.00000,678.00000,1018.00000,950.00000,328.20000,329.50000,2.06000,2.06000
2022-03-31,4199.00000,3376.00000,823.00000,208.00000,265.00000,558.00000,-82.00000,476.00000,99.00000,377.00000,377.00000,377.00000,630.00000,558.00000,328.30000,330.00000,1.15000,1.14000
2021-12-31,4446.00000,3544.00000,902.00000,213.00000,267.00000,635.00000,-87.00000,548.00000,80.00000,468.00000,468.00000,468.00000,708.00000,635.00000,327.20000,329.30000,1.43000,1.42000
2021-09-30,3946.00000,3121.00000,825.00000,212.00000,280.00000,545.00000,-267.00000,278.00000,58.00000,220.00000,220.00000,220.00000,630.00000,545.00000,327.30000,329.30000,0.67000,0.67000
2021-06-30,3149.00000,2423.00000,726.00000,187.00000,240.00000,486.00000,-105.00000,381.00000,-41.00000,422.00000,422.00000,422.00000,554.00000,486.00000,327.10000,329.10000,1.29000,1.28000
2021-03-31,2316.00000,1968.00000,348.00000,211.00000,264.00000,84.00000,-111.00000,-27.00000,-16.00000,-11.00000,-11.00000,-11.00000,153.00000,84.00000,326.70000,326.70000,-0.03000,-0.03000
2020-12-31,2172.00000,1784.00000,388.00000,183.00000,516.00000,-128.00000,-186.00000,-314.00000,-150.00000,-164.00000,-164.00000,-164.00000,-19.00000,-128.00000,325.80000,325.80000,-0.51000,-0.50000
2020-09-30,2254.00000,1817.00000,437.00000,131.00000,185.00000,252.00000,-125.00000,127.00000,27.00000,100.00000,100.00000,100.00000,353.00000,252.00000,325.90000,326.80000,0.31000,0.31000
2020-06-30,1464.00000,1362.00000,102.00000,178.00000,256.00000,-154.00000,-144.00000,-298.00000,-64.00000,-234.00000,-234.00000,-234.00000,-61.00000,-154.00000,325.60000,325.60000,-0.72000,-0.72000
2020-03-31,4681.00000,4149.00000,532.00000,270.00000,418.00000,114.00000,-95.00000,19.00000,-12.00000,31.00000,31.00000,31.00000,289.00000,114.00000,325.40000,327.40000,0.10000,0.09000
2019-12-31,5371.00000,4704.00000,667.00000,267.00000,393.00000,274.00000,52.00000,326.00000,47.00000,279.00000,279.00000,279.00000,470.00000,274.00000,332.70000,335.50000,0.86000,0.86000
2019-09-30,5284.00000,4396.00000,888.00000,220.00000,281.00000,607.00000,-80.00000,527.00000,140.00000,387.00000,387.00000,387.00000,675.00000,607.00000,329.90000,332.50000,1.17000,1.16000
2019-06-30,5305.00000,4438.00000,867.00000,229.00000,458.00000,409.00000,-95.00000,314.00000,82.00000,232.00000,232.00000,232.00000,480.00000,409.00000,333.80000,336.40000,0.70000,0.69000
2019-03-31,5012.00000,4217.00000,795.00000,222.00000,285.00000,510.00000,-78.00000,432.00000,57.00000,375.00000,375.00000,375.00000,578.00000,510.00000,339.60000,342.80000,1.10000,1.09000
2018-12-31,5289.00000,4472.00000,817.00000,242.00000,395.00000,422.00000,-77.00000,345.00000,28.00000,317.00000,317.00000,317.00000,498.00000,422.00000,350.10000,354.20000,0.94000,0.92000
2018-09-30,5051.00000,4170.00000,881.00000,221.00000,285.00000,596.00000,-2.00000,594.00000,91.00000,503.00000,503.00000,503.00000,661.00000,596.00000,346.70000,350.60000,1.45000,1.43000
2018-06-30,5409.00000,4298.00000,1111.00000,217.00000,293.00000,818.00000,56.00000,874.00000,207.00000,667.00000,667.00000,667.00000,888.00000,818.00000,353.40000,357.30000,1.89000,1.87000
2018-03-31,5009.00000,4144.00000,865.00000,247.00000,335.00000,530.00000,2.00000,532.00000,112.00000,420.00000,420.00000,420.00000,603.00000,530.00000,358.40000,363.30000,1.17000,1.16000
2017-12-31,5251.00000,-10783.00000,16034.00000,270.00000,15610.00000,424.00000,610.00000,1034.00000,920.00000,114.00000,114.00000,114.00000,493.00000,424.00000,375.20000,379.90000,0.34000,0.32000
