,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,432.98500,546.03090,-0.91100,545.11990,14.81000,-2.45600,975.64900,-151.50900,53.11300,53.11300,244.35400,145.95800,-353.72600,-353.72600,-170.51500,-170.51500,-596.66400,-16.65900,-1137.56400,-15.95700,7.20600,-596.66400
2021-12-31,515.69100,529.60400,-173.35500,356.24900,11.02100,33.31900,905.25900,-88.67700,-7.22800,-7.22800,-301.49200,-397.39700,33.26100,33.26100,48.87000,48.87000,-572.23900,-43.15700,-533.26500,-25.40300,7.30800,-572.23900
2020-12-31,599.33200,513.09600,-295.95700,217.13900,-2.98100,-13.36300,803.10800,-369.10200,30.08600,30.08600,-77.88400,-416.90000,481.59910,481.59910,-254.74600,-254.74600,-567.08800,-43.02600,-383.26100,2.94700,8.15700,-567.08800
2019-12-31,464.44800,460.94800,-45.04300,415.90500,9.17500,38.72600,919.07900,-440.82900,101.07300,101.07300,-187.93500,-527.69100,73.67380,73.67380,53.01700,53.01700,-535.74700,-52.63300,-461.68900,-70.30100,7.01000,-535.74700
2018-12-31,413.59900,459.66000,-46.87900,412.78100,0.31900,0.17400,826.55400,-5.18000,-6.43100,-6.43100,-48.28200,-59.89300,-110.62500,-110.62500,-45.93900,-45.93900,-513.23200,-6.59600,-676.39200,90.26900,7.13500,-513.23200
2017-12-31,458.04300,447.81400,-119.60200,328.21200,-3.17400,-16.64800,769.60700,-354.62800,-32.41200,-32.41200,-180.90000,-567.94000,90.82090,90.82090,115.69000,115.69000,-477.17700,-40.17700,-310.84300,-109.17600,9.28600,-477.17700
2016-12-31,438.41000,412.23700,-138.39100,273.84600,2.23400,4.53600,716.79200,-300.40600,11.67900,11.67900,-124.34400,-413.07100,247.26210,247.26210,17.52000,-56.23000,-436.46800,-11.03800,-256.47400,47.24700,9.81100,-436.46800
2015-12-31,248.23900,421.67300,-45.02300,376.65000,2.15400,-6.72100,618.16800,-511.24100,-5.39300,-5.39300,-208.92200,-725.55600,148.50400,148.50400,358.67700,358.67700,-388.31200,-11.41300,107.45600,4.07300,6.06100,-388.31200
2014-12-31,134.43800,336.59500,-19.29900,317.29600,17.34500,41.57800,493.31200,-559.41700,-11.76300,-11.76300,-575.97600,-1147.15600,279.38600,279.38600,542.41800,542.41800,-278.03900,-23.15500,520.61000,7.11900,8.74000,-278.03900
2013-12-31,172.05500,198.33400,-63.91300,134.42100,-1.56600,-1.49400,304.98200,-405.24300,7.73000,7.73000,-56.18300,-453.69600,218.16090,218.16090,142.70700,142.70700,-199.15600,-13.11300,148.59900,-0.11500,4.50800,-199.15600
2012-12-31,139.59000,175.37100,-51.97200,123.39900,-7.85000,4.51000,267.49900,-487.18200,-12.03200,-12.03200,-312.92400,-812.13800,374.53600,374.53600,360.36300,360.36300,-172.94100,-11.60200,550.35600,5.71700,4.14100,-172.94100
2011-12-31,57.51600,157.46500,-2.41800,155.04700,0.38800,4.00800,216.57100,-208.95100,24.95000,24.95000,-241.78200,-425.78300,79.54900,79.54900,330.91700,298.32600,-155.58500,-13.94200,208.34800,-0.86400,2.92700,-155.58500
2010-12-31,50.78200,126.01900,-5.21400,120.80500,-0.35900,3.94300,175.53000,-486.22000,52.06500,52.06500,-76.71300,-510.86800,326.17400,326.17400,256.22000,256.22000,-148.42400,-105.53900,328.43100,-6.90700,3.25100,-148.42400
2009-12-31,53.73900,119.73700,4.61000,124.34700,-2.13500,-4.49900,173.58700,-154.26500,-93.43800,-93.43800,28.74500,-218.95800,92.50700,92.50700,179.18300,87.48000,-139.21000,-16.65500,24.12200,-21.24900,3.41200,-139.21000
