,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,870.57300,147.62800,96.59600,244.22400,-6.62400,1.33700,46.93300,-19.42800,1095.36900,-72.89500,-0.00500,,,,-6.43500,-79.33500,347.81200,347.81200,-1397.50600,-1397.50600,-372.91500,-2.77100,-1425.38000,-427.88500,58.09400,-372.91500
2021-12-31,725.98300,139.04800,10.89000,149.93800,-99.20300,-2.19500,94.17300,60.14800,936.06900,-52.79400,-981.86210,,,,-1.05700,-1035.71300,751.93990,751.93990,-198.37400,-198.37400,-302.44900,-21.61200,229.50500,120.92800,54.91700,-302.44900
2020-12-31,601.82200,115.24000,42.12300,157.36300,-57.60600,7.48200,93.43900,51.92400,811.10900,-50.97500,-190.81600,,,,,-241.79100,262.61800,262.61800,-778.51900,-778.51900,-246.44400,-16.69300,-779.03800,-206.04600,51.09400,-246.44400
2019-12-31,563.64800,105.97100,38.31900,144.29000,-25.92300,2.58400,-1.71700,1.58500,709.52300,-53.77000,-18.17700,,,,0.01000,-71.93700,486.87500,486.87500,-288.83900,-288.83900,-222.92200,-11.78100,-36.66700,602.39100,41.19900,-222.92200
2018-12-31,507.88500,89.25000,-23.47300,65.77700,-153.94200,2.30000,156.00400,39.10000,612.76200,-48.95100,83.82500,,,,,34.87400,500.00000,500.00000,-949.28300,-949.28300,-170.93800,-6.26200,-626.48300,14.67400,38.89700,-170.93800
2017-12-31,303.97200,83.38300,18.37800,101.76100,-105.59300,1.02700,78.39900,-1.57500,404.15800,-48.81700,,,0.77100,0.77100,,-48.04600,,,-147.82600,-147.82600,-119.71700,,-267.54300,97.66800,36.57600,-119.71700
2016-12-31,260.85500,84.42100,15.77700,100.19800,-18.49400,-1.91200,68.88600,81.31000,442.36300,-42.62800,0.59700,,,,,-42.03100,500.00000,500.00000,-769.52500,-769.52500,-96.19100,-7.18300,-372.89900,14.12800,32.00100,-96.19100
2015-12-31,223.64800,79.93400,16.20300,96.13700,-30.90000,-0.29800,10.40800,1.46200,321.24700,-49.09700,-6.50000,,6.73600,6.73600,,-48.86100,800.00000,800.00000,-697.08400,-697.08400,-87.74300,-10.47700,4.69600,268.90700,28.55800,-87.74300
2014-12-31,284.11300,84.51300,-63.98300,20.53000,-26.82100,2.12800,17.20700,1.03000,305.67300,-50.85300,347.89000,,,,,297.03700,-10.00000,-10.00000,-399.97000,-399.97000,-20.39300,-11.96500,-442.32800,150.36500,26.58500,-20.39300
2013-12-31,222.55700,84.91900,7.67000,92.58900,-16.41200,-2.14500,17.79700,6.03700,321.18300,-43.51100,-23.26800,70.90000,,70.90000,,4.12100,-48.00000,-48.00000,-100.48100,-100.48100,,1.89700,-146.58400,175.12500,25.00400,
2012-12-31,184.23800,105.36800,-5.96900,99.39900,35.47300,1.97900,35.05300,63.43800,347.07500,-44.53300,-119.55400,69.72600,,69.72600,,-94.36100,-227.47600,-227.47600,-92.67800,-92.67800,,-2.82200,-322.97600,-68.90200,25.32300,
2011-12-31,173.45400,92.05700,31.62700,123.68400,-42.28400,0.05700,-2.92000,-42.14100,254.99700,-23.11100,,-67.50000,,-67.50000,,-90.61100,-187.06200,-187.06200,1.80500,1.80500,,7.26300,-177.99400,-17.21200,31.72300,
2010-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-30,92.17000,68.43900,27.92000,96.35900,-35.85100,-2.65300,24.27800,-5.17500,183.35400,-13.16800,-1101.24300,416.55000,-194.41600,222.13400,,-892.27700,774.26500,774.26500,9.28500,9.28500,,-25.49200,758.05800,50.55100,32.28500,
2009-11-30,81.80100,39.10800,15.40600,54.51400,8.56000,0.68800,-21.63500,-5.37300,130.94200,-13.41200,,-294.80400,,-294.80400,,-308.21600,-22.25000,-22.25000,97.86500,97.86500,,6.92700,82.54200,-92.05300,35.16100,
