,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-05-31,3826.00000,3970.00000,5155.00000,9125.00000,-310.00000,-948.00000,-3119.00000,9832.00000,-6669.00000,,-147.00000,-147.00000,-6816.00000,-161.00000,-161.00000,-2064.00000,-2064.00000,-793.00000,-1.00000,-3019.00000,-190.00000,190.00000,-793.00000
2021-05-31,5231.00000,3793.00000,2983.00000,6776.00000,-1389.00000,-554.00000,-1872.00000,10135.00000,-5782.00000,-228.00000,,,-6010.00000,-2106.00000,-2106.00000,740.00000,740.00000,-686.00000,-38.00000,-2090.00000,2206.00000,200.00000,-686.00000
2020-05-31,1286.00000,4050.00000,3853.00000,7903.00000,-1331.00000,-974.00000,-4092.00000,5097.00000,-5846.00000,,,,-5846.00000,4008.00000,4008.00000,61.00000,61.00000,-679.00000,-9.00000,3381.00000,2562.00000,168.00000,-679.00000
2019-05-31,540.00000,3353.00000,4211.00000,7564.00000,-873.00000,-1047.00000,-2491.00000,5613.00000,-5407.00000,-66.00000,,,-5473.00000,1027.00000,1027.00000,-1379.00000,-1379.00000,-683.00000,-4.00000,-1039.00000,-946.00000,174.00000,-683.00000
2018-05-31,4572.00000,3475.00000,87.00000,3562.00000,-1049.00000,-2552.00000,-3460.00000,4674.00000,-5621.00000,-56.00000,,,-5677.00000,1442.00000,1442.00000,-690.00000,-690.00000,-535.00000,10.00000,227.00000,-704.00000,167.00000,-535.00000
2017-05-31,2997.00000,2995.00000,1140.00000,4135.00000,-556.00000,-1749.00000,-2202.00000,4930.00000,-4981.00000,,,,-4981.00000,1108.00000,1108.00000,-172.00000,-172.00000,-426.00000,18.00000,528.00000,435.00000,154.00000,-426.00000
2016-05-31,1820.00000,2631.00000,1794.00000,4425.00000,-199.00000,-805.00000,-537.00000,5708.00000,-4828.00000,-4618.00000,,,-9446.00000,6478.00000,6478.00000,-2539.00000,-2539.00000,-277.00000,-51.00000,3611.00000,-229.00000,144.00000,-277.00000
2015-05-31,1050.00000,2611.00000,2142.00000,4753.00000,-392.00000,-704.00000,-437.00000,5366.00000,-4323.00000,-1429.00000,,,-5752.00000,2486.00000,2486.00000,-934.00000,-934.00000,-227.00000,24.00000,1349.00000,855.00000,133.00000,-227.00000
2014-05-31,2324.00000,2587.00000,601.00000,3188.00000,-516.00000,-497.00000,-1248.00000,4264.00000,-3515.00000,-36.00000,,,-3551.00000,1743.00000,1743.00000,-4300.00000,-4300.00000,-187.00000,25.00000,-2719.00000,-2009.00000,117.00000,-187.00000
2013-05-31,2716.00000,2386.00000,121.00000,2507.00000,-451.00000,-94.00000,-535.00000,4688.00000,-3320.00000,-483.00000,,,-3803.00000,1322.00000,1322.00000,34.00000,34.00000,-177.00000,5.00000,1184.00000,2074.00000,109.00000,-177.00000
2012-05-31,2032.00000,2113.00000,1525.00000,3638.00000,-254.00000,-725.00000,-835.00000,4835.00000,-3933.00000,-116.00000,,,-4049.00000,-29.00000,-29.00000,-69.00000,-69.00000,-164.00000,18.00000,-244.00000,515.00000,105.00000,-164.00000
2011-05-31,1452.00000,1973.00000,948.00000,2921.00000,-400.00000,-302.00000,-332.00000,4041.00000,-3323.00000,-96.00000,,,-3419.00000,-262.00000,-262.00000,108.00000,108.00000,-151.00000,18.00000,-287.00000,376.00000,98.00000,-151.00000
2010-05-31,1184.00000,1958.00000,574.00000,2532.00000,-906.00000,-382.00000,-578.00000,3138.00000,-2781.00000,,,,-2781.00000,-653.00000,-653.00000,94.00000,94.00000,-138.00000,5.00000,-692.00000,-340.00000,101.00000,-138.00000
2009-05-31,98.00000,1975.00000,1682.00000,3657.00000,762.00000,-1136.00000,-1002.00000,2753.00000,-2383.00000,,,,-2383.00000,499.00000,499.00000,41.00000,41.00000,-137.00000,-3.00000,400.00000,753.00000,99.00000,-137.00000
