,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,
2021-12-31,4325.00000,1170.00000,-468.00000,702.00000,72.00000,-87.00000,103.00000,5051.00000,,-4129.00000,-4129.00000,1751.00000,-2378.00000,453.00000,453.00000,-2275.00000,-2275.00000,-855.00000,-62.00000,-2739.00000,-90.00000,-855.00000
2020-12-31,4778.00000,1214.00000,270.00000,1484.00000,52.00000,881.00000,-486.00000,5958.00000,,-3345.00000,-3345.00000,-1274.00000,-4619.00000,1195.00000,1195.00000,-1503.00000,-1503.00000,-769.00000,-38.00000,-1115.00000,245.00000,-769.00000
2019-12-31,3304.00000,1282.00000,135.00000,1417.00000,-32.00000,652.00000,376.00000,5455.00000,,-3965.00000,-3965.00000,794.00000,-3171.00000,615.00000,615.00000,-1578.00000,-1578.00000,-771.00000,21.00000,-1713.00000,559.00000,-771.00000
2018-12-31,2920.00000,1245.00000,430.00000,1675.00000,-55.00000,839.00000,848.00000,6014.00000,,-3451.00000,-3451.00000,-131.00000,-3582.00000,470.00000,470.00000,-1243.00000,-1243.00000,-793.00000,-50.00000,-1616.00000,846.00000,-793.00000
2017-12-31,4604.00000,1132.00000,151.00000,1283.00000,-91.00000,1422.00000,91.00000,6128.00000,,-4840.00000,-4840.00000,-591.00000,-5431.00000,-121.00000,-121.00000,-1318.00000,-1318.00000,-661.00000,35.00000,-2065.00000,-1368.00000,-661.00000
2016-12-31,2659.00000,1141.00000,14.00000,1155.00000,42.00000,1884.00000,1833.00000,5987.00000,,-4705.00000,-4705.00000,850.00000,-3855.00000,376.00000,376.00000,-1376.00000,-1376.00000,-658.00000,39.00000,-1619.00000,509.00000,-658.00000
2015-12-31,2533.00000,1066.00000,-106.00000,960.00000,147.00000,2217.00000,2328.00000,6776.00000,-40.00000,-1191.00000,-1191.00000,-3666.00000,-4897.00000,-274.00000,-274.00000,-1279.00000,-1279.00000,-656.00000,22.00000,-2187.00000,-308.00000,-656.00000
2014-12-31,2951.00000,,-215.00000,-215.00000,-7.00000,3389.00000,3505.00000,6550.00000,,-690.00000,-690.00000,-3551.00000,-4241.00000,415.00000,415.00000,-1177.00000,-1177.00000,-654.00000,1269.00000,-147.00000,2115.00000,-654.00000
2013-12-31,3158.00000,,-399.00000,-399.00000,-8.00000,6402.00000,7387.00000,10547.00000,,-10150.00000,-10150.00000,-941.00000,-11091.00000,700.00000,700.00000,-725.00000,-725.00000,-635.00000,1796.00000,1136.00000,502.00000,-635.00000
2012-12-31,2866.00000,,349.00000,349.00000,-199.00000,11362.00000,11875.00000,14952.00000,,-22905.00000,-22905.00000,5953.00000,-16952.00000,1165.00000,1165.00000,-86.00000,-86.00000,-603.00000,1469.00000,1945.00000,-208.00000,-603.00000
2011-12-31,1937.00000,,1552.00000,1552.00000,25.00000,6897.00000,7188.00000,10842.00000,,-11414.00000,-11414.00000,585.00000,-10829.00000,158.00000,158.00000,-282.00000,-282.00000,-552.00000,740.00000,64.00000,128.00000,-552.00000
2010-12-31,2328.00000,,422.00000,422.00000,1078.00000,3121.00000,4336.00000,6989.00000,,-7092.00000,-7092.00000,-340.00000,-7432.00000,297.00000,297.00000,-76.00000,-76.00000,-535.00000,475.00000,161.00000,-202.00000,-535.00000
2009-12-31,1497.00000,,1212.00000,1212.00000,406.00000,2661.00000,3206.00000,6161.00000,-83.00000,-4107.00000,-4107.00000,-1286.00000,-5476.00000,845.00000,845.00000,7.00000,7.00000,-524.00000,371.00000,699.00000,1382.00000,-524.00000
