,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-02-28,1151.29700,273.18800,361.67800,634.86600,-288.19500,-1967.43200,-2255.09200,-4335.61300,-2549.45000,-308.27400,-229.26500,13.79400,13.79400,,-523.74500,3621.67000,,3621.67000,-496.67300,-496.67300,-20.13200,3104.86600,31.67100,109.19700
2021-02-28,746.91900,242.15600,317.64100,559.79700,-43.50700,-323.31800,-378.91900,-638.95600,667.76000,-162.69000,29.91100,4.59600,4.59600,,-128.18300,-318.89450,-0.04000,-318.93450,-86.79000,-86.79000,-18.29600,-424.02000,115.55700,121.89900
2020-02-29,888.43300,215.81100,386.23300,602.04400,-51.24000,-326.96100,-1434.32400,-1727.08300,-236.60600,-331.89300,,-57.47100,-57.47100,,-389.36400,1151.52300,-1.08900,1150.43400,-443.35000,-443.35000,-20.10200,686.98300,61.01300,108.86100
2019-02-28,842.41300,182.24700,297.92100,480.16800,-6.52900,-128.76100,-1110.68000,-1159.61000,162.97100,-303.94400,,-4.56900,-4.56900,,-308.51300,1048.67900,1.00200,1049.68100,-846.59600,-846.59600,-17.06300,186.02100,40.47900,75.01100
2018-02-28,664.11200,179.94200,344.52400,524.46600,19.06700,-130.13100,-1196.35000,-1269.12800,-80.55000,-296.71900,,-5.14400,-5.14400,,-301.86300,935.69140,0.06500,935.75640,-506.05000,-506.05000,-16.26100,413.44600,31.03300,61.87900
2017-02-28,626.97000,168.87500,312.80600,481.68100,-20.21700,-328.53400,-1289.79000,-1563.96200,-455.31100,-416.91500,,-3.04400,-3.04400,,-419.95900,1443.85700,-0.36600,1443.49100,-504.46800,-504.46800,-17.11800,921.90600,46.63600,91.59500
2016-02-29,623.42800,137.36000,259.76700,397.12700,5.51900,154.84500,-1274.62500,-1137.31200,-116.75700,-314.04200,,-11.13900,-11.13900,-53.61400,-378.79500,1445.70400,-0.35700,1445.34700,-936.90300,-936.90300,-3.10400,505.34000,9.78800,51.07700
2015-02-28,597.35800,115.17300,234.76300,349.93600,-57.76700,-445.45000,-1464.16700,-1915.42400,-968.13000,-303.94800,,-11.76300,-11.76300,-45.03300,-360.74400,1513.94200,0.20300,1514.14500,-834.51800,-834.51800,48.95200,728.57900,-600.29500,81.88000
2014-02-28,492.58600,101.91100,200.96000,302.87100,12.03800,-123.61100,-1414.45200,-1408.62000,-613.16300,-305.22200,,-5.24600,-5.24600,-26.21300,-336.68100,1373.75800,0.22700,1373.98500,-268.24800,-268.24800,22.64400,1128.38100,178.53700,66.48000
2013-02-28,434.28400,95.28300,155.75000,251.03300,-5.52700,-425.22100,-1032.43500,-1463.75800,-778.44100,-235.70700,,-3.57700,-3.57700,-15.99000,-255.27400,1156.91800,-0.58800,1156.33000,-140.00900,-140.00900,24.10000,1040.42100,6.70600,62.11200
2012-02-29,413.79500,82.81200,109.31300,192.12500,33.16300,-43.11500,-701.27000,-668.08400,-62.16400,-172.60800,,-3.26400,-3.26400,-43.53000,-219.40200,657.86820,-0.05900,657.80910,15.57700,15.57700,9.71700,683.10300,401.53700,48.08900
2011-02-28,377.49500,76.32100,89.99100,166.31200,-40.53800,-206.34400,-294.88100,-550.56490,-6.75800,-76.57200,,4.00100,4.00100,0.35900,-72.21200,54.50610,0.11900,54.62510,38.27700,38.27700,8.91100,101.81300,22.84300,43.60600
2010-02-28,277.84400,75.22800,67.82600,143.05400,-23.55800,-139.97600,-231.58300,-361.37600,59.52200,-21.77200,,0.00400,0.00400,0.44700,-21.32100,-195.71300,0.00500,-195.70800,31.30700,31.30700,3.88100,-160.52000,-122.31900,37.85800
2009-02-28,59.21300,54.74100,4.66200,59.40300,-2.64800,272.62000,-83.72100,145.97500,264.59100,-151.35900,,-3.98700,-3.98700,,-155.34600,27.97300,-20.13900,7.83400,10.16200,10.16200,0.39100,18.38700,127.63200,35.43600
