,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,250.22400,67.15400,14.53400,81.68800,-15.13600,-47.71400,86.05200,-61.67000,-43.23600,289.23100,-51.87200,,0.00000,-34.40000,-34.40000,,-86.27200,-86.86800,-86.86800,-105.94200,-49.56800,-242.37800,-52.90300,29.86400,-105.94200
2021-12-31,257.88800,60.24600,30.43200,90.67800,15.59800,-7.88000,96.21400,-164.30300,-66.00900,282.09100,-50.61600,-17.07800,0.00000,,,,-67.69400,-56.09300,-56.09300,-99.79200,-33.89000,-189.77500,17.51700,27.31400,-99.79200
2020-12-31,299.37700,42.83800,35.71200,78.55000,-18.01500,65.28100,139.33200,-175.67500,27.11200,404.48900,-45.62800,-23.29700,137.79200,,137.79200,,68.86700,-12.12800,-12.12800,-90.56600,-42.41800,-145.11200,333.79700,25.61300,-90.56600
2019-12-31,204.90200,32.65200,27.96800,60.62000,-2.96200,1.92700,-0.82000,2.85900,1.19100,265.93500,-34.70000,-97.43000,10.10900,,10.10900,-0.03000,-122.05100,-16.04900,-16.04900,-76.23100,-25.82000,-118.10000,26.79500,25.29400,-76.23100
2018-12-31,172.85200,23.08000,14.67700,37.75700,-5.11700,-0.07700,14.52400,-1.24000,11.05500,223.91700,-47.59300,,-2.74200,,-2.74200,0.03900,-50.29600,-22.19800,-22.19800,-62.43200,-8.04300,-92.67300,79.30800,15.85000,-62.43200
2017-12-31,148.08900,19.27400,21.01100,40.28500,-2.35300,-18.92000,-1.61400,-5.17500,-22.29200,168.03500,-25.55700,,-28.03700,,-28.03700,-0.05900,-53.65300,-40.48900,-40.48900,-48.88800,-27.69100,-117.06800,-1.22900,14.42100,-48.88800
2016-12-31,126.17200,17.83800,11.93000,29.76800,-10.42900,-75.52200,2.34400,3.56500,-76.82100,89.74700,-18.50300,,-35.09100,,-35.09100,0.41400,-53.18000,-21.62600,-21.62600,-38.49500,-5.17300,-65.29400,-31.48500,14.51100,-38.49500
2015-12-31,96.03700,18.54200,10.09500,28.63700,-6.74800,,-0.00900,1.17100,-6.52700,124.50600,-15.38400,,-21.92700,,-21.92700,-0.64200,-37.95300,-21.33400,-21.33400,-29.53400,-4.49600,-55.36400,30.80400,12.51900,-29.53400
2014-12-31,74.80600,17.37900,9.39500,26.77400,0.82700,,-0.95000,4.40500,6.64700,109.95200,-14.78700,,1.15100,,1.15100,0.61100,-13.02500,-35.46300,-35.46300,-23.94100,-0.81900,-60.22300,36.23300,9.76900,-23.94100
2013-12-31,76.01600,13.05100,-0.09400,12.95700,-1.71400,,0.36400,0.59300,2.20200,90.87900,-23.28200,-28.48100,-17.34000,,-17.34000,-0.01800,-69.12100,3.03900,3.03900,-19.83700,-0.27600,-17.07400,3.78300,8.87900,-19.83700
2012-12-31,60.06900,8.23300,7.74200,15.97500,4.60700,,2.32800,0.27000,4.33400,81.58200,-10.36000,,25.43300,,25.43300,-0.04300,15.03000,-66.60800,-66.60800,-64.04100,-5.52600,-136.17500,-40.71200,8.38500,-64.04100
2011-12-31,47.70400,6.78100,22.98800,29.76900,-11.66500,,0.17800,-1.68500,-13.17200,65.47800,-7.22500,,-4.88300,,-4.88300,3.53200,-8.57600,-4.54300,-4.54300,-13.68300,7.02700,-11.19900,44.62600,6.85900,-13.68300
2010-12-31,31.42800,6.35000,25.33800,31.68800,-3.13400,,1.57500,3.00000,1.44100,64.14600,-7.10900,,-0.64300,,-0.64300,0.03200,-7.72000,-23.23900,-23.23900,-10.63000,0.02000,-33.84900,21.65300,8.96900,-10.63000
2009-12-31,16.10200,6.79000,21.32100,28.11100,-10.51900,,2.82000,6.81300,-0.88600,43.32700,-6.79800,-1.36800,-35.34400,,-35.34400,-0.65500,-44.16500,0.24200,0.24200,-2.65000,-0.23800,-2.64600,-3.98200,8.41400,-2.65000
