,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,700.20000,568.60000,113.90000,682.49990,-138.60000,-487.00000,-625.60000,757.10000,-624.50000,-335.00000,,-959.50000,249.30000,242.20000,491.50000,16.90000,16.90000,-194.20000,-40.50000,273.70000,60.50000,62.60000,-194.20000
2021-12-31,748.50000,489.60000,123.00000,612.60000,-66.20000,39.90000,-26.30000,1334.80000,-464.10000,-2934.10000,,-3398.20000,596.90000,323.40000,920.30000,-23.10000,-23.10000,-196.50000,-83.00000,617.70000,-1459.90000,54.90000,-196.50000
2020-12-31,526.20000,399.30000,-28.30000,371.00000,-93.70000,142.70000,49.00000,946.20000,-421.30000,-61.40000,-10.00000,-492.70000,998.30000,-0.70000,997.60000,41.70000,41.70000,-194.10000,-34.40000,810.80000,1283.30000,54.70000,-194.10000
2019-12-31,-378.10000,337.30000,-33.00000,304.30000,-61.30000,448.90000,387.60000,313.80000,-399.60000,-272.90000,-25.00000,-697.50000,748.30000,-1.80000,746.50000,22.30000,22.30000,-195.30000,-15.60000,557.90000,177.70000,49.70000,-195.30000
2018-12-31,317.00000,315.90000,43.80000,359.70000,-37.40000,32.90000,-4.50000,672.20000,-316.30000,-138.30000,-6.90000,-461.50000,894.50000,-959.20000,-64.70000,11.80000,11.80000,-198.20000,-59.90000,-311.00000,-112.80000,42.50000,-198.20000
2017-12-31,598.00000,290.90000,-5.80000,285.10000,-1.30000,-65.80000,-67.10000,816.00000,-209.60000,-139.90000,,-349.50000,-222.50000,252.40000,29.90000,-57.90000,-57.90000,-195.80000,-39.90000,-263.70000,207.10000,38.30000,-195.80000
2016-12-31,495.10000,268.70000,-11.80000,256.90000,-55.70000,126.70000,71.00000,823.00000,-173.50000,-1791.60000,-10.80000,-1975.90000,1224.70000,73.00000,1297.70000,31.50000,31.50000,-163.40000,-5.50000,1160.30000,36.00000,37.10000,-163.40000
2015-12-31,434.80000,200.00000,-5.50000,194.50000,-26.90000,166.70000,139.80000,769.10000,-146.20000,-1.50000,-0.10000,-147.80000,,-331.00000,-331.00000,-161.90000,-161.90000,-144.20000,-1.90000,-639.00000,-35.00000,38.40000,-144.20000
2014-12-31,374.00000,204.20000,10.80000,215.00000,-27.80000,55.00000,27.20000,616.20000,-86.40000,-340.40000,-2.50000,-429.30000,-290.00000,379.90000,89.90000,-261.90000,-261.90000,-129.10000,17.70000,-283.40000,-107.60000,38.10000,-129.10000
2013-12-31,359.90000,190.30000,5.90000,196.20000,-2.40000,15.30000,12.90000,569.00000,-83.30000,-43.90000,-9.10000,-136.30000,-15.00000,-267.30000,-282.30000,35.90000,35.90000,-117.20000,30.50000,-333.10000,89.10000,32.20000,-117.20000
2012-12-31,280.80000,163.40000,38.50000,201.90000,-17.20000,30.80000,13.60000,496.30000,-66.00000,-1013.90000,-3.70000,-1083.60000,484.00000,234.10000,718.10000,-16.80000,-16.80000,-90.80000,-4.20000,606.30000,19.10000,28.00000,-90.80000
2011-12-31,241.70000,164.90000,53.10000,218.00000,-26.60000,-24.40000,-51.00000,408.70000,-75.00000,-124.90000,-4.20000,-204.10000,-16.70000,24.40000,7.70000,-118.60000,-118.60000,-83.70000,-1.30000,-195.90000,8.30000,24.40000,-83.70000
2010-12-31,274.80000,167.80000,-8.70000,159.10000,-3.60000,-77.70000,-81.30000,352.60000,-99.80000,99.10000,1.70000,1.00000,-25.80000,-134.00000,-159.80000,-138.20000,-138.20000,-40.30000,3.00000,-335.30000,16.30000,21.80000,-40.30000
2009-12-31,240.50000,158.80000,33.00000,191.80000,12.80000,-26.70000,-13.90000,418.40000,-70.70000,-196.00000,-3.40000,-270.10000,-172.60000,101.80000,-70.80000,-13.60000,-13.60000,-24.20000,0.30000,-108.30000,44.90000,19.60000,-24.20000
