,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,99803.00000,11104.00000,10044.00000,21148.00000,-1823.00000,1484.00000,9448.00000,-7909.00000,1200.00000,122151.00000,-10708.00000,,-306.00000,-9560.00000,,-9560.00000,-1780.00000,-22354.00000,-4078.00000,3955.00000,-123.00000,-89402.00000,-89402.00000,-14841.00000,-6383.00000,-110749.00000,-10952.00000,9038.00000,-14841.00000
2021-09-30,94680.00000,11284.00000,2985.00000,14269.00000,-10125.00000,-2642.00000,12326.00000,-4470.00000,-4911.00000,104038.00000,-11085.00000,,-33.00000,-3075.00000,,-3075.00000,-352.00000,-14545.00000,11643.00000,1022.00000,12665.00000,-85971.00000,-85971.00000,-14467.00000,-5580.00000,-93353.00000,-3860.00000,7906.00000,-14467.00000
2020-09-30,57411.00000,11056.00000,6517.00000,17573.00000,6917.00000,-127.00000,-4062.00000,2962.00000,5690.00000,80674.00000,-7309.00000,,-1524.00000,5453.00000,,5453.00000,-909.00000,-4289.00000,3462.00000,-963.00000,2499.00000,-72358.00000,-72358.00000,-14081.00000,-2880.00000,-86820.00000,-10435.00000,6829.00000,-14081.00000
2019-09-30,55256.00000,12547.00000,5076.00000,17623.00000,245.00000,-289.00000,-1923.00000,-1521.00000,-3488.00000,69391.00000,-10495.00000,,-624.00000,57460.00000,633.00000,58093.00000,-1078.00000,45896.00000,-1842.00000,-5977.00000,-7819.00000,-66116.00000,-66116.00000,-14119.00000,-2922.00000,-90976.00000,24311.00000,6068.00000,-14119.00000
2018-09-30,59531.00000,10903.00000,-27694.00000,-16791.00000,-5322.00000,828.00000,9175.00000,30013.00000,34694.00000,77434.00000,-13313.00000,,-721.00000,32363.00000,-1518.00000,30845.00000,-745.00000,16066.00000,469.00000,-37.00000,432.00000,-72069.00000,-72069.00000,-13712.00000,-2527.00000,-87876.00000,5624.00000,5340.00000,-13712.00000
2017-09-30,48351.00000,10157.00000,10640.00000,20797.00000,-2093.00000,-2723.00000,8966.00000,-9073.00000,-4923.00000,64225.00000,-12451.00000,,-329.00000,-33147.00000,-395.00000,-33542.00000,-124.00000,-46446.00000,25162.00000,3852.00000,29014.00000,-32345.00000,-32345.00000,-12769.00000,-1874.00000,-17974.00000,-195.00000,4840.00000,-12769.00000
2016-09-30,45687.00000,10505.00000,9634.00000,20139.00000,527.00000,217.00000,2117.00000,-2456.00000,405.00000,66231.00000,-12734.00000,-297.00000,,-30634.00000,-1388.00000,-32022.00000,-924.00000,-45977.00000,22454.00000,-397.00000,22057.00000,-30797.00000,-30797.00000,-12150.00000,,-20890.00000,-636.00000,4210.00000,-12150.00000
2015-09-30,53394.00000,11257.00000,5353.00000,16610.00000,417.00000,-238.00000,5001.00000,6082.00000,11262.00000,81266.00000,-11247.00000,-241.00000,-343.00000,-44417.00000,,-44417.00000,-26.00000,-56274.00000,27114.00000,2191.00000,29305.00000,-34710.00000,-34710.00000,-11561.00000,-750.00000,-17716.00000,7276.00000,3586.00000,-11561.00000
2014-09-30,39510.00000,7946.00000,5210.00000,13156.00000,-4232.00000,-76.00000,5938.00000,5417.00000,7047.00000,59713.00000,-9571.00000,-242.00000,-3765.00000,-9017.00000,-10.00000,-9027.00000,26.00000,-22579.00000,11960.00000,6306.00000,18266.00000,-44270.00000,-44270.00000,-11126.00000,-419.00000,-37549.00000,-415.00000,2863.00000,-11126.00000
2013-09-30,37037.00000,6757.00000,3394.00000,10151.00000,-2172.00000,-973.00000,2340.00000,7283.00000,6478.00000,53666.00000,-8165.00000,-911.00000,-496.00000,-24042.00000,,-24042.00000,-160.00000,-33774.00000,16896.00000,,16896.00000,-22330.00000,-22330.00000,-10564.00000,-381.00000,-16379.00000,3513.00000,2253.00000,-10564.00000
2012-09-30,41733.00000,3277.00000,6145.00000,9422.00000,-5551.00000,-15.00000,4467.00000,800.00000,-299.00000,50856.00000,-8295.00000,-1107.00000,-350.00000,-38427.00000,,-38427.00000,-48.00000,-48227.00000,,,,665.00000,665.00000,-2488.00000,125.00000,-1698.00000,931.00000,1740.00000,-2488.00000
2011-09-30,25922.00000,1814.00000,4036.00000,5850.00000,143.00000,275.00000,2515.00000,2824.00000,5757.00000,37529.00000,-4260.00000,-3192.00000,-244.00000,-32464.00000,,-32464.00000,-259.00000,-40419.00000,,,,831.00000,831.00000,,613.00000,1444.00000,-1446.00000,1168.00000,0.00000
2010-09-30,14013.00000,1027.00000,2319.00000,3346.00000,-2142.00000,-596.00000,6307.00000,-2333.00000,1236.00000,18595.00000,-2005.00000,-116.00000,-638.00000,-11075.00000,,-11075.00000,-20.00000,-13854.00000,,,,912.00000,912.00000,,345.00000,1257.00000,5998.00000,879.00000,0.00000
2009-09-30,8235.00000,734.00000,1750.00000,2484.00000,-939.00000,54.00000,92.00000,233.00000,-560.00000,10159.00000,-1144.00000,-69.00000,,-16046.00000,,-16046.00000,-175.00000,-17434.00000,,,,475.00000,475.00000,,188.00000,663.00000,-6612.00000,710.00000,
