,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,164.24000,172.04100,18.61900,190.66000,-51.41000,-17.53700,57.90600,26.55500,381.45500,-50.15100,-163.92100,71.03400,-29.93500,41.09900,0.44300,-172.53000,-360.00000,-360.00000,-0.89000,-0.89000,16.65100,-344.23900,-135.31400,102.98500
2021-12-31,161.45800,145.84000,94.28600,240.12600,17.60800,-44.94700,12.07200,-29.83100,371.75300,-55.61200,-2089.70600,131.44900,-77.45000,53.99900,0.38400,-2090.93500,1355.00000,1355.00000,83.73700,83.73700,-14.00700,1424.73000,-294.45200,104.72600
2020-12-31,194.82000,87.43900,62.94600,150.38500,-10.73300,-0.96700,33.83100,9.88400,355.08900,-28.46600,-1.29200,82.74200,-156.61800,-73.87600,5.31400,-98.32000,,,108.87900,108.87900,5.29300,114.17200,370.94100,67.36500
2019-12-31,146.52700,76.67200,60.91200,137.58400,-65.73800,7.40300,29.35300,-29.39100,254.72000,-42.04000,-218.73400,70.79600,-54.74200,16.05400,-0.29500,-245.01500,,,79.12200,79.12200,9.57600,88.69800,98.40300,59.96700
2018-12-31,147.46200,61.75900,47.10200,108.86100,-50.91600,-2.41600,43.01500,-6.12000,250.20300,-27.42400,-178.09300,81.20500,-115.62500,-34.42000,1.68200,-238.25500,,,-71.64600,-71.64600,8.05100,-63.59500,-51.64700,52.74000
2017-12-31,169.57100,53.39500,5.71500,59.11000,-33.09100,0.87800,1.68100,-32.92600,195.75500,-43.05700,-11.34400,28.78600,-59.77900,-30.99300,-0.00100,-85.39500,-10.00000,-10.00000,42.37100,42.37100,7.04400,39.41500,149.77500,37.34800
2016-12-31,113.70100,49.77300,7.79900,57.57200,-34.76000,0.38700,26.05700,20.58600,191.85900,-37.72600,-9.39400,16.83700,-20.31600,-3.47900,-0.12100,-50.72000,-56.00000,-56.00000,-88.31100,-88.31100,6.23600,-138.07500,3.06400,29.74700
2015-12-31,64.86900,19.57400,13.98200,33.55600,-28.17200,0.65200,38.67700,35.90200,134.32700,-12.50100,-339.96100,0.90000,-46.90700,-46.00700,0.01000,-398.45900,66.00000,66.00000,22.51500,22.51500,2.53700,91.05200,-173.08000,20.18200
2014-12-31,58.94000,14.60500,12.91200,27.51700,-8.91200,1.58600,28.26500,56.38200,142.83900,-9.34300,-3.24200,0.80800,,0.80800,0.22200,-11.55500,,,-8.13700,-8.13700,4.14400,-3.99300,127.29100,14.81900
2013-12-31,39.10100,13.78600,-17.32200,-3.53600,-7.48800,-0.57400,12.03400,30.52500,66.09000,-26.85800,-0.18100,1.09000,,1.09000,0.29100,-25.65800,-18.00000,-18.00000,18.28900,18.28900,31.74900,32.03800,72.47000,11.65300
2012-12-31,32.99400,12.71100,-0.60700,12.10400,-6.82500,-0.36900,13.50300,13.57000,58.66800,-9.10200,-25.68000,0.07500,,0.07500,-0.02900,-34.73600,-42.70000,-42.70000,12.44300,12.44300,11.40500,-18.85200,5.08000,7.41100
2011-12-31,27.55700,10.67600,0.55200,11.22800,-8.54400,0.57500,14.64800,17.65000,56.43500,-12.27800,-17.29800,0.05000,,0.05000,0.71700,-28.80900,34.20000,34.20000,-68.24900,-68.24900,5.63500,-28.41400,-0.78800,6.25300
2010-12-31,25.05400,10.78800,4.33400,15.12200,-1.98900,-1.18100,3.57800,-4.82600,35.35000,-4.93000,-9.66100,0.07500,,0.07500,5.82200,-8.69400,26.50000,26.50000,-62.61200,-62.61200,1.87400,-34.23800,-7.58200,6.13200
2009-12-31,27.01000,9.49700,3.72800,13.22500,-6.27700,1.19000,4.44200,2.70600,42.94100,-12.35200,-2.93400,2.50000,,2.50000,-0.87200,-13.65800,-8.00000,-8.00000,-15.96800,-15.96800,2.61900,-21.34900,7.93400,5.04500
