,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1367.00000,440.00000,11.00000,451.00000,-112.00000,-242.00000,-92.00000,5.00000,1823.00000,-256.00000,-1131.00000,,,,-1387.00000,310.00000,,310.00000,-680.00000,-680.00000,-536.00000,,-906.00000,-549.00000,172.00000,-536.00000
2021-12-31,1250.00000,438.00000,183.00000,621.00000,3.00000,-284.00000,-331.00000,-34.00000,1837.00000,-237.00000,-505.00000,,,,-742.00000,491.00000,,491.00000,-426.00000,-426.00000,-487.00000,-7.00000,-429.00000,620.00000,129.00000,-487.00000
2020-12-31,953.00000,409.00000,149.00000,558.00000,90.00000,-14.00000,142.00000,102.00000,1613.00000,-161.00000,-276.00000,,,,-437.00000,-22.00000,,-22.00000,-504.00000,-504.00000,-440.00000,,-966.00000,253.00000,129.00000,-440.00000
2019-12-31,871.00000,394.00000,469.00000,863.00000,-79.00000,-74.00000,44.00000,89.00000,1823.00000,-241.00000,-693.00000,,,,-934.00000,-235.00000,,-235.00000,-201.00000,-201.00000,-382.00000,-326.00000,-1144.00000,-256.00000,118.00000,-382.00000
2018-12-31,969.00000,360.00000,116.00000,476.00000,62.00000,71.00000,-774.00000,-370.00000,1075.00000,-197.00000,-1069.00000,,,,-1266.00000,767.00000,,767.00000,36.00000,36.00000,-338.00000,-245.00000,220.00000,-11.00000,73.00000,-338.00000
2017-12-31,-155.00000,343.00000,1247.00000,1590.00000,-60.00000,-46.00000,-143.00000,-89.00000,1346.00000,-227.00000,-221.00000,,,,-448.00000,-11.00000,,-11.00000,-401.00000,-401.00000,-308.00000,-2.00000,-722.00000,238.00000,66.00000,-308.00000
2016-12-31,560.00000,295.00000,371.00000,666.00000,-6.00000,6.00000,-302.00000,-61.00000,1165.00000,-198.00000,-804.00000,,,,-1002.00000,-13.00000,,-13.00000,-749.00000,-749.00000,-280.00000,,-1042.00000,-950.00000,68.00000,-280.00000
2015-12-31,610.00000,150.00000,184.00000,334.00000,21.00000,16.00000,14.00000,77.00000,1021.00000,-172.00000,-356.00000,,,,-528.00000,967.00000,,967.00000,-3093.00000,-3093.00000,-277.00000,5.00000,-2398.00000,-1974.00000,78.00000,-277.00000
2014-12-31,1299.00000,173.00000,-564.00000,-391.00000,-62.00000,-5.00000,-1406.00000,-1545.00000,-637.00000,-148.00000,-47.00000,,3403.00000,3403.00000,3208.00000,910.00000,,910.00000,-2459.00000,-2459.00000,-318.00000,104.00000,-1763.00000,729.00000,94.00000,-318.00000
2013-12-31,1099.00000,158.00000,-425.00000,-267.00000,-36.00000,-8.00000,-1.00000,-277.00000,555.00000,-103.00000,4.00000,2133.00000,,2133.00000,2034.00000,589.00000,,589.00000,-1529.00000,-1529.00000,-292.00000,390.00000,-842.00000,1757.00000,120.00000,-292.00000
2012-12-31,881.00000,151.00000,29.00000,180.00000,81.00000,-2.00000,-360.00000,-387.00000,674.00000,-130.00000,25.00000,1075.00000,,1075.00000,970.00000,334.00000,,334.00000,-2305.00000,-2305.00000,-270.00000,164.00000,-2077.00000,-413.00000,146.00000,-270.00000
2011-12-31,1152.00000,366.00000,-88.00000,278.00000,-250.00000,-14.00000,-127.00000,-582.00000,848.00000,-180.00000,1092.00000,1514.00000,,1514.00000,2426.00000,-1219.00000,,-1219.00000,-918.00000,-918.00000,-72.00000,-3319.00000,-5528.00000,-2327.00000,168.00000,-72.00000
2010-12-31,633.00000,353.00000,45.00000,398.00000,-83.00000,-111.00000,-367.00000,-228.00000,803.00000,-165.00000,241.00000,447.00000,,447.00000,523.00000,-1011.00000,-5.00000,-1016.00000,179.00000,179.00000,,797.00000,-40.00000,1339.00000,144.00000,0.00000
2009-12-31,-51.00000,388.00000,433.00000,821.00000,102.00000,111.00000,265.00000,-143.00000,627.00000,-135.00000,340.00000,-736.00000,,-736.00000,-531.00000,-132.00000,-86.00000,-218.00000,116.00000,116.00000,-114.00000,-61.00000,-277.00000,-195.00000,137.00000,-114.00000
