,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,693.00000,333.00000,-72.00000,261.00000,-174.00000,,160.00000,32.00000,986.00000,-123.00000,-177.00000,,,-13.00000,-313.00000,-165.00000,,-165.00000,-494.00000,-494.00000,-199.00000,-7.00000,-865.00000,-192.00000,73.00000,-199.00000
2021-12-31,759.00000,325.00000,38.00000,363.00000,-5.00000,,143.00000,-91.00000,1031.00000,-104.00000,-622.00000,,,-4.00000,-730.00000,274.00000,,274.00000,-226.00000,-226.00000,-199.00000,38.00000,-113.00000,188.00000,67.00000,-199.00000
2020-12-31,629.00000,282.00000,120.00000,402.00000,-127.00000,,104.00000,303.00000,1334.00000,-171.00000,-2655.00000,,,11.00000,-2815.00000,1769.00000,,1769.00000,-70.00000,-70.00000,-196.00000,-52.00000,1451.00000,-30.00000,62.00000,-196.00000
2019-12-31,670.00000,234.00000,-3.00000,231.00000,116.00000,,41.00000,91.00000,992.00000,-25.00000,84.00000,,,6.00000,65.00000,-80.00000,,-80.00000,-431.00000,-431.00000,-198.00000,,-709.00000,348.00000,52.00000,-198.00000
2018-12-31,582.00000,257.00000,20.00000,277.00000,-58.00000,,-17.00000,-91.00000,768.00000,-73.00000,-81.00000,,,40.00000,-114.00000,-45.00000,,-45.00000,-424.00000,-424.00000,-198.00000,-40.00000,-707.00000,-53.00000,44.00000,-198.00000
2017-12-31,364.00000,350.00000,239.00000,589.00000,-191.00000,-76.00000,-37.00000,-427.00000,526.00000,-73.00000,,,,2.00000,-71.00000,-209.00000,,-209.00000,-18.00000,-18.00000,-198.00000,-4.00000,-429.00000,26.00000,43.00000,-198.00000
2016-12-31,246.00000,122.00000,39.00000,161.00000,123.00000,,-82.00000,42.00000,449.00000,-26.00000,48.00000,,,4.00000,26.00000,413.00000,,413.00000,1.00000,1.00000,-1135.00000,-30.00000,-751.00000,-277.00000,35.00000,-1135.00000
2015-12-31,242.00000,41.00000,-12.00000,29.00000,-19.00000,3.00000,37.00000,128.00000,399.00000,52.00000,12.00000,,,,64.00000,-39.00000,,-39.00000,-112.00000,-112.00000,-93.00000,-5.00000,-249.00000,213.00000,30.00000,-93.00000
2015-01-31,-323.00000,548.00000,124.00000,672.00000,162.00000,-12.00000,-39.00000,47.00000,396.00000,-29.00000,,,,80.00000,51.00000,-177.00000,,-177.00000,-208.00000,-208.00000,-95.00000,2.00000,-478.00000,13.00000,42.00000,-95.00000
2014-01-31,164.00000,80.00000,89.00000,169.00000,-69.00000,44.00000,-18.00000,-142.00000,191.00000,12.00000,-3.00000,12.00000,12.00000,276.00000,297.00000,38.00000,-152.00000,-114.00000,-306.00000,-306.00000,-477.00000,3.00000,-894.00000,-305.00000,55.00000,-477.00000
2013-01-31,525.00000,90.00000,-147.00000,-57.00000,218.00000,5.00000,58.00000,-444.00000,24.00000,-37.00000,-482.00000,,,,-519.00000,,-550.00000,-550.00000,-3.00000,-3.00000,-165.00000,,-718.00000,-855.00000,53.00000,-165.00000
2012-01-31,59.00000,88.00000,-267.00000,-179.00000,-112.00000,-52.00000,-24.00000,520.00000,400.00000,22.00000,-222.00000,2.00000,2.00000,-1.00000,-199.00000,,-1.00000,-1.00000,-444.00000,-444.00000,,-2.00000,-447.00000,224.00000,55.00000,
2011-01-31,619.00000,110.00000,16.00000,126.00000,-18.00000,-29.00000,-2.00000,-35.00000,710.00000,-63.00000,-382.00000,,,,-445.00000,742.00000,-3.00000,739.00000,-563.00000,-563.00000,,11.00000,187.00000,506.00000,99.00000,
2010-01-31,496.00000,90.00000,31.00000,121.00000,-110.00000,54.00000,14.00000,-29.00000,588.00000,-46.00000,-258.00000,,,-2.00000,-306.00000,,-18.00000,-18.00000,-416.00000,-416.00000,,36.00000,-398.00000,-75.00000,103.00000,
2009-01-31,452.00000,89.00000,63.00000,152.00000,4.00000,-82.00000,20.00000,-21.00000,583.00000,-59.00000,-204.00000,,,14.00000,-249.00000,,-113.00000,-113.00000,-369.00000,-369.00000,,55.00000,-427.00000,-160.00000,94.00000,
