,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,657.91900,77.99000,176.02000,254.01000,-65.62600,-110.81700,-228.17900,683.75000,-61.12000,-18.98400,-36.51900,-116.62300,,,-319.89700,-319.89700,-189.28600,,-509.18300,39.62500,57.66300,-189.28600
2021-12-31,598.62600,82.47400,6.90400,89.37800,-292.62800,52.55800,-84.86800,603.13600,-36.61100,,-50.99800,-87.60900,-0.23900,-0.23900,-287.73800,-287.73800,-170.61200,,-458.58900,44.57500,55.93200,-170.61200
2020-12-31,306.27600,81.89900,-23.32600,58.57300,127.74000,-16.57200,231.67900,596.52800,-33.37700,-15.83600,58.67400,9.46100,-0.21800,-0.21800,-159.17200,-159.17200,-155.93500,,-315.32500,303.94800,52.48600,-155.93500
2019-12-31,454.43300,69.24900,4.20300,73.45200,-48.46100,50.50200,-8.25600,519.62900,-59.46400,,-42.67400,-102.13800,-0.20000,-0.20000,-277.53500,-277.53500,-145.63100,,-423.36600,-6.10100,48.30000,-145.63100
2018-12-31,434.28800,65.94900,63.32500,129.27400,-86.21700,19.80400,8.76000,572.32200,-42.48400,,-46.02500,-88.50900,-0.18300,-0.18300,-353.50900,-353.50900,-136.42300,,-490.11500,-18.17400,44.95300,-136.42300
2017-12-31,290.58400,65.49300,94.30400,159.79700,-17.03900,-18.52800,2.61000,452.99100,-40.75300,-1.16000,-36.58400,-78.49700,-0.16700,-0.16700,-231.72400,-231.72400,-121.00000,,-352.89100,34.55200,42.19100,-121.00000
2016-12-31,343.38900,64.31500,48.20100,112.51600,-15.88800,-9.41600,-13.82400,442.08100,-82.95600,-2.20000,-27.07900,-112.23500,-0.15400,-0.15400,-175.80800,-175.80800,-114.16400,1.82200,-288.30400,35.62400,42.69900,-114.16400
2015-12-31,357.79600,53.46500,35.95600,89.42100,-75.74500,-13.41600,-8.98100,438.23600,-75.05700,-14.66800,-28.22500,-117.95000,-0.14000,-0.14000,-269.60900,-269.60900,-107.56100,8.76200,-368.54800,-62.54200,41.29200,-107.56100
2014-12-31,305.92800,49.68100,39.82900,89.51000,-134.91700,-7.92200,-54.74000,340.69800,-62.83000,,-25.81100,-88.64100,-0.12800,-0.12800,-139.49700,-139.49700,-97.60400,7.17400,-230.05500,11.35500,40.82100,-97.60400
2013-12-31,252.19500,48.77200,24.97200,73.74400,-47.69900,4.54800,-16.72200,309.21700,-53.72500,,-44.05200,-97.77700,-4.49600,-4.49600,-134.69000,-134.69000,-89.18700,8.10300,-220.27000,-11.87100,38.86700,-89.18700
2012-12-31,209.94200,48.72400,25.12900,73.85300,-21.35400,-5.09600,5.38200,289.17700,-50.05600,-14.39300,-8.57700,-73.02600,-0.10700,-0.10700,-133.85500,-133.85500,-84.12900,8.47500,-209.61600,8.29900,41.46400,-84.12900
2011-12-31,149.92200,51.41500,70.52400,121.93900,-81.31400,-5.53100,-15.54500,256.31600,-56.53500,,-6.86700,-63.40200,-0.09100,-0.09100,-149.79400,-149.79400,-80.30300,4.21100,-225.97700,-35.80100,50.90600,-80.30300
2010-12-31,66.06900,55.95800,65.47000,121.42800,-68.00800,13.27800,-11.61400,175.88300,-35.08800,-0.58500,-3.42400,-39.09700,-0.11300,-0.11300,-117.10500,-117.10500,-76.59100,5.81400,-187.99500,-50.65700,57.11900,-76.59100
2009-12-31,37.26300,65.26600,61.31000,126.57600,133.54100,-1.18700,76.31400,240.15300,-41.24800,,-4.71900,-45.96700,-0.10500,-0.10500,-124.86700,-124.86700,-72.14900,4.75100,-192.37000,11.03800,61.14800,-72.14900
