,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,110.76200,90.56400,213.54400,304.10800,34.10000,-189.01300,-12.17400,22.54500,-202.22100,212.64900,-83.27900,,50.94100,329.33300,,329.33300,-0.04300,296.95200,-18.12600,-18.12600,-493.92300,-493.92300,,-2.50000,-514.54900,-10.89600,38.30200,
2021-12-31,277.86600,96.33000,99.47800,195.80800,-2.09100,-149.75400,30.99700,-23.69700,-83.97400,389.70000,-121.69900,,,-293.06800,,-293.06800,-1.51500,-416.28200,-3.81000,-3.81000,-118.63100,-118.63100,,-2.62500,-125.06600,-169.44800,37.86400,
2020-12-31,160.33800,139.14300,82.60900,221.75200,-13.02200,-39.90000,-1.94200,-3.80200,-96.75500,285.33500,-86.80700,,-0.42900,-12.33100,,-12.33100,-0.00700,-99.57400,-3.74000,-3.74000,-4.69000,-4.69000,,-1.65000,-10.08000,195.56900,35.47200,
2019-12-31,180.26100,133.38800,101.30000,234.68800,9.77600,-28.10500,-10.25700,18.40500,-91.42800,323.52100,-132.87500,,-15.11500,7.77800,,7.77800,0.23700,-139.97500,-3.67100,-3.67100,-33.39600,-33.39600,,,-37.06700,138.62600,33.36300,
2018-12-31,404.16900,80.27100,56.05700,136.32800,-18.81400,-135.44000,-1.42600,-7.06200,-147.19600,393.30100,-159.31700,,-109.11500,-294.98200,,-294.98200,0.41500,-562.99900,-3.60400,-3.60400,-163.88200,-163.88200,,0.83900,-166.64700,-365.54200,28.02700,
2017-12-31,347.58800,64.56800,98.82900,163.39700,-63.22500,-71.08000,2.30900,0.07500,-105.59000,405.39500,-110.65300,,-60.48300,0.68300,,0.68300,-0.35200,-170.80500,8.15800,8.15800,-11.33300,-11.33300,,-0.19700,-3.37200,286.04500,23.02100,
2016-12-31,260.71600,51.47500,60.31700,111.79200,-11.44400,-53.62600,-0.40700,-4.06900,-74.81200,297.69600,-126.38400,,-47.79200,-100.70000,,-100.70000,0.46800,-274.40800,21.15600,21.15600,7.23700,7.23700,,-0.95000,27.44300,41.32300,21.73400,
2015-12-31,242.02700,42.41500,46.84000,89.25500,-19.03600,-70.56500,9.80600,1.85300,-67.80000,263.48200,-69.95500,,-4.95800,-106.74700,,-106.74700,0.09300,-181.56700,-15.67300,-15.67300,14.13200,14.13200,,,-1.54100,60.38200,18.98900,
2014-12-31,200.44500,35.61200,32.70500,68.31700,-48.51800,-42.24600,3.26200,-5.35100,-88.65700,180.10500,-88.16700,-2.00000,,0.00000,,,0.08700,-90.08000,-2.00800,-2.00800,7.55800,7.55800,,5.97900,11.52900,73.37400,15.17200,
2013-12-31,155.78000,31.52400,26.48000,58.00400,-9.99100,-50.35500,0.97400,-3.98000,-94.41700,119.36700,-70.68300,0.00000,-5.55500,0.00000,0.49500,0.49500,-0.14300,-75.88600,-2.00000,-2.00000,7.27500,7.27500,,8.87400,14.14900,64.72300,11.72000,
2012-12-31,147.74400,26.14400,30.63000,56.77400,-22.70600,-22.97500,4.37500,-0.89900,-29.24200,175.27600,-68.18400,0.00000,-11.59600,25.45100,,25.45100,-0.92800,-55.25700,-6.54700,-6.54700,173.40800,173.40800,-33.35300,-51.42100,82.08700,203.81900,8.56500,-33.35300
2011-12-31,121.00900,23.96200,22.90700,46.86900,-23.68800,-56.13900,1.98500,-8.80300,-80.52700,87.35100,-53.00700,,-0.75000,-25.45100,,-25.45100,0.10900,-79.09900,-1.38900,-1.38900,,,,33.27400,31.88500,32.37400,8.04800,
2010-12-31,54.35200,21.84500,15.27000,37.11500,-27.30800,-27.01800,3.41100,-12.15000,-28.03500,63.43200,-28.37400,,-4.10800,,,,-0.07700,-32.55900,-0.59100,-0.59100,,,,38.35500,37.76400,64.94000,3.19600,
2009-12-31,5.28400,19.17200,9.80400,28.97600,9.26900,5.60000,-0.49800,0.67900,20.14500,54.40500,-10.49800,,,,,,-0.14100,-10.63900,-15.13900,-15.13900,,,,2.85900,-12.28000,31.63700,2.76700,
