,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1269.00000,442.00000,3458.00000,3900.00000,,6.00000,-13.00000,-377.00000,2254.00000,-449.00000,-208.00000,,3187.00000,3187.00000,-69.00000,2461.00000,-212.00000,,-212.00000,-3056.00000,-3056.00000,-489.00000,-35.00000,-3792.00000,866.00000,494.00000,-489.00000
2021-12-31,13608.00000,502.00000,-11319.00000,-10817.00000,,9.00000,424.00000,-134.00000,2657.00000,-444.00000,,,-952.00000,-952.00000,5059.00000,3663.00000,1322.00000,,1322.00000,-6962.00000,-6962.00000,-466.00000,-426.00000,-6532.00000,-188.00000,477.00000,-466.00000
2020-12-31,5667.00000,583.00000,-3611.00000,-3028.00000,,69.00000,-505.00000,-220.00000,2419.00000,-463.00000,,,242.00000,242.00000,4015.00000,3794.00000,-6.00000,,-6.00000,-5047.00000,-5047.00000,-447.00000,-192.00000,-5692.00000,598.00000,417.00000,-447.00000
2019-12-31,1786.00000,600.00000,948.00000,1548.00000,-93.00000,-11.00000,280.00000,-220.00000,3114.00000,-508.00000,,,3422.00000,3422.00000,-127.00000,2787.00000,-1550.00000,,-1550.00000,-4867.00000,-4867.00000,-473.00000,-201.00000,-7091.00000,-1223.00000,415.00000,-473.00000
2018-12-31,2530.00000,635.00000,-23.00000,612.00000,-76.00000,-33.00000,31.00000,-503.00000,2658.00000,-623.00000,-302.00000,1029.00000,2786.00000,3815.00000,4.00000,2894.00000,-750.00000,,-750.00000,-4393.00000,-4393.00000,,-255.00000,-5398.00000,79.00000,465.00000,
2017-12-31,-1017.00000,676.00000,2369.00000,3045.00000,-195.00000,19.00000,-121.00000,1118.00000,3146.00000,-666.00000,-34.00000,-514.00000,-79.00000,-593.00000,-2.00000,-1295.00000,1032.00000,,1032.00000,-2626.00000,-2626.00000,,-190.00000,-1784.00000,305.00000,483.00000,
2016-12-31,7266.00000,682.00000,-5127.00000,-4445.00000,-48.00000,-28.00000,121.00000,20.00000,2826.00000,-626.00000,-212.00000,,-1149.00000,-1149.00000,-30.00000,-2017.00000,2196.00000,,2196.00000,-2841.00000,-2841.00000,,-99.00000,-744.00000,-25.00000,416.00000,
2015-12-31,1725.00000,687.00000,1727.00000,2414.00000,-105.00000,226.00000,9.00000,-106.00000,4033.00000,-668.00000,-24.00000,,37.00000,37.00000,-2956.00000,-3611.00000,-850.00000,,-850.00000,-1928.00000,-1928.00000,,-1776.00000,-4554.00000,-4496.00000,379.00000,
2014-12-31,46.00000,682.00000,4801.00000,5483.00000,51.00000,81.00000,-35.00000,148.00000,5677.00000,-622.00000,-55.00000,,-637.00000,-637.00000,-1359.00000,-2673.00000,3482.00000,,3482.00000,-4358.00000,-4358.00000,,-146.00000,-1022.00000,1834.00000,344.00000,
2013-12-31,2856.00000,660.00000,1588.00000,2248.00000,-89.00000,-13.00000,-470.00000,-109.00000,4995.00000,-678.00000,-138.00000,,-3267.00000,-3267.00000,-1929.00000,-6012.00000,-400.00000,,-400.00000,-906.00000,-906.00000,,-48.00000,-1354.00000,-2323.00000,298.00000,
2012-12-31,2609.00000,1200.00000,785.00000,1985.00000,-207.00000,-16.00000,-378.00000,-756.00000,3838.00000,-1257.00000,1.00000,,-2434.00000,-2434.00000,-73.00000,-3763.00000,2976.00000,-550.00000,2426.00000,-415.00000,-415.00000,,-60.00000,1951.00000,2126.00000,488.00000,
2011-12-31,3229.00000,940.00000,-574.00000,366.00000,-292.00000,29.00000,12.00000,-321.00000,3274.00000,-963.00000,-954.00000,,-1281.00000,-1281.00000,-109.00000,-3307.00000,-199.00000,250.00000,51.00000,-822.00000,-822.00000,,-67.00000,-838.00000,-886.00000,458.00000,
2010-12-31,1801.00000,762.00000,1080.00000,1842.00000,-112.00000,-9.00000,-181.00000,-897.00000,2746.00000,-724.00000,-91.00000,,-1588.00000,-1588.00000,119.00000,-2284.00000,1489.00000,300.00000,1789.00000,-475.00000,-475.00000,,-79.00000,1235.00000,1577.00000,381.00000,
2009-12-31,2389.09700,810.94600,-512.53200,298.41390,-97.49400,-27.23500,151.83300,220.57500,2908.08600,-567.09400,570.88810,,-1159.66400,-1159.66400,6.48700,-1149.38300,,-1000.00000,-1000.00000,102.52600,102.52600,,-48.18200,-945.65600,810.89000,394.80700,
