,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,58.00000,415.00000,560.00000,975.00000,-45.00000,156.00000,406.00000,1418.00000,-1667.00000,,455.00000,455.00000,-6.00000,-1218.00000,-385.00000,-385.00000,,,,60.00000,-325.00000,-125.00000,42.00000,
2021-12-31,478.00000,394.00000,144.00000,538.00000,-69.00000,71.00000,5.00000,1030.00000,-290.00000,,-706.00000,-706.00000,-12.00000,-1008.00000,-971.00000,-971.00000,,,,57.00000,-914.00000,-892.00000,51.00000,
2020-12-31,-1324.00000,420.00000,571.00000,991.00000,-168.00000,461.00000,301.00000,-234.00000,57.00000,,-644.00000,-644.00000,-6.00000,-593.00000,1999.00000,1999.00000,-31.00000,-31.00000,-45.00000,58.00000,1981.00000,1154.00000,24.00000,-45.00000
2019-12-31,769.00000,423.00000,238.00000,661.00000,43.00000,163.00000,206.00000,1722.00000,-668.00000,,-136.00000,-136.00000,13.00000,-791.00000,-608.00000,-608.00000,-75.00000,-75.00000,-173.00000,43.00000,-813.00000,118.00000,29.00000,-173.00000
2018-12-31,437.00000,398.00000,193.00000,591.00000,-25.00000,131.00000,106.00000,1195.00000,-944.00000,,282.00000,282.00000,31.00000,-631.00000,-468.00000,-468.00000,-50.00000,-50.00000,-158.00000,29.00000,-647.00000,-83.00000,47.00000,-158.00000
2017-12-31,960.00000,372.00000,100.00000,472.00000,-39.00000,238.00000,199.00000,1590.00000,-948.00000,,-181.00000,-181.00000,,-1129.00000,-397.00000,-397.00000,-75.00000,-75.00000,-148.00000,28.00000,-592.00000,-131.00000,55.00000,-148.00000
2016-12-31,797.00000,363.00000,108.00000,471.00000,-46.00000,179.00000,133.00000,1386.00000,-673.00000,-1951.00000,2.00000,2.00000,,-2622.00000,1795.00000,1795.00000,-193.00000,-193.00000,-136.00000,25.00000,1491.00000,255.00000,26.00000,-136.00000
2015-12-31,848.00000,320.00000,81.00000,401.00000,47.00000,131.00000,178.00000,1584.00000,-778.00000,,-152.00000,-152.00000,,-930.00000,-116.00000,-116.00000,-505.00000,-505.00000,-102.00000,35.00000,-688.00000,-34.00000,25.00000,-102.00000
2014-12-31,605.00000,294.00000,120.00000,414.00000,-110.00000,89.00000,-21.00000,1030.00000,-694.00000,,143.00000,143.00000,10.00000,-541.00000,-68.00000,-68.00000,-348.00000,-348.00000,-68.00000,22.00000,-462.00000,27.00000,6.00000,-68.00000
2013-12-31,508.00000,270.00000,-14.00000,256.00000,-19.00000,88.00000,69.00000,981.00000,-569.00000,,-129.00000,-129.00000,,-698.00000,-161.00000,-161.00000,-159.00000,-159.00000,-28.00000,23.00000,-325.00000,-42.00000,32.00000,-28.00000
2012-12-31,316.00000,264.00000,104.00000,368.00000,9.00000,35.00000,44.00000,753.00000,-507.00000,,-82.00000,-82.00000,-56.00000,-645.00000,-275.00000,-275.00000,-60.00000,-60.00000,,247.00000,-88.00000,20.00000,10.00000,
2011-12-31,245.00000,247.00000,162.00000,409.00000,,33.00000,33.00000,696.00000,-366.00000,,72.00000,72.00000,-109.00000,-403.00000,-227.00000,-227.00000,-80.00000,-80.00000,,26.00000,-281.00000,12.00000,17.00000,
2010-12-31,251.00000,230.00000,167.00000,397.00000,,-112.00000,-112.00000,553.00000,-175.00000,,-91.00000,-91.00000,-29.00000,-295.00000,-321.00000,-321.00000,-45.00000,-45.00000,,34.00000,-332.00000,-74.00000,9.00000,
2009-12-31,121.60000,219.20000,121.30000,340.50000,,-161.50000,-161.50000,292.50000,-439.80000,,-217.60000,-217.60000,,-657.40000,14.00000,14.00000,-23.80000,-23.80000,,255.80000,246.00000,-118.90000,12.90000,
