,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,788.90000,332.20000,20.90000,353.10000,-87.90000,-155.20000,45.90000,-50.40000,-627.00010,486.80000,-92.60000,-99.60000,16.80000,-175.40000,-174.80000,,-174.80000,23.60000,23.60000,41.20000,-110.00000,163.40000,31.50000
2021-12-31,445.30000,371.80000,64.40000,436.20000,-158.90000,7.00000,99.10000,11.80000,-68.10000,824.60000,-101.60000,-3723.30000,0.60000,-3824.30000,2803.70000,,2803.70000,25.40000,25.40000,-22.00000,2807.10000,-198.40000,33.90000
2020-12-31,401.90000,116.20000,30.00000,146.20000,47.80000,54.30000,-46.30000,-10.20000,70.50000,618.90000,-71.40000,-29.00000,1.00000,-99.40000,-98.10000,,-98.10000,36.30000,36.30000,,-61.80000,473.60000,30.00000
2019-12-31,402.30000,111.90000,30.70000,142.60000,-58.80000,12.20000,29.60000,-5.30000,-58.30000,482.10000,-88.40000,-484.00000,0.50000,-571.90000,12.80000,96.00000,108.80000,34.60000,34.60000,-1.70000,141.70000,57.00000,30.70000
2018-12-31,333.80000,113.00000,-1.30000,111.70000,-66.70000,-1.70000,39.90000,12.50000,-11.90000,446.90000,-86.80000,-3.10000,1.30000,-88.60000,-170.50000,-136.00000,-306.50000,37.20000,37.20000,-2.00000,-271.30000,71.60000,25.10000
2017-12-31,227.20000,113.00000,46.90000,159.90000,-19.60000,-7.40000,12.40000,-19.60000,-18.00000,374.70000,-58.50000,-772.70000,,-831.20000,228.70000,165.00000,393.70000,24.90000,24.90000,-4.50000,414.10000,-27.70000,18.80000
2016-12-31,190.90000,87.30000,19.70000,107.00000,-11.40000,-9.10000,2.10000,13.80000,22.20000,317.00000,-87.60000,-63.40000,,-151.00000,-16.10000,-147.00000,-163.10000,36.10000,36.10000,-18.00000,-145.00000,13.50000,16.20000
2015-12-31,195.50000,90.30000,4.30000,94.60000,21.90000,-6.40000,-26.80000,-1.30000,-75.00000,210.20000,-47.00000,-62.90000,,-109.90000,31.90000,45.50000,77.40000,-224.80000,-224.80000,2.40000,-145.00000,-56.30000,12.20000
2014-12-31,215.60000,94.30000,-51.30000,43.00000,-18.90000,-5.70000,13.40000,45.70000,35.60000,287.90000,-43.50000,-195.20000,,-238.70000,154.50000,,154.50000,-128.30000,-128.30000,4.20000,30.40000,75.40000,14.00000
2013-12-31,184.50000,91.10000,22.70000,113.80000,-7.10000,0.60000,-11.80000,-83.30000,-94.30000,203.30000,-72.60000,-122.40000,,-195.00000,-5.00000,,-5.00000,12.10000,12.10000,4.00000,11.10000,20.20000,10.70000
2012-12-31,165.10000,78.30000,-19.60000,58.70000,-28.50000,-6.80000,22.30000,-49.60000,-37.40000,189.20000,-65.30000,-388.10000,,-453.40000,229.20000,,229.20000,19.90000,19.90000,11.20000,260.30000,-3.60000,8.00000
2011-12-31,255.20000,64.20000,-89.30000,-25.10000,23.00000,-10.90000,-11.10000,-76.00000,-19.10000,216.60000,-41.70000,-230.20000,,-271.90000,46.60000,,46.60000,-20.10000,-20.10000,3.10000,29.60000,-25.70000,5.80000
2010-12-31,120.60000,45.20000,34.70000,79.90000,-19.00000,1.30000,-3.70000,-41.90000,-61.70000,141.80000,-31.00000,-70.20000,,-101.20000,3.60000,,3.60000,3.90000,3.90000,0.90000,8.40000,49.00000,4.90000
2009-12-31,116.40000,42.50000,59.10000,101.60000,38.10000,18.20000,-5.70000,-110.10000,-64.30000,154.90000,-33.50000,-35.20000,,-68.70000,-81.60000,,-81.60000,0.30000,0.30000,0.80000,-80.50000,5.70000,5.40000
