,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,368.59900,91.32600,34.08400,125.41000,-34.00300,-0.54000,6.16000,-28.07900,465.93000,-16.03100,-119.18800,1.07800,-134.14100,-100.00000,,-100.00000,-7.06500,-7.06500,-211.61800,-17.33400,-336.01700,-9.95500,21.21500,-211.61800
2021-12-31,356.56500,86.55800,-2.10800,84.45000,-22.43900,2.64400,-20.83600,-39.21000,401.80500,47.24400,-146.09800,-0.11100,-98.96500,-48.00000,,-48.00000,-10.69400,-10.69400,-208.65600,-22.80900,-290.15900,6.82400,14.86500,-208.65600
2020-12-31,266.75600,79.33100,40.83300,120.16400,-12.04500,-10.70600,21.55500,48.86500,435.78500,-15.52900,-147.61300,0.74700,-162.39500,-88.50000,,-88.50000,-8.27500,-8.27500,-160.48700,-24.01100,-281.27300,4.20100,20.85000,-160.48700
2019-12-31,203.34700,81.11100,71.39200,152.50300,-20.15100,-2.15100,-19.58600,-36.27700,319.57300,-25.38800,-430.55800,0.83900,-455.10700,291.50000,,291.50000,-10.00900,-10.00900,-153.83600,-15.96900,111.68600,-21.20900,14.15800,-153.83600
2018-12-31,231.66300,64.67500,34.96000,99.63500,-12.54900,-0.37400,-7.59700,-31.89700,299.40100,-25.33900,-76.42600,0.39000,-101.37500,,,,-9.54100,-9.54100,-152.74200,-13.12900,-175.41200,8.43500,13.72600,-152.74200
2017-12-31,179.12400,55.53300,41.49000,97.02300,-13.66100,-0.83700,-4.62700,-40.77700,235.37000,-24.31000,-129.67000,-0.19500,-154.17500,,,,-8.24600,-8.24600,-122.01700,,-130.26300,-35.73500,12.39900,-122.01700
2016-12-31,167.36900,49.89400,16.72500,66.61900,-15.86800,-0.67100,-7.20000,-7.46300,226.52500,-31.41800,-45.60900,0.18500,-76.84200,,,,-31.06800,-31.06800,-109.00200,3.69900,-136.37100,8.21100,12.41500,-109.00200
2015-12-31,152.14900,42.13900,23.77000,65.90900,-12.49400,0.81400,-8.10900,-21.70200,196.35600,-36.74300,-32.69500,-0.50400,-69.94200,,,,-7.40700,-7.40700,-91.75500,1.94600,-97.21600,26.20200,12.11000,-91.75500
2014-12-31,137.66400,42.27700,25.47200,67.74900,-13.36900,-1.52500,-12.92000,-11.26700,194.14600,-26.70100,-62.77000,,-89.47100,,,,-35.51300,-35.51300,-75.75000,4.74400,-106.51900,-9.84400,10.57900,-75.75000
2013-12-31,123.33000,39.30400,17.44900,56.75300,-13.61700,-0.11800,-7.02900,-17.41800,162.66500,-18.26000,-12.53000,,-30.79000,,,,-13.71700,-13.71700,-65.65800,3.72200,-75.65300,53.13400,10.42700,-65.65800
2012-12-31,111.33200,38.07400,16.48800,54.56200,-16.43800,-0.65500,-10.79400,-23.97500,141.91900,-19.04000,-24.70800,1.05500,-42.69300,,,,-19.93800,-19.93800,-64.28200,3.23100,-80.98900,18.80700,9.49400,-64.28200
2011-12-31,100.71100,37.50300,14.49400,51.99700,-10.66300,0.83700,2.58300,1.93900,154.64700,-17.89300,-11.26100,,-29.15400,-26.03800,-4.50000,-30.53800,-30.14600,-30.14600,-41.11000,2.36700,-99.42700,25.36200,7.55500,-41.11000
2010-12-31,90.00200,36.40800,16.34800,52.75600,-13.97700,-1.39100,-13.83200,-18.70500,124.05300,-13.02900,-34.61600,,-47.64500,-1.72400,,-1.72400,-29.43700,-29.43700,-35.52100,1.18500,-65.49700,11.40900,7.53800,-35.52100
2009-12-31,83.98400,37.16900,18.75400,55.92300,-10.42700,1.04000,-7.36500,-29.06100,110.84600,-15.65200,-10.91000,,-26.56200,-33.47100,,-33.47100,-28.61500,-28.61500,-27.85300,0.18600,-89.75300,-4.21200,5.80000,-27.85300
