,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-40.93100,1147.21200,23.52600,1170.73800,-47.98200,-62.13300,1120.16300,-222.13000,,-333.70200,-333.70200,-303.38600,-859.21800,477.62500,477.62500,7.20400,7.20400,-726.61100,-42.14600,-283.92800,-25.85200,30.71500,-726.61100
2021-12-31,56.55900,1126.31700,-138.16800,988.14890,-60.49300,-44.99600,1026.11600,-185.27500,,-528.61400,-528.61400,-10.25100,-724.14000,-420.78910,-420.78910,625.51100,625.51100,-693.64900,-69.53900,-558.46600,-255.04300,31.96600,-693.64900
2020-12-31,441.18500,1089.62600,-99.69900,989.92700,-67.95700,19.84300,1450.17600,-148.23400,,965.70900,965.70900,-663.18010,154.29500,-400.63300,-400.63300,69.89000,69.89000,-936.09200,-33.18600,-1300.02100,305.53800,21.48700,-936.09200
2019-12-31,439.29700,1060.63800,23.79200,1084.43000,-66.95600,-99.20800,1437.78300,-156.72400,,-810.27000,-810.27000,-618.30490,-1585.29900,384.90770,384.90770,976.06100,976.06100,-1166.93800,-33.35700,160.67400,14.63800,33.92300,-1166.93800
2018-12-31,415.98100,907.86500,152.64200,1060.50700,-18.20600,-98.74100,1381.46700,-131.85800,,87.88500,87.88500,368.46900,324.49600,-594.64330,-594.64330,7.39200,7.39200,-1134.60200,-40.08400,-1761.93700,-56.78900,29.96300,-1134.60200
2017-12-31,1361.11200,883.46900,-703.38100,180.08790,-18.21400,-117.07200,1428.75200,-132.55800,,195.19000,195.19000,-999.73900,-937.10700,127.34800,127.34800,89.88300,89.88300,-832.96200,-55.59600,-671.32700,-179.10100,26.54300,-832.96200
2016-12-31,651.49000,888.94500,-101.48500,787.46000,-9.47500,-82.40100,1354.70200,-117.45600,,-1113.03400,-1113.03400,16.21000,-1214.28000,-164.53200,-164.53200,1286.68000,1286.68000,-1033.60800,8.29800,96.83800,236.43500,20.95800,-1033.60800
2015-12-31,419.22200,954.98210,0.42700,955.40910,62.31100,17.68300,1398.83100,-107.48700,76.80000,-2158.38000,-2081.58000,-234.62500,-2423.69200,353.69410,353.69410,491.02300,491.02300,-1018.50800,1196.84900,1023.05800,-2.32500,19.53700,-1018.50800
2014-12-31,477.00100,809.28400,-26.12000,783.16400,13.27500,-14.73600,1254.84500,-87.45400,-75.00000,-1350.04000,-1425.04000,-542.54600,-2055.04000,1396.51500,1396.51500,242.10700,242.10700,-881.37600,0.81100,758.05700,-39.46800,20.99400,-881.37600
2013-12-31,454.66900,737.34300,-11.22000,726.12300,6.11600,11.97700,1194.75500,-81.61400,5.49300,-1401.41100,-1395.91800,194.77200,-1282.76000,811.02490,811.02490,141.34300,141.34300,-807.16300,-30.20900,114.99600,26.90800,20.65300,-807.16300
2012-12-31,361.77500,707.71410,-69.95400,637.76000,13.72500,-17.13300,992.81600,-69.43000,37.50000,-1580.43900,-1542.93900,-557.32000,-2169.68900,1602.32000,1602.32000,342.46900,342.46900,-732.99200,-12.88300,1198.91400,22.10100,20.78400,-732.99200
2011-12-31,363.26100,434.38200,28.12900,462.51100,-8.72600,-59.98000,773.19700,-50.47300,23.05000,-510.98700,-487.93700,-459.02900,-997.43900,492.13000,492.13000,299.84700,299.84700,-523.40500,-20.29000,248.28200,23.99500,19.34600,-523.40500
2010-12-31,249.72900,213.05000,-11.79000,201.26000,-6.93400,-3.32100,447.62200,-18.19300,0.00000,-216.27800,-216.27800,-67.44900,-301.92000,101.18600,101.18600,,,-336.08500,3.44700,-231.45200,-85.58500,14.07800,-336.08500
2009-12-31,269.36000,205.83900,-61.22200,144.61700,-5.47100,8.21900,422.10100,-11.06600,0.00000,17.82700,17.82700,-8.50700,-1.74600,-452.36400,-452.36400,299.20100,299.20100,-314.39900,-22.61800,-490.18000,-69.41500,11.88200,-314.39900
