,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2021-12-31,360.06000,158.03500,124.19500,282.23000,-31.15300,93.28700,26.02700,51.14500,22.53900,664.82900,-68.34600,,,,,,-68.34600,-506.28000,-506.28000,3.68800,3.68800,,83.85500,-418.73700,154.35500,43.79400,
2020-12-31,-549.17700,177.05400,382.07900,559.13300,167.61400,15.30600,-40.67300,-260.38200,202.90800,212.86400,-92.29100,158.63600,,,,,66.34500,488.75310,488.75310,4.74400,4.74400,,-56.64400,436.85300,732.50700,42.07000,
2019-12-31,92.13900,186.67900,103.22100,289.90000,-45.45000,149.51900,59.45800,-36.41000,126.99200,509.03100,-145.80200,,,,,-1.31100,-147.11300,-137.81700,-137.81700,7.47200,7.47200,,-6.72500,-137.07000,229.94800,49.61800,
2018-12-31,-46.30200,182.02200,-203.58700,-21.56500,186.83400,109.91900,26.41300,197.28600,696.09700,628.23000,-159.10000,,,-39.20700,-39.20700,-4.59700,-202.90400,-190.00000,-190.00000,2.58000,2.58000,,-2.44800,-189.86800,247.92500,41.78300,
2017-12-31,-48.26000,174.00100,248.96800,422.96900,-79.10600,-222.39100,145.69500,-52.10600,-137.24900,237.46000,-281.33900,,,,,-1.64800,-282.98700,98.00000,98.00000,11.54000,11.54000,,-2.78100,106.75900,65.41000,39.93200,
2016-12-31,256.97900,144.77000,132.32300,277.09300,-249.85300,-148.05500,202.44600,-23.02900,-167.44900,366.62300,-386.74600,,6.48200,,6.48200,-0.87500,-381.13900,156.85100,156.85100,15.48500,15.48500,-2.92700,-23.29500,146.11400,122.87300,46.14900,-2.92700
2015-12-31,232.57300,100.94000,176.16600,277.10600,-191.87600,-278.52400,-22.58300,-76.47600,-495.13800,14.54100,-298.92800,-539.46000,-6.53400,,-6.53400,-2.55300,-847.47500,384.79800,384.79800,10.31000,10.31000,,-13.67500,381.43300,-463.32300,60.37600,
2014-12-31,208.04200,72.09300,76.57800,148.67100,-101.05700,-84.65800,49.13700,-33.34500,-137.68000,219.03300,-140.52800,-10.92400,,,,-0.86000,-152.31200,131.27800,131.27800,15.77600,15.77600,,35.25200,182.30600,245.68600,50.81200,
2013-12-31,162.33000,50.54900,40.53400,91.08300,-35.96000,-156.90000,14.64200,-19.04900,-133.34300,120.07000,-87.83000,-148.09700,,,,-2.17500,-238.10200,94.52900,94.52900,15.10300,15.10300,,17.16300,126.79500,5.64800,43.18400,
2012-12-31,128.77800,43.08200,18.84800,61.93000,-53.43300,4.69900,35.37000,-4.06000,9.05300,199.76100,-50.65000,,,,,3.71900,-46.93100,-19.33000,-19.33000,14.77600,14.77600,,16.85100,12.29700,166.45700,19.84500,
2011-12-31,96.91900,36.30100,27.98200,64.28300,-33.92300,-114.64600,17.20900,-42.63300,-145.98400,15.21800,-56.22800,-23.16400,,-3.86200,-3.86200,-6.18200,-89.43600,23.22600,23.22600,14.64500,14.64500,,7.93600,45.80700,-28.48600,18.06300,
2010-12-31,68.47700,31.32100,9.53600,40.85700,-32.32000,-65.23900,16.15800,-4.09900,-59.22000,50.11400,-30.18200,,,-11.12500,-11.12500,-0.47800,-41.78500,-4.28100,-4.28100,7.33500,7.33500,,4.18900,7.24300,16.57300,16.22700,
2009-12-31,46.78500,28.24900,4.13600,32.38500,3.79200,32.99800,-4.38600,1.87000,39.87100,119.04100,-19.84500,,,,,-0.03500,-19.88000,-25.36800,-25.36800,5.12800,5.12800,,3.77300,-16.46700,85.25500,12.91000,
