,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1360.60500,57.33800,43.45900,100.79700,1592.34100,-70.81600,668.27290,2129.67500,-86.82400,,,,-0.89000,-87.71400,51.46700,51.46700,-1500.92800,-1500.92800,-213.79900,-21.28000,-1684.54000,305.43900,64.39700,-213.79900
2021-12-31,1418.84500,51.31200,77.02500,128.33700,-1869.82700,91.46700,-678.68800,868.49400,-36.24700,,,,-0.39800,-36.64500,7.51200,7.51200,-408.48900,-408.48900,-195.76600,-16.80300,-613.54600,200.90100,69.38500,-195.76600
2020-12-31,698.21400,56.95900,80.41300,137.37200,-647.19300,27.62200,-180.61700,654.96900,-47.54300,,,,1.51600,-46.02700,0.04300,0.04300,-146.04200,-146.04200,-174.92900,-10.56600,-331.49400,297.30000,62.49800,-174.92900
2019-12-31,592.01600,50.95000,66.96500,117.91500,265.91900,-3.45600,61.75800,771.68900,-47.02200,,,,1.00700,-46.01500,0.24600,0.24600,-240.81500,-240.81500,-170.55300,-6.67400,-417.79600,306.75600,61.54300,-170.55300
2018-12-31,619.79000,54.01900,48.57100,102.59000,-214.97100,-0.95000,-149.57600,572.80400,-47.47400,,,,-0.92500,-48.39900,,,-465.16600,-465.16600,-156.84000,-5.73200,-627.73800,-127.36400,56.14700,-156.84000
2017-12-31,490.38300,49.31000,8.18700,57.49700,-184.77100,-5.36500,-59.24100,488.63900,-10.61100,,,,-1.07400,-11.68500,,,-273.16600,-273.16600,-150.49500,-0.90400,-424.56500,76.66400,50.90800,-150.49500
2016-12-31,432.53300,46.79600,60.11900,106.91500,-102.29700,1.98800,-9.96300,529.48500,-59.08700,-0.05400,0.01700,-0.03700,5.92800,-53.19600,,,-152.34500,-152.34500,-145.12300,-1.33500,-298.80300,166.63900,45.21700,-145.12300
2015-12-31,459.49700,46.01200,63.56300,109.57500,62.61900,0.65300,-2.51000,566.56200,-44.12500,-47.02600,87.32000,40.29400,-3.59500,-7.42600,,,-499.02700,-499.02700,-135.67300,-2.12200,-636.82200,-119.31100,43.41500,-135.67300
2014-12-31,379.46000,49.29200,35.94500,85.23700,-206.88700,-3.27000,-69.73100,394.96600,-37.47200,-136.72600,122.72600,-14.00000,-27.43900,-78.91100,,,-481.51200,-481.51200,-124.63400,0.61200,-605.53400,-320.54500,42.53300,-124.63400
2013-12-31,350.01100,48.07100,23.45900,71.53000,-64.57500,-2.01500,-14.00500,407.53600,-53.41100,-116.11600,89.91500,-26.20100,2.80600,-76.80600,,,-202.18400,-202.18400,-123.29200,-6.55200,-332.02800,-13.19000,43.81300,-123.29200
2012-12-31,332.96900,39.94000,55.07000,95.01000,-89.85600,-0.06300,-57.85300,370.12600,-47.62600,-15.87900,16.22100,0.34200,0.29000,-46.99400,,,-249.90300,-249.90300,-117.26300,4.11900,-363.04700,-33.51400,44.05800,-117.26300
2011-12-31,386.24300,36.77600,38.73600,75.51200,46.91500,-7.48300,-4.62400,457.13100,-78.11500,,0.02900,0.02900,-2.25300,-80.33900,,,-55.42500,-55.42500,-106.01100,4.34500,-157.09100,209.89100,44.27800,-106.01100
2010-12-31,344.20500,36.90000,35.07800,71.97800,-188.82300,-1.47500,-20.66500,395.51800,-42.40800,,,,0.22900,-42.17900,,,-146.52800,-146.52800,-84.87200,22.81200,-208.58800,158.53600,43.74300,-84.87200
2009-12-31,240.39700,41.55500,32.56200,74.11700,-1.07700,0.15900,16.28600,330.80000,-34.42400,0.02600,,0.02600,-6.95000,-41.34800,,,-37.58400,-37.58400,-80.55500,0.79100,-117.34800,184.90100,39.13500,-80.55500
