,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,452.26300,85.89600,7.43300,93.32900,-2.79700,-17.05900,-13.81400,-70.27500,475.31700,-46.14500,,0.00000,,,-7.53600,-53.68100,-55.67600,-55.67600,-290.42800,-290.42800,-157.53100,-12.31400,-515.94900,-95.27600,28.70900,-157.53100
2021-12-31,510.46700,80.43200,-23.82200,56.61000,-7.44800,-9.42000,52.65100,87.12900,654.20600,-94.15600,,-49.08200,,-49.08200,0.51500,-142.72300,939.78800,939.78800,-1301.22000,-1301.22000,-139.39900,-22.00200,-522.83300,-11.66600,28.67000,-139.39900
2020-12-31,491.29600,70.56400,-18.77400,51.79000,-31.20000,-24.95900,36.91300,49.70800,592.79400,-88.59400,,-40.00000,,-40.00000,-0.33300,-128.92700,-44.05800,-44.05800,-273.62000,-273.62000,-121.92500,-6.80300,-446.40600,18.22200,24.24400,-121.92500
2019-12-31,400.70900,64.67800,-6.74400,57.93400,-19.70500,-6.74100,-1.38400,38.30700,496.95000,-73.30700,-3.42300,,,,48.87600,-27.85400,582.91500,582.91500,-685.94300,-685.94300,-105.71500,-14.04900,-222.79200,246.50500,20.26500,-105.71500
2018-12-31,361.97200,61.69800,-6.60300,55.09500,-17.27300,-12.45500,-3.17800,-22.89600,394.17100,-111.52100,,,-70.15200,-70.15200,93.41600,-88.25700,365.91200,365.91200,-581.38000,-581.38000,-92.16600,-15.16900,-322.80300,-17.42700,22.79200,-92.16600
2017-12-31,277.90500,55.34500,-3.50200,51.84300,-22.92600,1.52700,10.64500,11.51300,341.26100,-83.17600,,,,,-0.56200,-83.73800,971.80700,971.80700,-1058.15400,-1058.15400,-84.29800,-26.50000,-197.14500,60.44400,20.71300,-84.29800
2016-12-31,214.67800,44.55800,-31.76100,12.79700,-18.94800,-2.94700,7.95100,64.98500,292.46000,-53.61900,,,,,-1.66100,-55.28000,-59.33400,-59.33400,-285.01600,-285.01600,-73.92500,42.48300,-375.79200,-139.89100,18.56400,-73.92500
2015-12-31,192.78900,44.82700,1.87700,46.70400,-14.76200,-2.26200,0.28500,52.29300,291.78600,-50.55800,,,,,-58.73400,-109.29200,740.59700,740.59700,-733.74300,-733.74300,-80.32900,-7.46100,-80.93600,102.59400,17.62300,-80.32900
2014-12-31,162.58700,41.53400,-11.23500,30.29900,-13.28000,-11.82700,1.78400,-0.54700,192.33900,-60.93300,,,,,3.49000,-57.44300,-12.33200,-12.33200,-73.37900,-73.37900,-52.84300,19.65600,-118.89800,16.47200,17.58700,-52.84300
2013-12-31,142.98500,31.87700,8.91100,40.78800,-12.25800,-0.24200,0.84900,10.21600,193.98900,-40.38700,,,4.51800,4.51800,-63.86400,-99.73300,-24.34900,-24.34900,-87.68100,-87.68100,-34.24100,11.46700,-134.80400,-40.43000,21.98700,-34.24100
2012-12-31,112.39200,37.76700,6.13400,43.90100,-6.45500,-0.70300,2.80200,20.55800,176.32000,-26.27900,,,,,33.62700,7.34800,109.49100,109.49100,-79.29300,-79.29300,-185.48400,-22.16300,-177.44900,4.52100,17.62100,-185.48400
2011-12-31,105.36100,30.23200,4.09800,34.33000,-6.28500,-4.90400,3.15200,13.38200,153.07300,-18.31800,,,,,-8.62300,-26.94100,-0.89000,-0.89000,-115.33100,-115.33100,,-7.26400,-123.48500,2.34700,13.95400,
2010-12-31,87.91700,31.88900,9.89100,41.78000,-3.33100,-2.35700,3.79800,-1.37200,128.32500,-22.68400,,,,,4.30400,-18.38000,-113.89900,-113.89900,8.61400,8.61400,,1.01800,-104.26700,5.55300,13.37000,
2009-12-31,79.74400,33.68500,-18.08500,15.60000,-5.69300,-1.05000,-3.99600,5.93000,101.27400,-19.14000,,,,,-13.75100,-32.89100,-75.68400,-75.68400,5.13400,5.13400,,-0.24600,-70.79600,-2.98000,17.25400,
