,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,707.75500,130.42300,20.57900,151.00200,-137.87400,-101.90200,60.98400,-68.30400,-247.09600,611.66100,-175.92100,-7.53500,,66.58600,8.90300,75.48900,-107.96700,60.00000,60.00000,-583.25990,-583.25990,13.62700,-509.63300,-20.70500,42.56400
2021-12-31,692.84300,131.68000,36.84400,168.52400,-62.44800,-67.25000,46.11000,-30.50500,-114.09300,747.27400,-161.26600,-7.00000,,-61.57600,-1.78800,-63.36400,-231.63000,160.00000,160.00000,-593.28700,-593.28700,-4.98800,-438.27500,64.53900,29.91800
2020-12-31,521.57100,125.36100,41.11700,166.47800,37.46700,18.94000,140.59800,-94.54700,102.45800,790.50700,-252.92900,0.00000,,-5.02200,-6.14300,-11.16500,-264.09400,-325.36600,-325.36600,-130.37600,-130.37600,15.24000,-440.50200,100.98000,36.86500
2019-12-31,592.19800,105.29600,48.19700,153.49300,-22.19500,-31.85400,9.78400,-58.33900,-102.60400,643.08700,-163.82300,,,941.46800,-8.84300,932.62500,768.80200,535.18800,535.18800,-2415.54300,-2415.54300,7.67700,-1872.67800,-460.56500,38.57700
2018-12-31,593.79400,108.40800,39.94600,148.35400,-47.92100,-25.39600,-81.66300,17.27800,-137.70200,604.44600,-96.07900,,-31.48600,1818.48200,-7.61500,1810.86700,1683.30200,-850.16100,-850.16100,-1262.67700,-1262.67700,-6.68400,-2119.52200,153.96100,37.54100
2017-12-31,20.31100,106.00200,89.94600,195.94800,-24.01300,0.73100,3.17500,501.48800,481.38100,697.64000,-85.47300,-5.00000,,-438.27890,-7.00000,-445.27890,-535.75200,169.97600,169.97600,-234.75500,-234.75500,0.91000,-63.86900,136.68800,39.43600
2016-12-31,521.50300,96.44900,54.54600,150.99500,-31.72100,-20.14700,6.84200,15.44800,-29.57800,642.92000,-90.96700,0.00000,-5.60900,-391.34200,,-391.34200,-487.91800,159.97500,159.97500,-263.57000,-263.57000,-12.10600,-115.70100,17.96600,40.99800
2015-12-31,469.05300,89.98700,56.16500,146.15200,-49.88800,-19.96700,27.45100,0.44700,-41.95700,573.24800,-94.85800,-3.00000,-23.49400,-278.38710,,-278.38710,-399.73900,205.07900,205.07900,-282.64500,-282.64500,-4.98300,-82.54900,65.48800,33.36800
2014-12-31,431.62000,94.23100,57.81700,152.04800,-29.43500,-15.98400,-13.68700,-12.91400,-72.02000,511.64800,-89.55900,-15.12600,-27.00800,-270.33710,,-270.33710,-402.03000,141.89700,141.89700,-263.59500,-263.59500,14.47700,-107.22100,-18.61900,32.99800
2013-12-31,450.00300,79.69500,35.53300,115.22800,-35.23300,-11.38900,-28.12700,-5.60600,-80.35500,484.87600,-118.45000,0.00000,-41.39500,-304.88400,,-304.88400,-464.72900,145.56500,145.56500,-232.62200,-232.62200,22.46900,-64.58800,-40.23900,31.70800
2012-12-31,461.44300,68.83100,-20.78000,48.05100,-39.83600,-10.93000,0.56300,-10.01100,-60.21400,449.28000,-104.74900,0.00000,-31.01600,-160.62900,,-160.62900,-296.39400,186.21700,186.21700,-267.00900,-267.00900,14.25700,-66.53500,97.04500,29.18300
2011-12-31,432.96800,66.38700,25.02000,91.40700,-12.52800,-8.70700,-11.84500,6.07900,-27.00100,497.37400,-85.43600,,-11.10000,-259.44000,,-259.44000,-355.97600,224.77700,224.77700,-310.68200,-310.68200,25.48300,-60.42200,75.49200,27.57900
2010-12-31,381.76300,62.55800,23.63800,86.19600,-43.28600,-37.03600,52.01700,18.20200,-10.10300,457.85600,-62.74000,,,-348.77500,,-348.77500,-411.51500,134.28300,134.28300,-195.70800,-195.70800,1.17300,-60.25200,-32.61300,24.85200
2009-12-31,323.31300,57.27200,77.60700,134.87900,-16.90500,-6.82300,-10.83000,-5.37100,-39.92900,418.26300,-93.79600,,-36.08600,-289.14600,,-289.14600,-419.02800,91.75300,91.75300,-192.27800,-192.27800,10.24500,-90.28000,-87.41100,28.25500
