,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,458.30000,97.90000,-26.90000,71.00000,-53.40000,-61.70000,2.50000,42.80000,-69.80000,459.50000,-64.00000,-923.10000,,,,-7.00000,-994.10000,656.40000,,656.40000,-61.00000,-61.00000,-143.90000,-14.50000,437.00000,-109.90000,24.50000,-143.90000
2021-12-31,483.30000,83.10000,-37.60000,45.50000,31.70000,-105.60000,40.00000,-6.30000,-40.20000,488.60000,-45.40000,-6.50000,7.60000,,7.60000,12.70000,-31.60000,11.10000,,11.10000,-412.80000,-412.80000,-129.00000,1.40000,-529.30000,-82.50000,23.40000,-129.00000
2020-12-31,314.50000,182.70000,29.30000,212.00000,-1.90000,-7.80000,-1.60000,-24.90000,-36.20000,490.30000,-47.10000,-12.50000,,,,2.90000,-56.70000,-0.20000,,-0.20000,-208.80000,-208.80000,-117.30000,4.40000,-321.90000,121.70000,20.80000,-117.30000
2019-12-31,402.10000,88.90000,19.40000,108.30000,-6.00000,5.40000,-11.00000,-10.60000,-22.20000,488.20000,-65.60000,-4.30000,,,,-7.70000,-77.60000,400.00000,-417.90000,-17.90000,-219.50000,-219.50000,-100.60000,-4.20000,-342.20000,68.10000,20.40000,-100.60000
2018-12-31,435.40000,86.20000,-52.80000,33.40000,-8.60000,-19.70000,33.90000,-16.60000,-11.00000,457.80000,-49.10000,-376.10000,,-14.30000,-14.30000,-4.30000,-443.80000,-35.50000,-0.60000,-36.10000,-64.10000,-64.10000,-79.40000,-3.80000,-183.40000,-175.60000,19.60000,-79.40000
2017-12-31,276.70000,66.90000,31.80000,98.70000,-22.70000,-4.40000,0.40000,-1.50000,-28.20000,347.20000,-49.30000,-19.60000,15.60000,,15.60000,3.10000,-50.20000,11.40000,-1.30000,10.10000,-52.80000,-52.80000,-60.90000,-47.30000,-150.90000,153.80000,16.20000,-60.90000
2016-12-31,231.20000,66.90000,85.30000,152.20000,-19.80000,-15.60000,3.40000,26.10000,-5.90000,377.50000,-42.40000,-35.70000,,14.10000,14.10000,,-64.00000,-47.00000,-17.40000,-64.40000,-79.30000,-79.30000,-46.00000,-6.30000,-196.00000,112.70000,16.60000,-46.00000
2015-12-31,154.30000,53.20000,91.00000,144.20000,-13.50000,-5.80000,-14.70000,-7.50000,-41.50000,257.00000,-34.90000,-511.20000,,12.30000,12.30000,,-533.80000,259.50000,18.80000,278.30000,-19.00000,-19.00000,-58.30000,-6.00000,195.00000,-90.80000,14.60000,-58.30000
2014-12-31,172.60000,48.80000,48.80000,97.60000,-8.00000,3.40000,43.40000,-53.10000,-14.30000,255.90000,-51.00000,-24.00000,,,,40.20000,-34.80000,-56.00000,-22.00000,-78.00000,-36.20000,-36.20000,-34.50000,-1.30000,-150.00000,63.10000,13.10000,-34.50000
2013-12-31,44.80000,183.70000,-35.20000,148.50000,27.90000,3.90000,-16.70000,15.50000,30.60000,223.90000,21.50000,,,,,-40.20000,-18.70000,1300.00000,38.90000,1338.90000,1.30000,1.30000,-5.20000,-1627.40000,-292.40000,-90.10000,0.80000,-5.20000
2012-12-31,225.80000,43.80000,8.90000,52.70000,2.00000,-1.20000,8.00000,-18.10000,-9.30000,269.20000,-17.50000,,,,,,-17.50000,-0.10000,-1.00000,-1.10000,,,-5.20000,-311.60000,-317.90000,-59.30000,,-5.20000
2011-12-31,224.40000,46.00000,12.30000,58.30000,-12.00000,-12.90000,25.50000,-17.80000,-17.20000,265.50000,-22.70000,19.20000,,,,,-3.50000,-0.10000,-2.50000,-2.60000,,,-9.30000,-241.70000,-253.60000,-1.50000,,-9.30000
2010-12-31,198.50000,47.30000,-10.70000,36.60000,-23.70000,7.20000,3.00000,-13.80000,-27.30000,207.80000,-20.10000,,,,,,-20.10000,-0.20000,7.20000,7.00000,,,-6.40000,-106.90000,-106.30000,83.20000,,-6.40000
