,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,1532.00000,830.00000,367.00000,1197.00000,-427.00000,-773.00000,,-369.00000,-739.00000,1990.00000,-465.00000,-253.00000,,,,25.00000,-693.00000,739.00000,1227.00000,1966.00000,-1424.00000,-1424.00000,-1037.00000,-21.00000,-516.00000,724.00000,102.00000,-1037.00000
2021-09-30,1513.00000,845.00000,-378.00000,467.00000,-143.00000,-219.00000,,-208.00000,571.00000,2551.00000,-428.00000,-706.00000,,,,44.00000,-1090.00000,-524.00000,496.00000,-28.00000,-1129.00000,-1129.00000,-904.00000,-70.00000,-2131.00000,-618.00000,76.00000,-904.00000
2020-09-30,631.00000,822.00000,214.00000,1036.00000,534.00000,45.00000,,-81.00000,812.00000,2479.00000,-316.00000,58.00000,,,,,-258.00000,-1419.00000,1804.00000,385.00000,-2129.00000,-2129.00000,-904.00000,-176.00000,-2824.00000,-861.00000,74.00000,-904.00000
2019-09-30,1100.00000,825.00000,1588.00000,2413.00000,-312.00000,-72.00000,,-220.00000,-1770.00000,1743.00000,-559.00000,-13.00000,,25.00000,25.00000,14.00000,-533.00000,-3629.00000,,-3629.00000,-5812.00000,-5812.00000,-1052.00000,-26.00000,-10519.00000,2621.00000,,-1052.00000
2018-09-30,1349.00000,824.00000,-1100.00000,-276.00000,-475.00000,-103.00000,,-170.00000,447.00000,1520.00000,-597.00000,2181.00000,,-1.00000,-1.00000,-15.00000,1568.00000,1136.00000,-3608.00000,-2472.00000,-234.00000,-234.00000,-997.00000,-46.00000,-3749.00000,-132.00000,106.00000,-997.00000
2017-09-30,829.00000,919.00000,-201.00000,718.00000,-225.00000,-51.00000,,-17.00000,-1176.00000,371.00000,-731.00000,162.00000,-21.00000,,-21.00000,-58.00000,-648.00000,725.00000,,725.00000,-494.00000,-494.00000,-759.00000,-121.00000,-649.00000,-322.00000,134.00000,-759.00000
2016-09-30,-652.00000,953.00000,-830.00000,123.00000,-344.00000,1.00000,411.00000,289.00000,2437.00000,1908.00000,-1217.00000,385.00000,-48.00000,,-48.00000,-7.00000,-887.00000,1501.00000,-743.00000,758.00000,-431.00000,-431.00000,-1221.00000,-52.00000,-946.00000,26.00000,142.00000,-1221.00000
2015-09-30,1679.00000,860.00000,-898.00000,-38.00000,-297.00000,-99.00000,,-119.00000,-41.00000,1600.00000,-1098.00000,1624.00000,-44.00000,,-44.00000,-12.00000,470.00000,108.00000,-68.00000,40.00000,-1087.00000,-1087.00000,-725.00000,-49.00000,-1821.00000,189.00000,90.00000,-725.00000
2014-09-30,1215.00000,955.00000,140.00000,1095.00000,-18.00000,-311.00000,,-223.00000,85.00000,2395.00000,-1120.00000,-1508.00000,19.00000,,19.00000,16.00000,-2593.00000,1168.00000,73.00000,1241.00000,-1063.00000,-1063.00000,-623.00000,33.00000,-412.00000,-646.00000,82.00000,-623.00000
2013-09-30,536.00000,379.00000,319.00000,698.00000,-73.00000,-56.00000,-11.00000,-72.00000,-384.00000,850.00000,-264.00000,-231.00000,,-45.00000,-45.00000,-115.00000,-655.00000,,-30.00000,-30.00000,-147.00000,-147.00000,-288.00000,-30.00000,-495.00000,-281.00000,63.00000,-288.00000
2012-09-30,-413.00000,379.00000,3101.00000,3480.00000,-121.00000,-110.00000,44.00000,-34.00000,-481.00000,2586.00000,-291.00000,-245.00000,,41.00000,41.00000,-1291.00000,-1786.00000,-3021.00000,-1.00000,-3022.00000,-274.00000,-274.00000,-461.00000,2998.00000,-759.00000,-385.00000,113.00000,-461.00000
2011-09-30,618.00000,421.00000,1737.00000,2158.00000,-47.00000,-81.00000,-33.00000,6.00000,-348.00000,2428.00000,-365.00000,323.00000,,26.00000,26.00000,-1050.00000,-1066.00000,496.00000,-532.00000,-36.00000,-1176.00000,-1176.00000,-458.00000,-61.00000,-1731.00000,-352.00000,89.00000,-458.00000
2010-09-30,302.00000,467.00000,2127.00000,2594.00000,-17.00000,-128.00000,81.00000,58.00000,-239.00000,2657.00000,-331.00000,-63.00000,58.00000,,58.00000,-1451.00000,-1787.00000,39.00000,-175.00000,-136.00000,-851.00000,-851.00000,-416.00000,-53.00000,-1456.00000,-534.00000,99.00000,-416.00000
2009-09-30,-1798.00000,3856.00000,235.00000,4091.00000,191.00000,452.00000,-337.00000,6.00000,128.00000,2421.00000,-690.00000,-589.00000,,17.00000,17.00000,59.00000,-1203.00000,534.00000,-526.00000,8.00000,-2.00000,-2.00000,-388.00000,9.00000,-373.00000,835.00000,103.00000,-388.00000
