,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,5849.00000,8903.00000,569.00000,9472.00000,-342.00000,-202.00000,-396.00000,14925.00000,-9376.00000,262.00000,-9114.00000,6332.00000,6332.00000,-11874.00000,-11874.00000,-111.00000,-114.00000,-5767.00000,44.00000,470.00000,-111.00000
2021-12-31,5320.00000,9345.00000,1414.00000,10759.00000,-35.00000,-167.00000,160.00000,16239.00000,-7635.00000,-119.00000,-7754.00000,8830.00000,8830.00000,-17621.00000,-17621.00000,-75.00000,-19.00000,-8885.00000,-400.00000,430.00000,-75.00000
2020-12-31,3676.00000,9704.00000,989.00000,10693.00000,-67.00000,-31.00000,193.00000,14562.00000,-7879.00000,-278.00000,-8157.00000,3660.00000,3660.00000,-12472.00000,-12472.00000,-154.00000,13.00000,-8953.00000,-2548.00000,351.00000,-154.00000
2019-12-31,1992.00000,9926.00000,835.00000,10761.00000,-706.00000,-196.00000,-1005.00000,11748.00000,-7195.00000,-136.00000,-7331.00000,6376.00000,6376.00000,-7640.00000,-7640.00000,-154.00000,-215.00000,-1633.00000,2784.00000,315.00000,-154.00000
2018-12-31,1506.00000,10318.00000,186.00000,10504.00000,-98.00000,-270.00000,-243.00000,11767.00000,-9125.00000,-611.00000,-9736.00000,3051.00000,3051.00000,-4986.00000,-4986.00000,-153.00000,201.00000,-1887.00000,144.00000,285.00000,-153.00000
2017-12-31,10115.00000,10588.00000,-9190.00000,1398.00000,-84.00000,76.00000,441.00000,11954.00000,-8681.00000,583.00000,-8098.00000,8769.00000,8769.00000,-13264.00000,-13264.00000,-153.00000,-122.00000,-4770.00000,-914.00000,261.00000,-153.00000
2016-12-31,3745.00000,6907.00000,-3591.00000,3316.00000,-160.00000,111.00000,980.00000,8041.00000,-5325.00000,-28229.00000,-33554.00000,1823.00000,1823.00000,3306.00000,3306.00000,-96.00000,-254.00000,4779.00000,-20734.00000,244.00000,-96.00000
2015-12-31,-271.00000,2125.00000,184.00000,2309.00000,5.00000,-3.00000,321.00000,2359.00000,-1840.00000,-15192.00000,-17032.00000,14719.00000,14719.00000,-8.00000,-8.00000,,-36.00000,14675.00000,2.00000,78.00000,
2014-12-31,-183.00000,2102.00000,342.00000,2444.00000,-51.00000,-9.00000,98.00000,2359.00000,-2221.00000,-7083.00000,-9304.00000,6826.00000,6826.00000,104.00000,104.00000,,-3.00000,6927.00000,-18.00000,55.00000,
2013-12-31,-169.00000,1854.00000,267.00000,2121.00000,10.00000,,124.00000,2158.00000,-1825.00000,-618.00000,-2443.00000,262.00000,262.00000,89.00000,89.00000,,-52.00000,299.00000,14.00000,,
2012-12-31,-304.00000,1713.00000,350.00000,2063.00000,34.00000,37.00000,117.00000,1876.00000,-1745.00000,8.00000,-1737.00000,-71.00000,-71.00000,4.00000,4.00000,,-67.00000,-134.00000,5.00000,,
2011-12-31,-369.00000,1592.00000,467.00000,2059.00000,-24.00000,34.00000,47.00000,1737.00000,-1311.00000,-55.00000,-1366.00000,417.00000,417.00000,-728.00000,-728.00000,,-62.00000,-373.00000,-2.00000,,
2010-12-31,-237.00000,1524.00000,442.00000,1966.00000,1.00000,56.00000,199.00000,1928.00000,-1209.00000,39.00000,-1170.00000,-1237.00000,-1237.00000,-6.00000,-144.00000,,-82.00000,-1463.00000,-705.00000,,
2009-12-31,10101.00000,1316.00000,-10448.00000,-9132.00000,-26.00000,-59.00000,-413.00000,594.00000,-1134.00000,-170.00000,-1304.00000,-1071.00000,-1071.00000,1614.00000,1614.00000,,-39.00000,504.00000,-206.00000,,
