,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-910.00000,1664.00000,483.00000,2147.00000,-143.00000,,-80.00000,-15.00000,-245.00000,993.00000,-913.00000,-11.00000,,,126.00000,126.00000,30.00000,-768.00000,-1241.00000,-1241.00000,1.00000,1.00000,,-42.00000,-1282.00000,-718.00000,101.00000,
2021-12-31,-1016.00000,1614.00000,303.00000,1917.00000,-135.00000,,486.00000,-67.00000,297.00000,1199.00000,206.00000,-312.00000,-1581.00000,,200.00000,200.00000,39.00000,-1448.00000,-1041.00000,-1041.00000,3.00000,3.00000,,-103.00000,-1141.00000,-2259.00000,82.00000,
2020-12-31,-1758.00000,968.00000,309.00000,1277.00000,-70.00000,,25.00000,9.00000,-76.00000,-561.00000,202.00000,-35.00000,-6314.00000,,24.00000,24.00000,23.00000,-6100.00000,8295.00000,8295.00000,2718.00000,2718.00000,,-372.00000,10641.00000,4063.00000,79.00000,
2019-12-31,81.00000,244.00000,-36.00000,208.00000,5.00000,,31.00000,10.00000,24.00000,313.00000,365.00000,,,,4.00000,4.00000,,369.00000,-703.00000,-703.00000,,,,-9.00000,-712.00000,-30.00000,20.00000,
2018-12-31,95.00000,180.00000,52.00000,232.00000,6.00000,,-17.00000,,-4.00000,323.00000,-146.00000,,-1113.00000,-8.00000,-1.00000,-9.00000,,-1268.00000,1091.00000,1091.00000,-9.00000,-9.00000,,-38.00000,1044.00000,99.00000,13.00000,
2017-12-31,73.38000,150.19600,-66.55600,83.64000,-19.11000,,,-0.42300,-27.13400,129.88600,-83.02600,,-1313.05100,,-0.60400,-0.60400,,-1396.68100,1411.09200,1411.09200,2.90000,2.90000,,-62.89100,1351.10100,84.30600,6.32200,
2016-12-31,24.52700,66.96900,15.75100,82.72000,-4.87400,0.68700,-6.34900,-0.99500,-11.87500,95.37200,-41.61300,,-0.19400,,,,,-41.80700,-69.02400,-69.02400,0.38500,0.38500,,-5.03200,-73.67100,-20.10600,3.34100,
2015-12-31,114.18300,52.54900,-106.31200,-53.76300,2.95500,-0.07100,4.85500,-11.30700,-3.70500,56.71500,-36.60900,,-125.01600,,-1.01000,-1.01000,3.88100,-158.75400,118.53300,118.53300,,,,-25.82000,92.71300,-9.32600,1.48800,
2014-12-31,-14.32200,26.38200,-0.06800,26.31400,0.35800,-0.01200,1.81100,18.29300,19.61400,31.60600,-10.56100,,48.11000,,,,2.86400,40.41300,-13.75000,-13.75000,0.24500,0.24500,-0.57500,-0.14800,-14.22800,57.79100,,-0.57500
2013-12-31,18.89700,17.88500,-12.63600,5.24900,-0.45400,-0.26400,0.40000,-0.12000,-0.61000,23.53600,-7.39400,,,,,,-0.16600,-7.56000,-5.36900,-5.36900,,,-6.09700,,-11.46600,4.51000,,-6.09700
2012-12-31,-0.99100,18.65700,11.09100,29.74800,-0.21300,0.28400,-1.47300,-0.19100,-0.39100,28.36600,-9.17100,,,,-7.56200,-7.56200,-5.09900,-21.83200,-7.35200,-7.35200,,,-4.13500,0.10600,-11.38100,-4.84700,,-4.13500
2011-12-31,-29.02000,20.38100,35.79600,56.17700,-0.18100,0.09100,0.23400,-6.76900,-5.98600,21.17100,-7.79700,,,,-0.01000,-0.01000,0.09200,-7.71500,-22.48100,-22.48100,,,-1.67300,-7.28500,-31.43900,-17.98300,,-1.67300
