,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,437.67200,41.48900,154.46900,195.95800,-77.90300,-188.07300,-11.24000,-177.28400,-386.95600,246.67400,-58.84300,,,64.16000,-1.33500,62.82500,-16.49200,-12.51000,11.23500,11.23500,-137.96500,-2.05500,-128.78500,99.34000,160.99200,-137.96500
2021-12-31,242.02300,33.37300,116.25400,149.62700,-37.97600,-102.32300,32.92600,-15.31100,-71.64000,320.01000,-94.42000,-0.79300,,-281.63100,0.50000,-281.13100,-2.54200,-378.88600,21.99200,21.99200,-109.36400,-2.83400,-90.20600,-145.68200,123.47900,-109.36400
2020-12-31,164.37500,22.16500,78.26000,100.42500,-14.12300,-29.50300,10.41000,-3.00300,3.00300,267.80300,-55.61000,,,22.14500,-3.01600,19.12900,-2.69600,-39.17700,22.58600,22.58600,-88.78600,-5.35700,-71.55700,161.99500,85.55100,-88.78600
2019-12-31,108.83900,11.79000,77.86300,89.65300,2.51200,8.86500,3.04800,-10.20400,17.81100,216.30300,-86.53800,-0.98100,,-76.76100,0.25000,-76.51100,-3.08200,-167.11200,19.92700,19.92700,-67.29400,-0.68300,-48.05000,0.25800,78.69900,-67.29400
2018-12-31,105.26800,13.91900,59.78600,73.70500,-18.07900,-37.06000,0.87100,-1.07500,-37.52200,141.45100,-22.52600,,,9.93200,2.00000,11.93200,-4.14600,-14.74000,13.66500,13.66500,-47.47500,-0.74900,-34.55900,89.94400,60.60700,-47.47500
2017-12-31,65.20300,15.54600,37.37600,52.92200,-3.78500,-27.79500,3.07700,1.60300,15.69600,133.82100,-65.77000,,,-63.02900,,-63.02900,-5.26100,-134.06000,2.85100,2.85100,-33.92600,-0.25000,-31.32500,-29.93900,52.61700,-33.92600
2016-12-31,52.72000,14.43600,43.57600,58.01200,-3.42100,-8.32300,5.48300,-11.02100,-2.94600,107.78600,-37.11200,,,-13.56800,,-13.56800,-5.04600,-55.72600,3.80700,3.80700,-33.09900,1.16500,-28.12700,21.84000,44.98900,-33.09900
2015-12-31,35.17200,14.24600,32.96400,47.21000,-5.20100,-22.21000,0.14700,-0.39000,-12.64600,69.73600,-15.68400,,,-33.46900,,-33.46900,-8.04400,-57.19700,-22.31500,-22.31500,-29.96500,5.62800,-46.65200,-35.40600,41.56300,-29.96500
2014-12-31,35.49500,13.36700,33.32000,46.68700,-1.87000,-1.14200,1.63200,-2.02900,-8.04900,74.13300,-9.51100,,-11.59000,12.41900,4.65000,17.06900,-5.33500,-9.36700,-27.17900,-27.17900,-11.65800,-0.39000,-39.22700,25.05300,33.45400,-11.65800
2013-12-31,22.89800,12.60300,20.65100,33.25400,-4.34700,-7.60600,1.44000,0.12100,4.53400,60.68600,-15.67600,,,-40.05600,2.02500,-38.03100,-0.61700,-54.32400,19.40700,19.40700,,-0.55700,18.85000,26.10900,20.70100,
2012-12-31,15.75600,9.54600,19.33200,28.87800,-4.28600,-12.00400,0.75400,-0.45600,-19.72200,24.91200,-21.04600,,,-7.91100,2.10000,-5.81100,0.02000,-26.83700,15.24200,15.24200,-35.66400,0.86900,-19.55300,-21.26700,18.65200,-35.66400
2011-12-31,13.30100,9.10800,12.72900,21.83700,3.25000,5.69900,-0.95700,0.67300,8.54700,43.68500,-21.02200,,,51.46900,5.77500,57.24400,,36.22200,-32.00200,-32.00200,,0.02700,-31.97500,48.36100,13.12600,
2010-12-31,29.56300,8.70400,18.84800,27.55200,-2.82600,-6.18400,1.15500,0.37800,-8.62100,48.49400,-22.77900,,,-11.37800,0.42500,-10.95300,-0.01900,-33.75100,-15.30300,-15.30300,,1.25600,-14.04700,1.29300,16.81000,
2009-12-31,19.67400,6.95300,16.25900,23.21200,-6.40600,-0.73700,2.69900,-0.10100,-11.12200,31.76400,-9.95400,-0.31000,,-79.33100,0.10000,-79.23100,7.36700,-82.12800,12.97500,12.97500,,0.64300,13.61800,-36.54900,14.61100,
