,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,397.36200,56.14300,229.18600,285.32900,-107.55600,-75.27300,111.53900,62.12600,744.81700,-46.44300,,-62.16200,-263.30100,-263.30100,,-371.90600,,,,10.37000,10.37000,-27.49600,-17.12600,353.92800,216.80200
2021-12-31,145.44900,32.43900,159.07700,191.51600,-151.16000,-29.25800,78.29800,15.06300,352.02800,-52.25800,-0.25000,-235.65200,-931.38700,-931.38700,,-1219.54700,610.26300,,610.26300,-271.71600,-271.71600,-29.13600,309.41100,-560.06300,114.28600
2020-12-31,133.99500,18.10300,88.88900,106.99200,-34.32100,-9.70800,-16.31900,-24.65300,216.33400,-20.55800,,,-5.01000,-5.01000,,-25.56800,180.06100,,180.06100,79.94700,79.94700,-68.33000,191.67800,383.27000,42.50300
2019-12-31,161.14800,14.11900,-37.62500,-23.50600,-68.74500,-15.78900,63.75900,1.42500,139.06700,-14.78800,,,,,,-14.78800,45.24500,,45.24500,34.80300,34.80300,-14.19800,65.85000,189.87200,20.17600
2018-12-31,-11.62700,9.66700,16.56800,26.23500,-13.51500,9.73200,-17.77500,1.52400,16.13200,-4.15100,,-15.00000,,,,-19.15100,-9.97600,,-9.97600,22.56600,22.56600,68.02400,80.61400,77.09300,11.43200
2017-12-31,-45.19200,9.00400,9.16300,18.16700,-4.80300,5.96100,2.50300,-1.41700,-28.44200,-4.12100,,,,,,-4.12100,,-10.10000,-10.10000,26.95500,26.95500,26.44200,43.29700,11.38000,6.72700
2016-12-31,-67.46200,10.78300,16.62400,27.40700,-18.01700,8.84000,7.38200,7.10200,-32.95300,-12.16700,-0.67800,1.05000,,,,-11.79500,,-6.90000,-6.90000,17.28600,17.28600,23.98900,34.37500,-10.68800,10.32600
2015-12-31,-22.08200,10.70200,13.53500,24.23700,-2.48200,-19.21000,0.99700,-23.31500,-21.16000,-12.52500,-0.23700,,,,0.30000,-12.46200,,16.85000,16.85000,4.01400,4.01400,-0.30000,20.56400,-13.58000,12.69600
2014-12-31,-8.05200,8.74200,10.66500,19.40700,-13.74600,-5.01000,6.29800,12.86700,24.22200,-13.24900,-0.75000,-2.23500,,,-0.30000,-16.53400,-8.70800,,-8.70800,5.36600,5.36600,,-3.34200,3.84200,9.74000
2013-12-31,-25.91300,6.98100,8.03600,15.01700,-5.01900,3.26300,13.23300,10.02400,-0.87200,-6.25700,,,,,,-6.25700,-2.48700,,-2.48700,2.42900,2.42900,,-0.05800,-7.10400,6.84900
2012-12-31,-38.21800,5.56800,10.21100,15.77900,-11.04000,-8.61500,-6.72500,-22.20600,-44.64500,-12.99000,,,,,,-12.99000,-4.19900,,-4.19900,58.86400,58.86400,-3.22900,51.43600,-6.23000,4.76600
2011-12-31,-32.29000,3.03200,4.40300,7.43500,-9.87400,-6.70800,23.79500,24.48800,-0.36700,-14.66200,,,,,,-14.66200,27.86600,,27.86600,2.04800,2.04800,-3.43200,26.48200,11.53100,2.12000
2010-12-31,-21.77700,1.55000,1.13200,2.68200,-1.65500,-3.03800,1.05900,1.24300,-17.85200,-3.26200,,,,,,-3.26200,6.75700,,6.75700,0.06100,45.94300,-0.23500,52.46500,31.35100,0.82900
2009-12-31,-16.92500,0.80300,0.50400,1.30700,-5.69100,-0.70000,0.03700,-3.26900,-18.88700,-2.13400,-0.03600,,,,0.04800,-2.12200,1.27000,,1.27000,0.03100,24.35900,-0.11400,25.51500,4.50600,0.18000
