,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,409.19300,545.46700,239.55000,785.01700,-463.97700,99.67200,637.85300,1832.06300,-347.20600,-6.08000,-257.19100,-87.32300,-87.32300,-86.89100,-784.69100,76.45900,76.45900,35.77500,35.77500,-255.57400,-143.34000,724.58200,110.04900
2021-12-31,-608.78600,527.94300,87.41800,615.36110,-485.21100,943.48200,1773.99300,1780.56800,-152.73400,-7.10000,-384.25100,-20.15700,-20.15700,-2.72000,-566.96200,794.12200,794.12200,480.24800,480.24800,-103.03800,1171.33200,2341.35300,209.33700
2020-12-31,-1827.79000,565.77000,99.17500,664.94500,490.58800,968.33000,79.45700,-1083.38800,-213.74600,-8.86300,-41.08300,7.76100,7.76100,31.86900,-224.06200,1576.37800,1576.37800,30.64700,30.64700,-256.94300,1350.08200,72.19700,116.88900
2019-12-31,118.21200,548.40900,95.97700,644.38590,-159.79200,-87.10300,-292.81500,469.78300,-323.56600,-42.26100,-235.07100,-57.28000,-57.28000,-32.82200,-691.00000,500.13300,500.13300,14.10400,14.10400,-185.34800,328.88900,96.03900,48.78500
2018-12-31,90.34000,486.83500,91.47400,578.30900,-135.42900,78.29800,266.32800,941.58600,-239.83300,-35.63000,-120.22800,-46.49700,-46.49700,-54.72100,-496.90900,458.27100,458.27100,22.56800,22.56800,-292.05500,188.78400,549.38100,45.58200
2017-12-31,7.77400,468.70900,15.45100,484.16000,-133.02000,-209.69300,131.58800,623.52200,-238.43500,-10.97700,-47.94600,-25.17000,-25.17000,-5.05800,-327.58600,-49.94300,-49.94300,51.06900,51.06900,-128.20900,-127.08300,299.24700,42.75500
2016-12-31,20.29700,416.24500,82.46900,498.71400,-146.12800,32.08100,79.72800,598.73900,-173.82700,-6.23400,-211.62400,-28.92200,-28.92200,-5.87000,-426.47700,237.62000,237.62000,20.29900,20.29900,-158.70700,99.21200,224.71500,32.72300
2015-12-31,-15.76900,408.12600,60.70100,468.82700,-67.23500,-69.92400,-133.67900,307.85400,-142.49100,-12.26700,-89.78000,-21.99800,-21.99800,-24.44900,-290.98500,-6.29300,-6.29300,16.28000,16.28000,-54.10800,-44.12100,-78.90400,33.36100
2014-12-31,-104.45000,519.14200,15.43500,534.57700,-14.35600,-169.14300,-137.96100,292.16600,-139.58700,-3.35000,-210.24300,-19.60000,-19.60000,-19.37800,-392.15800,261.61200,261.61200,21.79700,21.79700,-57.43800,225.97100,82.84500,39.02900
2013-12-31,-36.01500,389.11000,28.68200,417.79200,34.34400,-74.37800,51.08900,431.36100,-134.86800,,-93.53700,-9.62800,-9.62800,80.48100,-157.55200,16.58200,16.58200,85.11000,85.11000,-68.70800,32.98400,298.12900,28.41500
2012-12-31,-161.89700,446.25300,17.58400,463.83700,-20.31900,21.66500,65.15800,367.09800,-123.81100,-14.56200,-75.64100,-3.78800,-3.78800,14.01100,-203.79100,13.06400,13.06400,1.14300,1.14300,-34.09800,-19.89100,156.80200,37.06300
2011-12-31,-70.40300,356.07700,-4.74100,351.33600,-79.80700,-74.71900,-147.70900,135.70500,-107.50000,-2.59100,-39.46500,-8.37900,-8.37900,5.91800,-152.01700,-32.00700,-32.00700,79.19700,79.19700,-91.56900,-44.37900,-48.50500,50.04500
2010-12-31,-208.03600,333.10300,58.47000,391.57300,-4.58100,-20.82400,-25.01900,158.51800,-75.57800,-1.79000,491.53100,-3.45800,-3.45800,42.28200,452.98700,119.83590,119.83590,7.07300,-32.92700,-37.82300,49.08600,655.80300,52.39500
2009-12-31,-49.73400,184.81400,-52.33300,132.48100,27.60800,-48.49400,-25.47200,57.27500,-64.26700,-27.86300,-9.70700,-0.82100,-0.82100,180.13900,77.48100,-103.05400,-103.05400,-5.80300,-4.25000,-17.05200,-124.35600,37.29500,16.67500
