,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,954.30000,341.10000,-212.90000,128.20000,-57.70000,29.80000,-23.50000,1059.00000,798.60000,-451.20000,-46.00000,,-46.00000,,301.40000,-350.00000,780.00000,430.00000,-1530.00000,-1530.00000,-195.20000,-35.00000,-1330.20000,12.40000,56.50000,-195.20000
2021-12-31,666.30000,385.00000,257.60000,642.60000,-29.70000,-37.00000,-153.20000,1155.70000,-268.40000,-299.00000,-23.60000,,-23.60000,-1.00000,-592.00000,-450.00000,560.00000,110.00000,-390.70000,-390.70000,-188.20000,-30.00000,-498.90000,61.50000,55.70000,-188.20000
2020-12-31,712.70000,359.90000,73.00000,432.90000,1.80000,-103.00000,-77.40000,1068.20000,-223.70000,-285.10000,-94.80000,,-94.80000,7.80000,-595.80000,494.80000,-445.00000,49.80000,-260.80000,-260.80000,-175.80000,-58.40000,-445.20000,34.20000,47.60000,-175.80000
2019-12-31,449.90000,327.60000,26.20000,353.80000,-70.30000,57.00000,152.60000,956.30000,-216.80000,-703.70000,,,,-7.40000,-927.90000,619.70000,-170.00000,449.70000,-247.60000,-247.60000,-163.50000,-27.70000,10.90000,45.10000,42.70000,-163.50000
2018-12-31,598.70000,300.30000,50.50000,350.80000,-17.40000,-52.90000,-15.10000,934.40000,-231.00000,-153.10000,,,,118.70000,-265.40000,,-300.00000,-300.00000,-351.30000,-351.30000,,-18.50000,-669.80000,-2.80000,38.50000,
2017-12-31,555.10000,241.60000,-39.70000,201.90000,-45.50000,-19.20000,-13.50000,743.50000,-183.50000,-914.90000,,,,-7.10000,-1105.50000,,615.00000,615.00000,-241.30000,-241.30000,,-11.20000,362.50000,7.20000,31.80000,
2016-12-31,591.20000,229.60000,-204.20000,25.40000,-5.70000,-39.50000,-39.10000,577.50000,-156.50000,640.50000,0.20000,,0.20000,9.00000,493.20000,,-770.00000,-770.00000,-285.70000,-285.70000,,-8.50000,-1064.20000,-3.20000,44.50000,
2015-12-31,507.60000,228.30000,-57.90000,170.40000,-14.60000,-45.70000,-17.50000,663.80000,-166.10000,-2941.60000,0.20000,85.20000,85.40000,16.00000,-3006.30000,1194.00000,540.00000,1734.00000,739.20000,739.20000,,-32.30000,2440.90000,99.00000,44.60000,
2014-12-31,400.00000,146.10000,-25.30000,120.80000,-54.50000,-3.30000,-31.40000,489.40000,-146.80000,116.00000,0.30000,,0.30000,-5.00000,-35.50000,,160.00000,160.00000,-753.90000,-753.90000,,14.80000,-579.10000,-126.50000,35.60000,
2013-12-31,348.38000,137.29100,-26.58700,110.70400,2.10600,-28.40100,47.38800,506.92000,-145.97600,-0.70300,1.61400,,1.61400,-0.56100,-145.62600,,-190.00000,-190.00000,-197.04300,-197.04300,,102.57100,-284.47200,75.98200,36.01700,
2012-12-31,329.14200,106.53600,42.39000,148.92600,-6.42500,-98.64600,-10.10400,468.22900,-74.37300,-806.85800,0.14800,,0.14800,-2.50000,-883.58300,347.22400,10.00000,357.22400,-93.88700,-93.88700,,50.21800,313.55500,-101.78400,37.80700,
2011-12-31,282.75800,80.27400,5.44200,85.71600,-25.92600,-29.38600,7.11500,375.72100,-59.82900,-141.28100,0.18100,,0.18100,-3.20000,-204.12900,696.55900,-435.00000,261.55900,-338.43100,-338.43100,,42.09200,-34.78000,136.62900,35.27100,
2010-12-31,242.55200,69.58900,-4.81300,64.77600,-24.55900,4.17200,28.50600,336.03200,-38.64100,-205.27500,0.22700,,0.22700,,-243.68900,,250.00000,250.00000,-384.57900,-384.57900,,25.79200,-108.78700,-16.55300,32.87100,
2009-12-31,126.61400,71.98400,89.31600,161.30000,-1.99000,17.89700,38.26500,326.40100,-38.69400,-68.85700,0.31100,,0.31100,-78.10000,-185.34000,80.00000,-159.24400,-79.24400,-39.03100,-39.03100,,15.46600,-102.80900,38.34200,88.80900,
