,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,341.20000,155.90000,145.70000,301.60000,-199.90000,49.30000,-126.30000,26.70000,669.50000,-364.80000,-3.90000,-138.50000,-138.50000,-14.30000,-521.50000,,,-535.20000,-535.20000,-17.30000,-552.50000,-410.30000,126.50000
2021-12-31,216.90000,102.00000,255.60000,357.60000,-75.50000,-112.20000,-12.70000,-132.00000,442.50000,-389.20000,-30.20000,193.20000,193.20000,10.10000,-216.10000,,,20.30000,20.30000,-9.90000,10.40000,235.40000,113.40000
2020-12-31,549.70000,67.10000,-120.40000,-53.30000,-142.30000,-114.50000,15.40000,-20.80000,475.60000,-199.00000,,-807.70000,-807.70000,-11.30000,-1018.00000,906.20010,906.20010,15.30000,15.30000,-9.40000,912.10000,371.80000,119.40000
2019-12-31,101.10000,48.70000,158.60000,207.30000,-60.00000,-49.10000,-9.80000,6.10000,314.50000,-180.00000,,-834.00000,-834.00000,-1.20000,-1015.20000,,,11.90000,11.90000,-1.20000,10.70000,-690.70000,102.70000
2018-12-31,-127.10000,29.10000,262.10000,291.20000,-93.20000,-25.50000,-2.20000,-40.90000,123.20000,-67.10000,-11.30000,-60.40000,-60.40000,-1.00000,-139.80000,617.70000,617.70000,94.60000,94.60000,-1.90000,710.40000,695.60000,101.90000
2017-12-31,-50.20000,16.10000,123.50000,139.60000,-31.80000,0.40000,-1.90000,2.60000,92.00000,-66.00000,,-78.40000,-78.40000,,-144.40000,389.00000,389.00000,10.10000,10.10000,,399.10000,347.00000,106.20000
2016-12-31,-65.60000,15.00000,113.10000,128.10000,-27.20000,-9.80000,1.10000,-6.30000,56.20000,-55.70000,0.30000,-0.50000,-0.50000,,-55.90000,,,10.40000,10.40000,-2.30000,8.10000,8.40000,110.80000
2015-12-31,-57.60000,10.80000,120.20000,131.00000,-31.70000,-19.20000,1.00000,-24.40000,49.00000,-33.30000,-0.50000,-17.70000,-17.70000,,-51.50000,-2.30000,-2.30000,19.10000,19.10000,,16.80000,14.30000,82.70000
2014-12-31,-22.40000,8.40000,50.40000,58.80000,-16.30000,-7.00000,0.00000,-12.80000,23.60000,-16.20000,,-0.60000,-0.60000,,-16.80000,-2.20000,-2.20000,24.00000,24.00000,,21.80000,28.60000,50.00000
2013-12-31,-29.80000,7.70000,27.30000,35.00000,-6.50000,-1.60000,-2.90000,-2.80000,2.40000,-7.90000,,28.80000,28.80000,,20.90000,-0.20000,-0.20000,12.00000,12.00000,,11.80000,35.10000,24.60000
2012-12-31,-54.50000,7.50000,17.80000,25.30000,-7.00000,0.70000,-0.30000,-3.90000,-33.10000,-9.50000,,37.90000,37.90000,,28.40000,6.60000,6.60000,3.60000,3.60000,,10.20000,5.50000,18.40000
2011-12-31,-44.70000,4.70000,13.50000,18.20000,-5.90000,-0.10000,0.30000,-3.60000,-30.10000,-8.00000,,-38.40000,-38.40000,,-46.40000,-0.50000,-0.50000,74.70000,74.70000,,74.20000,-2.30000,13.50000
2010-12-31,-55.20000,3.10000,19.10000,22.20000,-3.20000,-5.40000,-2.00000,-9.70000,-42.70000,-6.90000,,-18.70000,-18.70000,,-25.60000,-0.90000,-0.90000,70.50000,70.50000,,69.60000,1.30000,9.40000
2009-12-31,-53.52400,3.51000,12.86500,16.37500,-2.37200,-0.19500,-3.47200,-2.24000,-39.38900,-2.69000,,-11.41400,-11.41400,,-14.10400,-1.93100,-1.93100,46.31000,46.31000,,44.37900,-9.12300,8.36600
