,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,755.20000,465.60000,40.90000,506.50000,-52.10000,-40.30000,81.30000,10.70000,41.50000,1303.20000,-86.20000,-12.80000,-3.50000,-102.50000,-762.40000,38.50000,-723.90000,-442.90000,-442.90000,-99.50000,-6.70000,-1273.00000,-110.10000,93.80000,-99.50000
2021-12-31,614.20000,395.50000,21.90000,417.40000,-84.10000,-53.60000,73.40000,-34.50000,-70.50000,961.10000,-45.50000,-2570.10000,,-2615.60000,388.70000,364.90000,753.60000,,,-132.20000,30.60000,652.00000,-1005.50000,77.40000,-97.70000
2020-12-31,1452.20000,384.00000,-700.49990,-316.49990,82.40000,-7.30000,18.10000,147.90000,301.00000,1436.70000,-70.40000,-40.40000,-37.60000,-148.40000,-989.10000,-1141.90000,-2131.00000,,,-163.40000,1598.30000,-696.10000,619.60000,62.60000,-94.40000
2019-12-31,268.10000,341.50000,572.60000,914.10000,-204.90000,93.50000,52.40000,-71.30000,89.20000,1271.40000,-74.50000,-3939.80000,-40.30000,-4054.60000,2457.90000,494.80000,2952.70000,,,-162.80000,13.00000,2802.90000,26.80000,52.50000,-93.80000
2018-12-31,490.20000,174.80000,675.00000,849.80000,-36.00000,-34.10000,60.00000,-17.00000,4.40000,1344.40000,-69.90000,-2778.60000,881.90000,-1966.60000,-108.70000,-266.10000,-374.80000,,1337.40000,-131.50000,48.00000,879.10000,216.30000,40.60000,-96.60000
2017-12-31,884.30000,160.60000,116.20000,276.80000,-55.40000,17.50000,17.70000,-100.50000,15.30000,1176.40000,-89.60000,-1556.60000,-23.50000,-1669.70000,556.20000,125.90000,682.10000,,,-97.20000,14.80000,599.70000,158.90000,44.20000,-97.20000
2016-12-31,740.20000,165.70000,179.90000,345.60000,33.80000,-31.30000,12.30000,-16.70000,51.10000,1136.90000,-101.10000,-190.10000,-19.60000,-310.80000,373.80000,2978.10000,3351.90000,,,-3048.40000,-299.70000,3.80000,803.20000,40.70000,-3048.40000
2015-12-31,863.80000,188.90000,43.20000,232.10000,-51.80000,-27.70000,53.60000,-61.30000,-86.90000,1009.00000,-117.80000,-37.10000,-19.20000,-174.10000,,,,,,,-834.90000,-834.90000,0.00000,35.20000,0.00000
2014-12-31,883.40000,178.00000,-13.90000,164.10000,-74.00000,-22.20000,28.80000,-27.80000,-100.80000,946.70000,-102.60000,-202.30000,13.80000,-291.10000,,,,,,,-655.60000,-655.60000,0.00000,30.80000,0.00000
2013-12-31,830.90000,159.70000,41.70000,201.40000,1.70000,-5.00000,-7.90000,-56.10000,-2.10000,1030.20000,-81.10000,-433.80000,3.50000,-511.40000,,,,,,,-518.80000,-518.80000,0.00000,28.80000,
2012-12-31,763.70000,145.00000,41.20000,186.20000,-37.20000,-10.70000,-2.20000,3.70000,-5.90000,944.00000,-69.60000,-286.60000,7.80000,-348.40000,,,,,,,-595.60000,-595.60000,0.00000,28.60000,
