,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1257.00000,216.00000,110.00000,326.00000,-270.00000,,170.00000,98.00000,1681.00000,-39.00000,-63.00000,,-53.00000,-53.00000,32.00000,-123.00000,-25.00000,-25.00000,-1590.00000,-1590.00000,-123.00000,-27.00000,-1765.00000,-226.00000,162.00000,-123.00000
2021-12-31,407.00000,236.00000,72.00000,308.00000,-301.00000,,-578.00000,-606.00000,109.00000,-29.00000,-44.00000,,,,16.00000,-57.00000,-1720.00000,-1720.00000,,,,-73.00000,-1793.00000,-1751.00000,193.00000,
2020-12-31,-720.00000,377.00000,145.00000,522.00000,488.00000,,832.00000,906.00000,708.00000,-46.00000,-46.00000,,,,-15.00000,-107.00000,2469.00000,2469.00000,-296.00000,-296.00000,-42.00000,-99.00000,2032.00000,2633.00000,97.00000,-42.00000
2019-12-31,886.00000,391.00000,-35.00000,356.00000,-105.00000,,148.00000,142.00000,1384.00000,39.00000,-124.00000,,,,-38.00000,-123.00000,653.00000,653.00000,-1538.00000,-1538.00000,-172.00000,-56.00000,-1113.00000,146.00000,154.00000,-172.00000
2018-12-31,769.00000,368.00000,21.00000,389.00000,-161.00000,,110.00000,97.00000,1255.00000,-72.00000,-87.00000,,,,28.00000,-131.00000,671.00000,671.00000,-1721.00000,-1721.00000,-181.00000,-69.00000,-1300.00000,-186.00000,127.00000,-181.00000
2017-12-31,1089.00000,368.00000,-685.00000,-317.00000,-204.00000,,238.00000,17.00000,849.00000,-58.00000,-75.00000,,,,-14.00000,-147.00000,-36.00000,-36.00000,-891.00000,-891.00000,-195.00000,-602.00000,-1724.00000,-1014.00000,121.00000,-195.00000
2016-12-31,354.00000,721.00000,-23.00000,698.00000,-156.00000,,54.00000,258.00000,1310.00000,-317.00000,-81.00000,,,,-25.00000,-423.00000,356.00000,356.00000,,,-277.00000,-123.00000,-44.00000,828.00000,91.00000,-277.00000
2015-12-31,1416.00000,730.00000,-594.00000,136.00000,-47.00000,-39.00000,-158.00000,-106.00000,1446.00000,1895.00000,-62.00000,-1439.00000,,,20.00000,414.00000,-1576.00000,-1576.00000,,,-138.00000,-39.00000,-1753.00000,88.00000,124.00000,-138.00000
2014-12-31,682.00000,678.00000,32.00000,710.00000,-143.00000,56.00000,41.00000,-85.00000,1307.00000,-224.00000,-69.00000,-65.00000,,,48.00000,-310.00000,-1074.00000,-1074.00000,,,,-1.00000,-1075.00000,-92.00000,78.00000,
2013-12-31,460.00000,628.00000,147.00000,775.00000,-16.00000,19.00000,796.00000,866.00000,2101.00000,-254.00000,-78.00000,-74.00000,-4.00000,-4.00000,28.00000,-382.00000,-3115.00000,-3115.00000,1243.00000,1243.00000,,9.00000,-1863.00000,-161.00000,262.00000,
2012-12-31,359.00000,545.00000,181.00000,726.00000,-82.00000,137.00000,-141.00000,25.00000,1110.00000,-433.00000,-103.00000,-31.00000,-3.00000,-3.00000,12.00000,-558.00000,-758.00000,-758.00000,,,,182.00000,-576.00000,-26.00000,50.00000,
2011-12-31,255.00000,570.00000,12.00000,582.00000,-43.00000,119.00000,103.00000,330.00000,1167.00000,-324.00000,-93.00000,-65.00000,-11.00000,-11.00000,30.00000,-463.00000,-686.00000,-686.00000,,,,-28.00000,-714.00000,-15.00000,19.00000,
2010-12-31,111.00000,605.00000,-687.00000,-82.00000,-40.00000,155.00000,759.00000,804.00000,833.00000,-148.00000,-20.00000,-222.00000,-4.00000,-4.00000,326.00000,-68.00000,-260.00000,-260.00000,,,,-443.00000,-703.00000,58.00000,56.00000,
