,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1917.00000,137.00000,586.00000,723.00000,1688.00000,-128.00000,-113.00000,1447.00000,4469.00000,-80.00000,-12.00000,-58.00000,8578.00000,-1942.00000,6636.00000,-17420.00000,-10934.00000,8016.00000,8702.00000,16718.00000,6.00000,596.00000,-854.00000,-10021.00000,6439.00000,-26.00000,120.00000,-854.00000
2021-12-31,2625.00000,32.00000,-169.00000,-137.00000,-641.00000,34.00000,-113.00000,-720.00000,1153.00000,-62.00000,,-29.00000,5184.00000,-16294.00000,-11110.00000,-3867.00000,-15068.00000,-1363.00000,-218.00000,-1581.00000,-1117.00000,-1117.00000,-823.00000,17258.00000,13737.00000,-178.00000,104.00000,-823.00000
2020-12-31,1343.00000,111.00000,911.00000,1022.00000,15.00000,305.00000,-119.00000,201.00000,1673.00000,-63.00000,,,-14922.00000,-2655.00000,-17577.00000,-7081.00000,-24721.00000,1099.00000,-113.00000,986.00000,-126.00000,-126.00000,-829.00000,23376.00000,23407.00000,359.00000,101.00000,-829.00000
2019-12-31,1717.00000,241.00000,562.00000,803.00000,138.00000,-191.00000,-121.00000,-174.00000,2906.00000,-67.00000,,-185.00000,1290.00000,-247.00000,1043.00000,-5709.00000,-4918.00000,-1505.00000,229.00000,-1276.00000,-817.00000,-382.00000,-804.00000,4528.00000,2066.00000,54.00000,96.00000,-804.00000
2018-12-31,1866.00000,382.00000,400.00000,782.00000,-26.00000,-13.00000,-117.00000,-156.00000,2506.00000,-97.00000,,124.00000,1885.00000,-1007.00000,878.00000,-3387.00000,-2482.00000,-574.00000,-148.00000,-722.00000,-1078.00000,-666.00000,-656.00000,2027.00000,-17.00000,7.00000,99.00000,-656.00000
2017-12-31,1298.00000,407.00000,660.00000,1067.00000,139.00000,31.00000,-119.00000,51.00000,1815.00000,-112.00000,,-144.00000,-1672.00000,345.00000,-1327.00000,-656.00000,-2239.00000,2104.00000,-1299.00000,805.00000,-639.00000,-989.00000,-480.00000,1082.00000,418.00000,-6.00000,100.00000,-480.00000
2016-12-31,790.00000,314.00000,412.00000,726.00000,188.00000,-79.00000,-111.00000,-2.00000,1689.00000,-145.00000,,-481.00000,-68.00000,-2368.00000,-2436.00000,-3395.00000,-6457.00000,1519.00000,-1294.00000,225.00000,-108.00000,901.00000,-335.00000,4047.00000,4838.00000,70.00000,99.00000,-335.00000
2015-12-31,920.00000,247.00000,103.00000,350.00000,158.00000,-38.00000,-108.00000,12.00000,1131.00000,-74.00000,,,1562.00000,-738.00000,824.00000,-2773.00000,-2023.00000,2584.00000,-93.00000,2491.00000,-426.00000,-426.00000,-267.00000,-952.00000,846.00000,-46.00000,58.00000,-267.00000
2014-12-31,907.00000,246.00000,-13.00000,233.00000,-86.00000,-12.00000,-106.00000,-204.00000,1320.00000,-96.00000,,-114.00000,1358.00000,-907.00000,451.00000,-3057.00000,-2816.00000,372.00000,-879.00000,-507.00000,-457.00000,-457.00000,-240.00000,2736.00000,1532.00000,36.00000,44.00000,-240.00000
2013-12-31,910.00000,221.00000,278.00000,499.00000,40.00000,-133.00000,-106.00000,-199.00000,1547.00000,-92.00000,,732.00000,-1650.00000,-1395.00000,-3045.00000,-1787.00000,-4192.00000,1028.00000,-18.00000,1010.00000,-448.00000,-448.00000,-217.00000,2333.00000,2678.00000,33.00000,35.00000,-217.00000
2012-12-31,865.00000,235.00000,155.00000,390.00000,202.00000,18.00000,-110.00000,110.00000,1299.00000,-163.00000,,776.00000,-421.00000,2118.00000,1697.00000,-2558.00000,-248.00000,-2557.00000,-152.00000,-2709.00000,-249.00000,-249.00000,-191.00000,1989.00000,-1160.00000,-109.00000,49.00000,-191.00000
2011-12-31,932.00000,201.00000,218.00000,419.00000,-201.00000,362.00000,-111.00000,50.00000,1793.00000,-179.00000,,,-2175.00000,4014.00000,1839.00000,63.00000,1723.00000,-1169.00000,-1148.00000,-2317.00000,534.00000,-1966.00000,-164.00000,1346.00000,-3101.00000,415.00000,41.00000,-164.00000
2010-12-31,584.00000,330.00000,747.00000,1077.00000,307.00000,224.00000,,531.00000,2724.00000,-153.00000,,,399.00000,-4924.00000,-4525.00000,6652.00000,1974.00000,-860.00000,1114.00000,254.00000,,,-184.00000,-4961.00000,-4891.00000,-193.00000,,-184.00000
2009-12-31,-1311.00000,389.00000,1843.00000,2232.00000,296.00000,108.00000,,404.00000,2320.00000,-213.00000,,,3478.00000,-8216.00000,-4738.00000,11560.00000,6609.00000,-2963.00000,-7952.00000,-10915.00000,986.00000,986.00000,-213.00000,439.00000,-9703.00000,-774.00000,,-213.00000
