,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,3.23900,75.43650,6.03580,6.03580,4.96860,4.38820,0.14060,1.86900,48.15470,0.84010,0.85830,0.61700,0.84010,19.69020,1.0216,0.9435
2022-07-31,3.43590,75.11400,11.07300,11.07300,8.22210,4.16080,0.13660,2.15770,41.71040,0.76370,0.77970,0.56850,0.76370,20.09620,0.8343,0.7439
2022-04-30,3.62870,75.61730,17.42090,17.42090,13.37980,10.58300,0.13500,2.21920,40.55610,1.91090,1.91980,1.42850,1.91090,19.90430,1.71600,1.63430
2022-01-31,3.91460,75.97980,23.50430,23.50430,12.93050,45.77970,0.14190,2.55290,35.25430,8.48860,8.52930,6.49740,8.48860,19.32880,0.6863,0.6183
2021-10-31,3.61400,74.21310,27.68070,27.68070,39.04650,32.38350,0.15060,2.78070,32.36590,6.65630,6.69070,4.87730,6.65630,17.16360,1.2888,1.2243
2021-07-31,3.46010,74.42420,28.84040,28.84040,31.70690,31.02610,0.15690,2.58430,34.82540,6.80770,6.84620,4.87180,6.80770,15.68120,1.5276,1.4855
2021-04-30,3.49460,72.28780,23.66690,23.66690,23.94080,23.77890,0.16240,2.61020,34.48010,5.42680,5.45850,3.86390,5.42680,14.23630,1.74620,1.48730
2021-01-31,3.80400,69.71240,29.02220,29.02220,29.98950,29.49730,0.16660,2.99450,30.05520,6.75020,6.79300,4.91900,6.75020,13.15200,1.3532,1.2806
2020-10-31,1.85600,66.71020,24.73530,24.73530,24.96420,25.53280,0.25480,2.76680,32.52800,13.24350,13.46200,6.51220,13.24350,5.24550,1.3594,1.2825
2020-07-31,1.73390,71.02260,28.34940,28.34940,28.66300,27.99340,0.25280,2.24670,40.05860,15.51440,15.83600,7.08550,15.51440,4.21610,1.3448,1.2507
2020-04-30,1.72480,68.39810,7.12590,7.12590,8.89030,8.23850,0.15870,1.27440,70.62280,3.00290,3.00290,1.30940,3.00290,3.19740,0.87730,0.85270
2020-01-31,3.28170,82.71080,5.60580,5.60580,7.72640,7.34340,0.14590,1.56310,57.57820,1.83930,1.83930,1.18920,1.83930,2.99200,0.2033,0.1496
2019-10-31,3.20760,81.48480,-1.00780,-1.00780,1.51870,1.32480,0.14020,1.73950,51.73870,0.28620,0.28620,0.18610,0.28620,2.79670,0.2112,0.1868
2019-07-31,4.00030,80.86760,1.55320,1.55320,4.63360,3.78600,0.13630,1.52410,59.05240,0.74500,0.74500,0.51790,0.74500,2.71970,0.0198,-0.0013
2019-04-30,4.45590,80.24070,1.27640,1.27640,2.07400,0.16230,0.12210,1.54630,58.20180,0.30760,0.30760,0.22160,0.30760,2.64280,0.16300,0.11240
2019-01-31,1.81640,81.54540,5.19090,5.19090,5.75050,5.38470,0.29840,1.66320,54.11310,-76.58290,-76.58290,1.60680,-76.58290,-0.08240,0.1241,0.0423
2018-10-31,,81.31070,-1.17950,-1.17950,-0.50820,-0.66360,,,,,,,,,0.1606,0.0898
2018-07-31,,82.59270,4.59170,4.59170,5.32160,0.66550,,,,,,,,,0.1236,0.0788
2018-04-30,,80.58930,-2.80340,-2.80340,-2.06930,-2.23070,,,,,,,,,0.03420,-0.01350
2018-01-31,,,,,,,,,,,,,,,0,0
