,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,2.39610,1.29770,-4.36720,72.03130,17.26180,17.26180,15.84290,13.57070,0.30640,3.08290,29.19380,-20.01700,-8.97640,4.15750,5.96000,-4.37630,2.2908,2.1972
2022-09-30,2.71920,1.34080,-3.94190,70.66270,-160.61060,-160.61060,-159.64110,-162.00470,0.24260,2.73620,32.89190,158.85870,76.48360,-39.30390,-54.14530,-4.82440,1.8295,1.7476
2022-06-30,2.93450,0.80400,4.10900,70.70400,12.40070,12.40070,12.50340,12.49680,0.16220,2.91580,30.86630,12.57930,-5.90280,2.02720,2.46530,4.58640,0.8659,0.8108
2022-03-31,2.68030,0.77900,3.52770,70.13550,14.55550,14.55550,14.84410,14.86520,0.15470,2.73500,32.90620,12.72170,-6.71230,2.29920,2.81200,5.33100,0.40600,0.34310
2021-12-31,2.17920,0.79150,3.79900,70.86120,19.83560,19.83560,20.13180,22.52800,0.18720,2.89790,31.05740,25.70030,-11.97060,4.21620,5.35970,4.94890,1.9924,1.9042
2021-09-30,2.28730,0.81250,4.35100,71.13980,15.72810,15.72810,15.73900,16.89050,0.15200,2.77940,32.38170,16.85280,-6.13980,2.56790,3.15910,4.21820,0.5846,0.5296
2021-06-30,6.61170,0.81340,4.37680,71.83420,16.84720,16.84720,16.21370,18.57710,0.16070,3.37570,26.66100,18.51220,46.37820,2.98610,3.45350,4.19490,0.839,0.8028
2021-03-31,4.43420,0.66300,1.98020,74.04560,27.35640,27.35640,28.64420,26.10860,0.22050,3.04060,29.59900,21.02540,39.74550,5.75660,7.08500,5.39310,1.02590,1.00000
2020-12-31,4.16740,0.59860,1.50290,75.57650,26.13330,26.13330,24.83290,24.06040,0.25680,3.64410,24.69730,20.00720,35.86440,6.17750,8.03040,5.89990,1.8127,1.7839
2020-09-30,4.97980,0.62300,1.66510,73.38340,26.17380,26.17380,20.02160,20.32460,0.20390,3.48150,25.85130,13.76410,27.16370,4.14360,5.18890,5.30530,1.3037,1.2907
2020-06-30,4.27190,0.61920,1.64170,74.02110,27.78860,27.78860,26.19700,22.49050,0.24330,3.56140,25.27090,18.39560,49.77210,5.47240,7.00430,4.39960,1.6198,1.6179
2020-03-31,5.70950,0.67520,2.09810,63.86140,11.12230,11.12230,4.25030,5.49080,0.15030,3.40970,26.39520,3.07780,16.99790,0.82510,0.99980,3.43690,0.24090,0.22610
2019-12-31,4.88540,0.67350,2.08300,66.36130,9.27340,9.27340,8.42640,11.58930,0.17510,4.14290,21.72420,7.69510,45.56920,2.02880,2.51260,3.43610,0.6293,0.6032
2019-09-30,6.11380,0.68120,2.15910,65.16800,7.18980,7.18980,5.09680,7.47730,0.13200,3.96160,22.71840,3.80230,30.40100,0.98730,1.21220,3.28630,0.3951,0.3484
2019-06-30,4.46610,0.43560,0.79300,67.63850,9.85560,9.85560,9.03890,10.06270,0.17720,2.40900,37.35970,4.12000,4.90110,1.78350,2.32520,3.67560,0.38,0.3468
2019-03-31,4.86970,0.44720,0.83270,68.90380,18.68620,18.68620,18.56450,18.64840,0.17260,2.25680,39.88000,7.51860,9.04480,3.21850,4.15600,3.50210,0.24150,0.21030
2018-12-31,6.07060,0.45790,0.85420,71.44850,14.74240,14.74250,11.43640,20.62260,0.22180,6.00400,14.99010,10.28970,12.54490,4.57400,5.57850,3.34720,0.8148,0.7567
2018-09-30,5.49090,0.45960,0.86130,68.77820,12.46090,12.46090,9.70700,13.23040,0.16570,1.50580,59.76720,5.04130,6.20800,2.19250,2.72440,3.28180,0.2188,0.1844
2018-06-30,5.86990,0.47280,0.90880,65.69980,9.63990,9.63990,3.49350,2.55240,0.15300,1.65140,54.49890,0.91300,1.14910,0.39050,0.48130,3.09580,0.3236,0.0012
2018-03-31,6.61620,0.46090,0.86750,65.84710,11.41160,11.41160,10.73590,10.72430,0.13900,1.51370,59.45660,3.37250,3.79420,1.49020,1.81820,3.20530,0.20810,0.18190
2017-12-31,4.28650,0.13920,0.17630,67.54930,13.42210,13.42210,13.40450,32.83970,0.22500,1.73960,51.73740,11.27510,12.63220,7.38960,9.70590,3.25940,0.3029,0.292
2017-09-30,4.25540,0.15770,0.20610,65.79900,6.97970,6.97970,12.44600,24.25460,0.18530,1.47010,61.22080,7.40980,8.45140,4.49460,6.24110,2.87620,0.1343,0.1221
2017-06-30,4.25960,0.17820,0.24070,64.87040,-11.52300,-11.52300,2.19490,11.47480,0.18350,1.69280,53.16700,3.78520,4.39440,2.10510,3.11060,2.61650,0.0994,0.0724
2017-03-31,4.37740,0.17870,0.24040,64.22890,-2.16840,-2.16840,-1.52030,-0.43450,0.18260,1.63180,55.15400,-0.14270,-0.16640,-0.07930,-0.11720,2.53770,0.02860,-0.02890
2016-12-31,4.41660,0.15380,0.20150,66.42290,3.13220,3.13220,-15.05870,-19.40220,0.18960,1.95950,45.92970,-6.20230,-7.09000,-3.67920,-5.24850,2.97270,0.16,0.1139
2016-09-30,4.55550,0.14950,0.19480,66.52200,3.05270,3.05270,2.24300,-2.73980,0.15380,1.59010,56.59920,-0.69650,-0.80530,-0.42150,-0.59240,2.98640,0.0892,-0.0031
2016-06-30,4.65400,0.15100,0.19700,65.90700,5.47050,5.47050,-3.57360,-8.56600,0.15490,2.00950,44.78750,-2.19540,-2.41290,-1.32700,-1.86380,2.92960,0.1488,-0.0203
2016-03-31,4.40300,0.15100,0.19610,65.89860,8.28740,8.28740,18.08990,1.45640,0.14900,1.83060,49.16370,0.36170,0.39940,0.21710,0.30710,2.91590,0.02440,-0.08860
2015-12-31,4.48130,0.15230,0.19660,65.64540,9.57510,9.57510,2.39830,-4.81480,0.15890,2.22310,40.48390,-1.28050,-1.41130,-0.76520,-1.08550,2.93610,0.1932,0.1159
2015-09-30,5.01790,0.15300,0.19430,63.21690,-2.53740,-2.53740,-4.25600,-10.48920,0.12200,1.98810,45.26990,-2.13480,-2.36850,-1.27940,-1.80830,2.88230,0.0294,-0.0218
2015-06-30,6.57310,0.15290,0.19280,64.29720,-6.17780,-6.17780,-2.35480,-10.35440,0.11600,2.45900,36.59990,-1.95050,-2.16540,-1.20080,-1.65230,2.91140,-0.0622,-0.0645
2015-03-31,3.03610,0.28950,0.42360,64.62600,-8.27080,-8.27080,-44.17440,-62.49420,0.17670,2.20020,40.90530,-66.63870,-35.74070,-11.04110,-19.23930,3.01370,0.20350,0.10560
2014-12-31,3.06520,0.26630,0.37490,64.91870,0.23420,0.23420,-3.49700,-8.53160,0.26370,2.49880,36.01690,-8.25480,-4.98650,-2.24940,-2.75840,3.33400,0.0012,-0.0603
2014-09-30,,,,61.97040,-6.40720,-6.40720,-8.80880,-13.16500,,,,,,,,,0.1064,0.0663
2014-06-30,,,,59.19690,-8.92520,-8.92520,-8.37230,-7.41250,,,,,,,,,-0.007,-0.046
2014-03-31,,,,62.02390,1.03360,1.03360,-0.61670,-1.14220,,,,,,,,,0.17920,0.09790
2013-12-31,,,,,,,,,,,,,,,,,0,0
2012-12-31,,,,,,,,,,,,,,,,,0,0
