,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,3.26430,57.74920,21.14780,21.14780,24.51910,21.91180,20.03140,0.62870,1.35540,7.39940,49.32820,15.69200,17.83810,12.59300,15.69200,32.37790,-1.1612,-0.8208
2021-12-31,2.94290,58.00880,24.45660,24.45660,27.56360,24.21930,21.71870,0.63440,1.70440,5.90770,61.78410,17.69990,20.33030,13.77820,17.69990,31.74410,-0.6715,-1.3091
2020-12-31,3.15180,59.26890,25.18150,25.18150,28.20820,26.35590,23.70250,0.59540,2.23760,4.92850,74.05970,17.98950,21.16940,14.11280,17.98950,28.79410,2.2568,1.9165
2019-12-31,2.95180,59.45370,25.16530,25.16530,27.99090,26.27330,25.34890,0.60930,2.02350,5.31650,68.65420,19.87040,23.04100,15.44540,19.87040,25.13820,-1.1871,-0.9902
2018-12-31,2.89300,59.14120,23.25190,23.25190,26.12550,24.59330,20.73460,0.62190,2.43440,5.87440,62.13370,16.67270,18.52910,12.89430,16.67270,21.97270,1.3449,1.2707
2017-12-31,2.96190,57.59750,21.90050,21.90050,24.66360,22.33090,22.71320,0.63080,2.55700,5.28290,69.09110,18.40420,20.59500,14.32830,18.40420,20.47100,-0.2255,-0.487
2016-12-31,2.89120,55.43790,20.77830,20.77830,23.61300,20.96740,16.99800,0.67310,2.79950,5.77880,63.16170,15.14700,16.63100,11.44110,15.14700,18.12640,2.2594,2.1629
2015-12-31,2.55320,54.55880,19.48680,19.48680,22.26530,20.11110,16.17670,0.62680,2.56030,5.30640,68.78440,13.63860,14.71900,10.13980,13.63860,17.63170,-1.2245,-1.2309
2014-12-31,2.43010,55.89000,24.05810,24.05810,26.74090,25.21180,12.68740,0.61160,3.01150,5.03460,72.49900,10.70150,11.43420,7.76020,10.70150,17.74300,-0.5171,-0.6098
2013-12-31,2.86710,53.47190,21.81100,21.81100,24.80520,24.83260,23.26930,0.53940,3.20370,4.66160,78.30000,16.73390,17.80160,12.55050,16.73390,18.75330,-0.2806,-0.3697
2012-12-31,2.78990,52.96950,22.24710,22.24710,25.57840,22.99720,19.97310,0.56350,3.27540,4.49860,81.13660,15.35770,16.44040,11.25520,15.35770,18.05700,-0.7296,-0.746
2011-12-31,3.00000,48.52490,20.07440,20.07440,23.50140,21.17620,18.88280,0.61690,3.57010,4.54120,80.37470,15.99520,17.30590,11.64970,15.99520,16.72930,0.3275,0.3138
2010-12-31,3.73490,50.05270,23.66900,23.66900,27.18780,21.46060,21.73320,0.67440,3.46650,3.59980,101.39590,19.17010,20.40920,14.65650,19.17010,15.69040,-1.5488,-1.4662
2009-12-31,3.49350,49.01210,26.67660,26.67660,29.95130,27.44500,23.89150,0.76970,4.84720,3.37080,108.28330,24.81800,26.83980,18.38910,24.81800,14.16280,5.4407,5.1961
