,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1.08650,0.43060,0.92370,22.02280,0.89760,0.89760,11.60780,7.01510,4.41440,0.80760,4.22030,86.48690,13.69300,53.33330,3.65460,7.79660,22.61920,5.3935,5.0153
2021-03-31,1.00710,0.45010,1.03840,20.54830,-2.44800,-2.44800,8.78220,3.68890,-0.84040,0.80450,4.26590,85.56260,-2.75060,-23.39740,-0.66250,-1.51250,20.84880,-8.6005,-8.0015
2020-03-31,1.13830,0.62840,1.93960,23.88520,3.49390,3.49390,48.18920,-26.70480,-27.42500,0.75280,4.45740,81.88590,-104.46480,204.58190,-20.60290,-38.82330,20.23080,2.7529,1.487
2019-03-31,0.95910,0.31810,0.63220,27.98150,9.05890,9.05890,18.75870,7.30010,6.05700,0.70170,4.00560,91.12250,10.46480,-67.41760,4.14890,7.13580,43.68070,-2.5233,-1.9364
2018-03-31,0.97650,0.30570,0.57890,24.92060,7.96480,7.96480,17.21350,6.00010,8.05690,0.64070,3.96520,92.05200,11.17290,-978.48100,4.55760,7.75750,48.48690,4.4497,5.492
2017-03-31,1.10070,0.50670,1.36800,27.05400,1.69580,1.69580,10.56920,-2.28740,-1.61690,0.87810,4.62990,78.83460,-4.61680,6.74310,-1.15430,-2.27740,15.32920,-1.2656,-0.2197
2016-03-31,1.30830,0.48760,1.30120,27.03350,1.53390,1.53390,12.32760,0.14070,3.53220,0.91860,3.88090,94.04940,3.54330,-12.56540,0.93070,1.81540,13.66080,-4.6578,-5.0659
2015-03-31,1.36250,0.35540,0.84920,24.12220,-3.68360,-3.68360,8.35280,-8.26660,0.02460,0.79410,4.82580,75.63510,-6.98150,-19.11360,-2.02520,-4.50000,21.36580,-0.1278,0.7315
2014-03-31,1.62570,0.35880,0.73230,32.21710,10.09100,10.09100,21.53050,7.79860,10.64160,0.78140,3.22540,113.16270,13.18460,43.33330,4.56580,8.45390,27.09330,3.2668,2.8013
2013-03-31,1.69390,0.44150,0.86460,20.44380,4.47340,4.47340,12.01130,1.65550,5.35400,1.26170,4.43730,82.25680,9.39870,56.25000,2.63980,5.24920,21.04350,-0.393,1.2961
2012-03-31,1.07650,0.34400,0.96680,12.28790,-3.27810,-3.27810,6.06560,-6.76070,-4.19820,1.31140,4.50510,81.01990,-26.95840,592.24800,-6.82810,-17.68520,18.26020,-2.4004,-2.8542
2011-03-31,1.80880,0.24160,0.34110,19.27870,6.33420,6.33420,13.65040,5.63470,4.74910,0.96660,4.18980,87.11560,8.94180,29.22610,4.19350,6.78100,48.93840,-0.63,-0.9173
2010-03-31,2.04320,0.36050,0.57530,20.74620,7.70680,7.70680,14.96770,6.41920,5.13160,0.96750,4.13640,88.24100,12.75350,55.74210,5.04410,8.15560,42.27370,-2.3963,-1.5756
2009-03-31,1.91910,0.42620,0.75380,20.88610,7.19330,7.19330,14.92210,5.78140,6.78550,1.05210,4.34020,84.09750,19.98930,166.61720,7.19000,11.46970,37.08300,13.0132,7.8695
