,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.33500,0.50370,3.43270,4.49520,6.28080,3.43270,2.71360,0.30770,6.54100,38.20440,0.83500,4.35000,80.04350,-2.1057,-2.3895
2021-12-31,0.28730,0.40310,7.57100,8.66840,10.35280,7.57100,13.32110,0.30030,11.03380,37.92060,1.77740,7.86400,98.00370,-8.2394,-9.438
2020-12-31,0.27450,0.37830,6.02340,7.11220,8.59490,6.02340,4.39800,0.21500,8.72660,34.23650,1.16330,6.32820,102.72560,-1.4412,-1.5894
2019-12-31,0.26100,0.35320,6.45510,7.61090,8.92250,4.75180,3.80290,0.21600,5.39510,38.57980,0.69180,3.98490,94.78700,11.6536,11.274
2018-12-31,0.28100,0.39070,4.13890,5.38370,6.25250,4.13890,2.93880,0.19610,4.92300,-26.09240,0.61480,3.53790,82.92660,1.4391,0.6976
2017-12-31,0.19970,0.24950,6.92910,7.70070,7.88460,6.92910,8.09980,0.20150,12.13590,17.03160,1.63180,9.71270,81.68000,7.8359,8.5626
2016-12-31,0.20660,0.26040,11.26690,12.03170,8.45480,11.26690,7.50680,0.25350,13.79660,18.87940,1.90310,10.94650,73.25750,-1.5776,-1.2885
2015-12-31,0.20470,0.25740,1.94860,2.48220,3.68410,1.94860,1.37140,0.34380,3.13000,4.19910,0.47140,2.48920,68.70110,-2.0524,-2.5744
2014-12-31,0.19650,0.24450,7.16780,7.73030,9.01840,7.16780,4.53600,0.32890,9.08860,12.03550,1.49200,7.30270,74.76630,-7.8489,-8.3362
2013-12-31,0.26400,0.35860,8.72820,9.58740,10.78710,8.72820,5.40370,0.30450,10.11500,13.42880,1.64530,7.44510,67.29240,5.2647,5.2432
2012-12-31,0.17070,0.20580,8.90600,9.61480,10.86040,8.90610,5.68510,0.29390,9.32830,11.46340,1.67100,7.73620,65.91790,-0.7782,-1.0857
2011-12-31,0.17970,0.21910,8.53550,9.26510,10.58190,8.53550,6.51480,0.30620,11.05790,13.96260,1.99470,9.07070,55.05800,3.895,4.0245
2010-12-31,0.18840,0.23210,7.11220,7.82330,9.18590,7.11220,3.26710,0.32310,5.82790,7.39590,1.05540,4.73020,46.86800,2.573,2.5755
2009-12-31,0.19720,0.24570,8.15590,8.85320,9.90300,8.15590,4.94880,0.33640,8.87190,11.23560,1.66500,7.12210,41.60560,2.2779,1.8194
