,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,5.35540,58.44290,29.36130,29.36130,31.67380,29.25830,24.39440,0.87140,1.66690,9.81940,37.17120,26.22990,26.33360,21.25770,26.22990,35.42150,-1.5813,-0.8265
2021-12-31,4.95650,56.75280,21.72690,21.72690,24.49000,22.53850,20.03840,0.76160,2.01350,11.52340,31.67480,19.45550,19.55880,15.26170,19.45550,26.89350,0.9861,0.1973
2020-12-31,5.72910,55.17830,18.81480,18.81480,21.43960,20.05350,19.46530,0.69880,2.40990,12.63340,28.89180,17.00570,17.12210,13.60170,17.00570,21.35300,0.9696,1.6778
2019-12-31,6.67050,55.15420,16.33360,16.33360,18.21120,18.01500,17.33320,0.65660,2.20860,11.91410,30.63600,14.07110,14.19170,11.38040,14.07110,17.73410,1.5552,0.1692
2018-12-31,7.22050,55.40490,19.48690,19.48690,21.87690,20.34440,18.07540,0.73400,1.90430,10.54770,34.60460,16.44570,16.61630,13.26740,16.44570,15.05920,0.1006,1.1048
2017-12-31,6.81420,54.84540,16.44070,16.44070,19.74180,17.61290,13.84560,0.72170,2.14190,12.38080,29.48110,12.49080,12.67350,9.99170,12.49080,12.54400,0.4993,-0.1245
2016-12-31,7.23690,54.25570,14.00870,14.00870,17.72300,14.73350,13.56440,0.76040,2.48770,11.34860,32.16270,12.22870,12.50640,10.31450,12.22870,10.56840,0.8652,0.3635
2015-12-31,7.66880,54.09390,12.33090,12.33090,16.60810,12.75750,10.56000,0.77230,2.41890,10.80330,33.78590,9.54420,9.85510,8.15520,9.54420,9.28510,-0.1567,-0.3014
2014-12-31,8.35330,54.01740,12.49400,12.49400,17.22510,12.88050,12.56310,0.70750,3.17510,11.02360,33.11080,10.24610,10.65780,8.88780,10.24610,8.92110,0.2916,0.4585
2013-12-31,7.58880,53.71940,10.04450,10.04450,15.33780,10.08310,9.61730,0.64540,2.77300,10.03330,36.37870,7.08040,7.08040,6.20700,7.08040,8.44580,0.8841,1.0588
2012-12-31,9.13470,52.91910,8.08140,8.08140,12.54600,8.36710,7.36910,0.74460,3.13450,11.03100,33.08870,6.10000,6.10000,5.48680,6.10000,7.24060,-0.5552,-0.5379
2011-12-31,8.11300,51.69680,6.82730,6.82730,11.46200,6.98460,6.76830,0.71760,4.72170,13.01710,28.04010,5.47640,5.47640,4.85670,5.47640,7.18020,-0.0395,-0.0352
2010-12-31,7.74500,55.50040,13.93620,13.93620,17.91350,14.35750,13.50900,0.77710,3.77610,11.92780,30.60070,11.97390,11.97390,10.49810,11.97390,7.04150,0.4149,0.0845
2009-12-31,8.50680,59.19590,11.83580,11.83580,16.04950,12.21030,11.92310,0.68240,3.43240,10.63130,34.33270,9.23850,9.23850,8.13580,9.23850,6.05590,0.8671,0.5953
