,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.57250,1.33890,16.52940,16.52940,61.31510,6.12420,5.43780,0.13750,2.28380,2.25900,0.83870,0.96580,12.45710,0.3406,0.1376
2021-12-31,0.60910,1.55790,20.76040,20.76040,68.78090,12.58420,11.29460,0.11980,4.69430,4.63380,1.49410,1.81150,10.92030,0.1517,0.0111
2020-12-31,0.60430,1.52720,20.07010,20.07010,69.91270,5.76190,4.83710,0.12880,2.14600,2.11660,0.71560,0.83750,10.98600,-0.1561,-0.4242
2019-12-31,0.58140,1.38890,19.18580,19.18580,63.26890,17.65480,15.69710,0.11960,5.96990,5.88850,2.07110,2.46490,11.50530,0.1245,0.3837
2018-12-31,0.54830,1.21380,33.88400,33.88400,75.50180,21.22830,19.03200,0.13570,7.70160,7.57980,2.87280,3.42380,10.60720,0.1503,0.5515
2017-12-31,0.56430,1.29500,22.88610,22.88610,66.71680,13.29750,11.83480,0.12880,4.75610,4.67860,1.71540,2.03860,10.58680,-0.077,-0.4439
2016-12-31,0.52340,1.09830,41.75820,41.75820,86.10200,34.58360,30.10860,0.12500,10.50250,10.34500,4.17180,4.93010,11.58790,0.2684,0.0782
2015-12-31,0.55180,1.23100,17.83860,17.83860,60.45660,11.35610,37.63100,0.11670,3.69570,3.63650,1.37640,1.63000,11.07760,0.1713,0.7301
2014-12-31,0.56580,1.30310,15.49600,15.49600,59.98360,0.14200,18.41100,0.11980,0.60460,0.59430,0.23810,0.25800,10.72440,0.2078,0.5803
2013-12-31,0.55610,1.25290,15.40600,15.40600,61.29070,-0.65340,5.41400,0.11150,0.08460,0.08320,0.03440,0.03690,11.21640,-0.01,-0.1043
2012-12-31,0.53240,1.13880,9.38580,9.38580,58.85540,-10.68740,28.38020,0.10450,-1.57110,-1.54670,-0.67510,-0.72320,11.96870,0.1208,-0.5422
2011-12-31,0.62820,1.68980,3.60110,3.60110,63.64280,-21.25850,1.69040,0.09270,-5.79150,-5.47140,-1.88760,-2.03410,10.55670,-0.0424,-0.0252
2010-12-31,0.68900,2.21580,-22.14240,-22.14240,38.95180,-22.46060,-21.40020,0.09500,-7.97730,-7.32470,-2.13270,-2.27770,8.82230,-0.2472,0.5684
2009-12-31,0.71010,2.44930,9.48280,9.48280,62.10530,-17.34230,-17.05370,0.10950,-7.69630,-6.96790,-1.89920,-2.02010,8.99870,1.5386,-0.3048
