,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.41400,0.16690,0.20340,27.60420,18.79550,18.98840,24.79960,18.79550,13.47420,1.12090,12.25650,28.43690,28.43690,15.60070,23.69110,49.60140,7.005,5.9573
2021-12-31,1.04430,0.19820,0.27150,22.47650,10.93470,11.26630,18.48060,10.93470,8.06610,0.84280,11.79120,13.43220,13.43220,6.96260,10.76990,41.44440,7.824,9.5545
2020-12-31,0.79650,0.22330,0.41210,17.04780,-15.91330,-15.27530,10.07370,-15.91330,-12.36350,0.54550,7.98730,-14.16620,-14.16620,-6.98750,-11.00320,38.77390,-3.525,-1.6322
2019-12-31,0.78220,0.11690,0.23590,20.30140,7.57010,7.88340,15.05410,7.57010,5.41260,0.73070,11.39640,7.42640,7.42640,4.07450,6.55810,46.99690,-1.4749,-2.596
2018-12-31,0.83960,0.09380,0.19040,22.29230,10.66570,10.92960,17.38870,10.66570,7.18100,0.83830,11.89560,10.78990,10.78990,6.18750,9.77830,46.85580,1.3698,0.4046
2017-12-31,0.81590,0.11150,0.21770,21.83310,7.64190,7.88790,16.02860,7.64190,8.06590,0.70080,11.24120,10.20460,10.20460,5.69210,9.06690,45.88350,1.7778,2.0285
2016-12-31,0.86940,0.14270,0.24600,21.37050,3.82920,4.04680,14.76600,3.82920,3.76720,0.63000,10.85140,4.81790,4.81790,2.53550,4.13050,41.90690,-1.945,0.4985
2015-12-31,0.78970,0.10130,0.21880,21.40400,8.81290,8.93770,16.17870,8.81290,6.47950,0.74010,12.05900,9.36090,9.36090,4.91480,8.41280,42.54330,-3.3046,-1.9222
2014-12-31,0.81860,0.06050,0.16080,20.26510,12.53340,12.60280,16.80180,12.53340,7.89440,1.17870,19.69420,18.56530,18.56530,9.61820,17.44270,43.10020,0.3724,0.296
2013-12-31,0.82690,0.03680,0.12580,20.48010,13.16840,13.17040,17.09100,13.16840,7.43400,1.26370,21.59900,18.53130,18.53130,9.64450,17.84980,41.63670,-1.9732,-2.1872
2012-12-31,1.00500,0.04410,0.06750,23.02110,16.37800,16.44600,19.75140,16.37800,9.33680,1.44000,25.44510,27.77640,27.77640,14.28450,26.55020,38.12970,0.7842,-0.2671
2011-12-31,0.94140,0.05480,0.10600,21.82250,15.06020,15.11090,18.31450,15.06020,8.44110,1.46930,25.31140,26.25670,26.25670,12.74910,24.81740,33.95520,1.4665,0.6
2010-12-31,0.94170,0.07410,0.09830,22.12950,13.81940,13.88700,17.73860,13.81940,7.94840,1.26680,22.99750,20.56470,20.56470,10.37920,19.03990,30.66460,4.0204,3.1723
2009-12-31,1.06100,0.05820,0.08320,20.60560,11.19720,11.37370,15.21060,11.19720,6.20760,1.33110,21.34410,17.03580,17.03580,8.42520,16.04460,24.41130,5.8659,1.2267
