,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-01-31,1.75190,0.34760,0.53280,72.40620,-3.57470,-3.57470,5.20810,-4.18210,-5.90030,0.46090,3.95890,92.19730,-6.56600,-15.03030,-2.71940,-4.28370,21.56590,0.0054,-0.3653
2022-01-31,1.02890,0.11980,0.40570,72.20960,-2.26610,-2.26610,7.20130,0.31490,0.57160,0.48950,4.13570,88.25580,0.64770,2.25250,0.27980,0.57010,18.06810,1.1464,1.1751
2021-01-31,1.12130,0.17430,0.54760,72.25260,-5.75730,-5.75730,4.89580,-6.37180,-6.54080,0.49530,4.18210,87.27580,-8.61640,-23.34950,-3.23950,-7.11460,13.48900,1.5459,1.5496
2020-01-31,1.04220,0.29050,0.50760,70.63150,-13.84620,-13.84620,-2.24080,-13.30080,-13.25190,0.53210,4.13320,88.30930,-19.33100,-133.93380,-7.05180,-13.71580,10.71790,1.0073,0.8687
2019-01-31,1.11100,0.33180,0.61520,70.41470,-16.41580,-16.41580,-4.74670,-15.01510,-14.82040,0.51120,4.00490,91.13810,-21.35670,-157.19430,-7.57610,-14.27160,8.82180,0.5569,0.304
2018-01-31,1.92190,0.42120,0.94370,70.63000,-14.14910,-14.14910,-3.08070,-14.68870,-14.98900,0.43320,4.05720,89.96330,-20.32580,-23.16360,-6.49270,-11.76550,7.45460,0.4726,0.4009
2017-01-31,1.96420,0.29510,0.41860,69.28780,-22.42620,-22.42620,-11.11310,-24.48570,-24.43400,0.48170,3.84220,94.99870,-30.13450,-35.97110,-11.77070,-21.24200,6.28870,0.4078,0.5017
2016-01-31,2.56030,0.30880,0.44670,67.62940,-21.59520,-21.59520,-8.84560,-23.69100,-23.77890,0.42370,3.94230,92.58620,-24.20860,-25.69720,-10.07470,-16.73420,5.82640,0.8058,0.6666
2015-01-31,3.28790,0.29970,0.43090,66.38960,-27.37820,-27.37820,-14.34750,-31.22030,-31.47540,0.33520,4.18280,87.26210,-22.02380,-22.72570,-10.55200,-15.42240,5.98920,0.2852,0.0755
2014-01-31,4.79660,0.28450,0.40550,62.29570,-32.68710,-32.68710,-19.61300,-36.42930,-36.78720,0.21550,5.08700,71.75180,-14.53050,-14.63520,-7.92680,-10.39700,6.48750,0.1186,-0.0211
2013-01-31,3.47090,0.02140,0.04220,57.41570,-43.06960,-43.06960,-32.43950,-43.50920,-43.76210,0.28530,4.05800,89.94660,-20.12380,-20.41640,-12.42750,-19.69250,3.56800,0.6188,0.5735
2012-01-31,1.26120,2.16780,-3.37620,51.37290,-58.35440,-58.35440,-46.14100,-59.11160,-59.49030,0.57780,2.46800,147.89030,45.33930,601.74570,-34.22870,-1997.71700,-0.12930,-0.4673,-0.6368
2011-01-31,,,,46.29120,-74.45060,-74.45060,-59.47800,-74.72530,-74.86260,,,,,,,,,0.6045,0.7489
2010-12-31,0.94300,-0.12740,-0.18840,41.42390,-82.37600,-82.37600,-67.35580,-82.45980,-82.60230,0.67650,3.18550,114.58170,57.53430,182.75360,-55.87690,286.97230,-0.80140,-0.6045,-0.7489
2010-01-31,,,,,,,,,,,,,,-210.99510,-210.99510,-59.60750,,1.3743,1.5672
2009-12-31,,,,18.77600,-203.58480,-203.58480,-177.04890,-197.46880,-197.82930,,,,,,,,,-1.3743,-1.5672
2009-01-31,,,,,,,,,,,,,,,,,,0.0,0.0
