,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.41630,0.71330,31.13460,31.13460,58.36750,32.03130,31.37580,0.17970,10.57840,10.57840,5.82480,6.17440,53.60020,1.378,0.0478
2021-12-31,0.42330,0.73400,26.14440,26.14440,56.51790,31.67050,29.81320,0.15760,8.94880,8.94880,4.87990,5.16090,53.35590,0.5836,2.4901
2020-12-31,0.42840,0.74940,25.47780,25.47780,56.26700,15.84290,14.97480,0.14990,4.33640,4.33640,2.35840,2.47880,53.23250,0.3483,-1.8098
2019-12-31,0.41460,0.70830,26.35400,26.35400,57.04030,22.46530,21.33570,0.14610,5.82910,5.82910,3.26450,3.41230,55.05190,0.3974,1.5516
2018-12-31,0.41540,0.71060,25.48840,25.48840,56.41760,14.75180,13.95050,0.13880,3.62550,3.62550,2.04010,2.11940,55.97300,0.6379,0.0132
2017-12-31,0.40650,0.68480,23.20330,23.20330,54.90600,22.35370,21.23570,0.13300,5.18010,5.18010,2.96330,3.07460,57.84690,-0.3424,-0.0396
2016-12-31,0.40390,0.67750,24.44380,24.44380,52.29860,20.07020,18.83110,0.09700,3.37850,3.37850,1.93380,2.01410,58.51140,-0.0136,-1.0795
2015-12-31,0.52050,1.08540,27.89740,27.89740,54.68940,33.79620,31.86550,0.15230,11.10720,11.11280,5.12200,5.32610,41.87600,1.0289,2.4795
2014-12-31,0.53510,1.15100,23.20120,23.20120,51.46410,14.81230,14.91240,0.14550,4.94610,4.94990,2.21270,2.29940,40.54590,0.2752,-0.5047
2013-12-31,0.52730,1.11540,23.56150,23.56150,52.48450,6.01850,18.14050,0.09290,1.21060,1.21220,0.55090,0.57230,41.60760,-0.049,5.4144
2012-12-31,0.63910,1.77110,26.03640,26.03640,53.65380,13.07660,22.11090,0.17300,6.47590,6.50410,2.22470,2.33700,22.33460,0.5056,3.8692
2011-12-31,0.68930,2.21900,21.66880,21.66880,50.70110,7.32630,11.91390,0.16190,3.86060,3.88200,1.13430,1.19930,19.08320,0.2237,-3.4591
2010-12-31,0.73510,2.77490,22.43000,22.43000,50.40200,7.58300,4.75170,0.17470,5.33190,5.37280,1.32470,1.41250,15.50370,-0.7526,-3.0531
2009-12-31,0.75540,3.08810,24.89150,24.89150,51.07800,8.63940,6.50330,0.18840,7.13720,7.20140,1.62790,1.74560,15.57750,4.9367,-0.3894
