,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.42490,0.73900,20.70620,20.70620,53.86910,44.38430,43.83260,0.12680,10.09850,10.09850,5.55500,5.80720,80.43020,1.547,1.7776
2021-12-31,0.42570,0.74120,16.17830,16.17830,50.78820,44.01550,43.76320,0.11530,9.18640,9.18640,5.04650,5.27590,78.23210,-0.0731,-2.723
2020-12-31,0.41300,0.70350,20.62360,20.62360,52.70460,35.82640,35.96420,0.11990,7.69800,7.69800,4.31120,4.51890,77.06160,-0.7858,5.1783
2019-12-31,0.39900,0.66390,27.00310,27.00310,56.94930,34.37570,33.81080,0.12160,7.15280,7.15280,4.11120,4.29880,78.14200,0.0618,-3.541
2018-12-31,0.39840,0.66210,25.59310,25.59310,54.53180,42.63520,42.65750,0.12430,9.16210,9.16210,5.30010,5.51230,76.76530,0.3097,2.7152
2017-12-31,0.41370,0.70560,26.43420,26.43420,54.40620,40.61840,40.50990,0.11720,8.43910,8.43910,4.76060,4.94800,75.22450,0.6582,1.5726
2016-12-31,0.40870,0.69120,28.37150,28.37150,54.54480,50.55670,50.55610,0.11450,10.16290,10.16290,5.78550,6.00910,74.06500,0.4561,2.1816
2015-12-31,0.39620,0.65620,28.95340,28.95340,54.59170,40.04340,39.97990,0.10960,7.53750,7.53750,4.38080,4.55120,71.82760,1.2286,-0.7934
2014-12-31,0.41770,0.71740,25.77560,25.77560,51.17710,39.67310,40.56630,0.10440,7.28630,7.28630,4.08380,4.24270,68.50740,1.0647,2.7896
2013-12-31,0.41630,0.71330,4.69890,4.69890,42.46090,3.95280,24.13940,0.09540,0.67240,0.67240,0.37730,0.39250,66.44970,0.1741,0.0581
2012-12-31,0.36020,0.56300,21.63560,21.63560,47.50080,25.02740,42.36030,0.08970,3.66080,3.66080,2.24400,2.34230,59.79560,0.7874,-4.0746
2011-12-31,0.44980,0.81760,15.37610,15.37610,42.01860,15.57790,49.06440,0.10610,3.18530,3.18530,1.65300,1.75240,46.25000,0.8057,-0.9079
2010-12-31,0.54510,1.19830,10.83190,10.83190,38.62240,10.92230,20.74380,0.10780,2.77640,2.77640,1.17700,1.26300,38.59870,-0.7481,1.01
2009-12-31,0.56580,1.30320,11.75760,11.75760,38.11160,9.96450,18.75440,0.11130,2.71130,2.71130,1.10890,1.17720,37.41160,4.6722,-0.0757
