,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.35280,0.65920,39.68410,30.50970,0.03810,14.41480,19.58040,1.22960,8.19160,12.31340,1.1459,1.1918
2021-12-31,0.26900,0.38520,26.66780,19.32620,0.03430,7.56220,9.70950,0.74510,4.90800,13.43640,0.3214,0.2446
2020-12-31,0.39130,0.65690,25.80300,19.03370,0.03060,7.56340,7.72580,0.66400,3.82760,12.77330,-0.2093,-0.2232
2019-12-31,0.45500,1.05600,37.87670,30.52510,0.04020,13.32140,15.12330,1.29450,6.51910,11.56370,-0.0702,-0.072
2018-12-31,0.43720,0.95860,38.08190,30.94740,0.03930,14.07210,16.23920,1.28060,7.06140,10.60600,-0.1592,-0.0879
2017-12-31,0.45980,1.31880,33.93380,27.02050,0.03940,12.17280,14.39850,1.13840,5.92410,10.08740,0.3974,0.3572
2016-12-31,0.44630,1.16430,27.64420,19.44110,0.03340,7.70810,9.26240,0.71400,3.82450,9.49440,0.0582,0.0414
2015-12-31,0.51640,1.16100,31.62630,22.87200,0.04070,11.16250,12.21460,0.97580,5.08210,8.29580,0.1973,0.1542
2014-12-31,0.40660,1.06400,31.18400,21.95490,0.04130,10.64300,11.03470,0.95390,5.93010,7.79850,-0.1337,-0.0833
2013-12-31,0.28760,0.78990,33.07330,23.20020,0.04420,11.24300,11.54900,1.07840,7.50180,7.32900,0.0399,0.069
2012-12-31,0.18970,0.51030,31.22660,22.45030,0.04750,11.68210,12.10810,1.12420,8.83410,6.87010,-0.6774,-0.6619
2011-12-31,0.33540,0.83770,29.03580,21.01220,0.04470,10.78370,11.30790,0.99650,6.65540,6.26800,0.6855,0.6133
2010-12-31,0.42230,1.17550,17.38850,6.92530,0.03760,6.76360,7.25100,0.58040,3.62270,5.76910,-2.5378,-2.5389
2009-12-31,0.40510,0.87690,-1035.35000,-920.15280,0.00690,-84.80720,-67.22630,-6.00170,-34.49590,7.45500,3.6904,3.598
