,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.81560,0.62600,1.67380,85.79760,9.29970,9.29970,19.98800,4.61130,3.01710,0.54110,5.50850,66.26130,9.20060,-7.41780,1.59080,3.44100,24.32150,-3.7638,-3.3618
2021-12-31,0.86570,0.68470,2.37890,82.29820,2.16330,2.16330,16.72480,-0.44200,-3.12860,0.39900,6.37360,57.26740,0.42230,-0.29930,0.06960,0.13310,22.82070,52.143,53.2842
2020-12-31,1.04220,0.67110,2.04070,68.28240,-52.29850,-52.29850,-12.44470,-60.60780,-51.68300,0.27820,6.33250,57.63900,-90.81230,56.02790,-14.59600,-22.28390,28.03680,-45.5728,-43.4694
2019-12-31,0.72200,0.43070,0.89200,82.87890,7.48320,7.48320,17.02160,6.42250,4.68220,0.56350,4.65190,78.46280,10.33240,-13.01480,2.67090,5.88170,38.82220,5.543,3.5465
2018-12-31,0.64480,0.39680,0.65780,83.39130,6.36190,6.36190,17.85620,4.32150,3.61760,0.62240,5.16000,70.73640,7.04300,-8.92180,2.20710,4.24850,38.40720,1.1201,-0.0826
2017-12-31,0.70310,0.37950,0.69330,82.53480,6.21270,6.21270,16.53080,4.14510,3.75750,0.54330,5.33120,68.46470,6.06950,-8.43730,2.00910,3.76590,40.39170,1.773,2.0803
2016-12-31,0.56310,0.35690,0.55490,81.79850,5.26560,5.26560,17.47210,3.15710,3.21400,0.55610,6.43890,56.68640,4.58450,-5.55840,1.65430,2.94830,37.94590,-0.1831,0.8421
2015-12-31,0.50220,0.39240,0.64570,80.37330,6.19820,6.19820,16.25780,13.87770,11.45730,0.43090,6.08670,59.96670,14.66090,-12.33960,4.66720,8.90860,32.80850,-0.057,-3.4637
2014-12-31,0.69850,0.47980,0.92240,79.54220,8.98350,8.98350,16.40270,8.06180,6.90720,0.63890,7.24520,50.37850,19.69400,-11.12530,4.13450,10.24440,14.90340,4.7976,4.5423
2013-12-31,0.67370,0.35610,0.55310,78.24400,7.67220,7.67220,16.34180,6.30220,4.88030,0.61650,7.02660,51.94570,9.57770,-8.60020,2.79550,6.16690,17.41890,-3.3742,-3.9004
2012-12-31,0.87780,0.34330,0.52290,77.70410,10.71180,10.71180,17.17650,8.68550,6.95150,0.56500,8.23700,44.31200,12.68020,-20.92830,4.24770,8.32650,17.65600,2.8882,2.7023
2011-12-31,0.89080,0.35150,0.54190,77.92780,13.90570,13.90570,20.24900,11.65760,13.69360,0.53020,10.16130,35.92070,14.15690,-24.79740,5.01660,9.18120,17.25670,1.7496,1.1981
2010-12-31,0.90090,0.31340,0.45650,77.40390,16.50780,16.50780,22.45940,14.03720,13.89420,0.45570,10.99760,33.18910,11.16300,-34.89110,4.58920,7.66440,19.97970,0.2748,-0.1325
2009-12-31,0.66760,0.24560,0.32550,78.02880,14.50000,14.50000,20.80990,11.65770,10.91950,0.46200,8.91130,40.95920,7.93800,-13.01340,3.67640,5.98860,18.99450,3.9289,3.3892
