,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-01-31,1.86070,57.67600,21.31110,21.31110,24.89460,21.31930,15.58870,1.26590,2.73990,81.25370,4.49210,35.59510,42.74230,19.73350,35.59510,21.32330,4.5229,3.2467
2021-01-31,2.40540,55.97590,18.62810,18.62810,22.84170,18.61360,13.37870,1.05180,2.99410,70.54410,5.17410,23.01730,28.15600,14.07130,23.01730,19.62800,1.0274,1.4372
2020-01-31,2.91410,55.87390,22.34340,22.34340,26.41280,22.55160,16.22390,1.21270,3.38640,98.94070,3.68910,33.06990,33.48880,19.67470,33.06990,14.97690,-0.4333,-0.9092
2019-01-31,2.85580,55.23450,21.46500,21.46500,25.18980,21.75120,14.71270,1.57740,3.63610,91.88840,3.97220,33.45850,34.02890,23.20710,33.45850,11.04370,1.9515,1.425
2018-01-31,4.90870,52.80090,17.21290,17.21290,21.29850,17.36380,9.76380,1.32560,3.79410,138.17250,2.64160,16.19720,16.45140,12.94290,16.19720,11.79170,0.7786,0.7085
2017-01-31,4.80490,51.16960,17.96420,17.96420,21.70500,18.03150,12.94070,1.41440,3.83600,254.82520,1.43240,22.30790,22.71810,18.30310,22.30790,9.92070,0.6896,0.6212
2016-01-31,4.06660,48.39380,17.91180,17.91180,21.47310,17.88360,12.91160,1.56800,3.74410,157.19580,2.32190,25.89310,26.53290,20.24590,25.89310,7.48420,-0.0546,-0.2453
2015-01-31,5.94820,50.86650,20.92310,20.92310,24.17060,21.31830,13.30020,1.38650,4.24300,130.74440,2.79170,21.93830,22.47810,18.44090,21.93830,7.67600,0.2733,0.1721
2014-01-31,8.13620,52.79550,24.59530,24.59530,27.67910,24.95780,17.56850,1.27050,3.97860,133.67960,2.73040,25.49030,26.16300,22.32110,25.49030,7.54790,-0.0152,-0.1044
2013-01-31,5.90190,55.66620,27.47010,27.47010,30.60800,27.83190,19.74350,1.30380,3.91400,215.77040,1.69160,30.59070,31.66860,25.82410,30.59070,7.89620,0.5195,0.7221
2012-01-31,5.09570,56.88740,28.67180,28.67180,31.69510,28.92150,18.39090,1.36240,4.14510,192.39500,1.89710,30.51300,32.20640,25.17770,30.51300,4.22290,0.1504,-0.3938
2011-01-31,4.56020,55.49320,25.34640,25.34640,28.80480,25.75190,17.12050,1.42540,5.51180,78.07200,4.67520,30.99140,33.27980,24.47360,30.99140,3.69340,0.4199,0.2313
2010-01-31,3.68810,49.25750,19.10940,19.10940,23.70910,19.14560,12.86850,1.47400,5.21470,54.97670,6.63920,25.00170,25.89600,18.96810,25.00170,1.65300,0.504,0.7044
2009-01-31,2.58050,50.65720,16.00170,16.00170,20.47790,16.23390,11.13560,1.67030,3.35100,87.73590,4.16020,26.15630,27.61140,19.13710,26.15630,1.10700,0.3273,0.0177
