,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.59170,1.44930,48.99650,48.99650,77.14390,36.82700,35.13260,0.13050,13.76600,13.04080,4.80520,5.32440,37.29900,0.3266,0.6204
2021-12-31,0.60740,1.54690,41.49650,41.49650,70.92980,28.28790,26.64530,0.12480,10.74970,10.10390,3.53020,3.96720,33.88100,1.1936,2.3178
2020-12-31,0.63130,1.71200,34.65300,34.65300,65.17710,16.26440,14.80130,0.10980,5.68870,5.33160,1.78620,1.96590,33.21840,-1.2795,-2.6148
2019-12-31,0.56530,1.30060,50.32240,50.32240,75.94340,38.52820,36.84780,0.13770,14.56070,13.67690,5.30600,5.94480,34.89670,-0.8706,-1.3293
2018-12-31,0.56690,1.30880,39.50420,39.50420,66.18500,27.20300,25.44530,0.14550,10.79280,10.09290,3.95930,4.37150,33.23020,0.6967,2.857
2017-12-31,0.57870,1.37350,47.84640,47.84640,73.04620,34.74320,33.41860,0.13660,13.34830,12.45530,4.74640,5.24760,32.71970,0.3327,-0.6969
2016-12-31,0.57410,1.34810,40.04470,40.04470,64.19480,28.24700,31.10930,0.14780,10.96040,10.90770,4.17510,4.64530,28.83260,0.6694,-1.3894
2015-12-31,0.59590,1.47440,40.34260,40.34260,63.83630,25.54990,28.07500,0.15190,10.72810,10.66790,3.88220,4.31140,25.64190,0.2215,1.4739
2014-12-31,0.58740,1.42370,39.50460,39.50460,64.40130,24.47030,23.75650,0.15090,9.97810,9.91920,3.69240,4.09260,24.67070,0.3258,-0.5916
2013-12-31,0.61210,1.57810,39.87380,39.87380,65.14770,21.62040,25.29770,0.15110,9.43070,9.36660,3.26620,3.63310,22.05810,0.1719,-1.4384
2012-12-31,0.62760,1.68520,41.90590,41.90590,65.35270,23.60090,24.85000,0.15540,10.99280,10.90900,3.66730,4.06260,20.22050,0.7219,0.177
2011-12-31,0.62980,1.70110,41.09250,41.09250,64.05880,23.64690,25.88830,0.15030,10.58980,10.50450,3.55460,3.88890,19.52350,-0.2776,-1.1004
2010-12-31,0.61300,1.58380,42.30700,42.30700,64.42170,23.22850,22.45800,0.17150,11.38130,11.27930,3.98320,4.36540,18.13490,-0.1051,0.1483
2009-12-31,0.59740,1.48370,39.64080,39.64080,61.41530,19.16970,18.49580,0.16400,8.45030,8.38050,3.14450,3.37420,19.74240,4.2916,2.5854
