,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.89300,0.68600,2.21110,34.89240,12.48440,12.48440,20.43030,9.45870,7.57110,0.56870,4.86820,74.97570,18.92460,-8.40780,4.30600,5.94230,31.04470,-3.2299,-3.484
2021-12-31,0.90880,0.66570,2.00680,33.45110,10.04040,10.04040,19.27350,8.13030,6.96270,0.56200,5.31770,68.63810,16.07080,-7.95770,3.93290,5.37180,31.69990,5.041,4.9179
2020-12-31,1.11670,0.66350,1.99570,33.97310,6.43540,6.43540,17.92410,3.28370,2.45620,0.46240,4.60620,79.24030,4.90450,-2.66000,1.25390,1.65020,32.84520,2.947,2.7038
2019-12-31,1.04590,0.64830,1.85930,34.16310,7.00760,7.00760,17.96540,3.17460,1.72260,0.47690,4.20320,86.83890,3.62450,-1.98950,0.97630,1.27470,32.56890,1.0761,0.365
2018-12-31,1.09620,0.61070,1.58280,35.20940,7.11680,7.11680,18.18100,3.15020,2.48750,0.46180,4.22740,86.34220,4.08400,-2.63040,1.25950,1.59010,35.21010,1.6655,1.1185
2017-12-31,1.12610,0.55110,1.24030,35.05460,6.85430,6.85430,17.81080,3.03030,13.16220,0.42450,4.52520,80.65970,15.72050,-12.70960,5.67000,7.05650,39.61560,-1.3003,-1.879
2016-12-31,1.23360,0.44510,0.81260,30.33020,8.45190,8.45190,13.58770,6.10420,1.05650,0.32130,3.91440,93.24510,0.98190,-1.05370,0.41020,0.54480,37.63810,1.8681,1.4101
2015-12-31,1.51320,1.16130,-7.34520,28.25520,11.26020,11.26020,13.82260,9.39520,6.74570,1.46130,4.78080,76.34650,-115.47620,-27.24720,9.88280,18.62700,-2.81410,0.487,0.4991
2014-12-31,1.45800,1.44600,-3.24350,27.49080,10.80590,10.80590,13.15020,9.17580,6.53850,1.65660,5.34970,68.22770,-50.70940,-24.64300,10.83150,22.61500,-5.67160,0.2263,0.2683
2013-12-31,1.31270,1.48790,-3.06530,26.21630,9.06620,9.06620,11.60230,6.33620,4.44340,1.66280,5.42290,67.30740,-33.86250,-16.43640,7.37010,16.52120,-5.14830,0.2266,0.134
2012-12-31,1.15360,2.34930,-1.78210,25.34020,8.14790,8.14790,10.35780,5.49640,3.64910,1.94690,6.37710,57.23630,-12.99670,-9.13160,7.06760,17.53640,-11.73980,1.4852,1.5191
2011-12-31,1.14540,1.98730,-2.03370,26.38700,7.97760,7.97760,10.79710,4.26720,5.58660,1.86310,6.04020,60.42840,-24.78630,-15.84170,10.34590,24.47040,-8.36100,-1.84,-1.7981
2010-12-31,,,,28.52130,10.06630,10.06630,12.68570,6.16020,4.09260,,,,,,,,,3.2047,2.5464
