,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,0.21700,0.27710,13.98390,13.98390,16.70390,12.93440,10.46900,0.29240,13.50730,15.68930,3.08840,10.37870,53.27450,0.824,0.7645
2020-12-31,0.19000,0.23450,11.98660,11.98660,14.91990,10.32990,8.36140,0.27690,9.53240,11.06720,2.34380,7.58250,51.76170,1.1734,1.145
2019-12-31,0.21090,0.29800,14.46480,14.46480,16.57670,12.34330,9.95180,0.29290,13.08360,15.69200,2.94420,10.11250,45.24850,1.7532,1.8006
2018-12-31,0.24560,0.35710,10.85200,10.85200,13.51620,9.24820,9.50150,0.30420,11.63160,13.31360,2.38340,8.55120,36.47770,1.7979,2.1501
2017-12-31,0.25740,0.37040,6.05410,6.05410,8.57710,4.21280,-18.24380,0.07620,-1.94160,-2.26940,-0.11630,-1.44180,37.81580,0.7774,0.6574
2016-12-31,0.21000,0.29050,8.74100,8.74100,12.00050,2.74380,5.50000,0.07250,3.62660,3.76260,0.27300,2.86490,45.20140,-1.2487,-1.0939
2015-12-31,0.22370,0.30380,11.53340,11.53340,14.56520,9.23920,10.51450,0.07010,6.73960,6.93540,0.52070,5.23190,43.90510,2.3835,1.9243
2014-12-31,0.23190,0.32630,11.02400,11.02400,14.46760,9.12750,4.28710,0.07600,7.20620,7.40310,0.55060,5.53480,44.10770,1.5768,1.4443
2013-12-31,0.24410,0.34620,17.68010,17.68010,25.22610,7.11560,0.80300,0.07440,6.47980,6.65510,0.44080,4.89780,41.70620,-3.2331,-3.2218
2012-12-31,0.23690,0.32460,8.19980,8.19980,19.31540,-0.40300,-0.36220,0.07400,1.00500,1.00950,0.07370,0.74790,51.44780,0.9972,0.8555
2011-12-31,0.23310,0.30390,3.25770,3.25770,9.91120,0.92030,3.08290,0.07180,2.73770,2.79790,0.18940,2.04530,48.55170,-2.115,-2.115
2010-12-31,0.24490,0.34410,12.60830,12.60830,15.91460,10.30430,5.08410,0.06930,8.60540,8.82660,0.53400,6.31970,45.68900,-1.7156,-1.7156
2009-12-31,0.27040,0.38980,-5.09560,-5.09560,2.74630,-7.04380,-4.15010,0.07940,-5.91270,-5.29060,-0.28700,-3.60030,46.71980,8.5879,8.5879
