,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-01-31,1.04870,0.15410,0.18220,73.47880,2.06850,2.06850,19.60590,5.78290,5.45070,0.27830,2.72020,134.18140,2.48400,118.75000,1.51670,2.10120,58.77760,0.9978,1.0251
2021-01-31,1.23470,0.06050,0.06440,74.41180,2.14100,2.14100,20.51100,12.05060,19.16060,0.32050,2.72950,133.72340,9.81370,36.81400,6.14170,9.21980,45.15020,0.0671,0.0601
2020-01-31,1.07530,0.07310,0.07890,75.23100,1.73700,1.73700,19.34730,4.12910,0.73690,0.31020,2.76940,131.79960,0.37180,3.12890,0.22860,0.34470,37.94510,0.7108,0.722
2019-01-31,0.94920,0.16900,0.20330,74.01750,4.02800,4.02800,16.97030,7.40100,8.35720,0.43210,2.69740,135.31550,7.11310,133.57400,3.61130,5.91120,20.26620,0.6593,0.6182
2018-01-31,0.95200,0.06280,0.16580,73.69070,4.30740,4.30740,17.36240,3.98480,3.41560,0.47940,2.68810,135.78410,3.46950,16.10740,1.63760,3.25170,14.21370,0.6366,0.5729
2017-01-31,0.82200,0.21120,0.26780,73.52140,2.58390,2.58390,16.01280,2.12160,3.82840,0.47980,2.63930,138.29260,4.30660,-36.82620,1.83680,3.39700,10.60150,0.5614,0.3285
2016-01-31,1.02040,0.20450,0.25710,75.18380,1.72370,1.72370,14.80700,0.96410,-0.71130,0.52240,2.67100,136.65380,-0.94800,-7.15400,-0.37160,-0.75410,7.45660,0.6343,0.6697
2015-01-31,0.80060,0.25640,0.34480,76.00730,-2.71020,-2.71020,11.16430,-3.96540,-4.88850,0.50380,2.82000,129.43120,-6.60820,-136.44490,-2.46310,-4.91380,6.11010,0.428,0.4631
2014-01-31,0.67340,0.30000,0.61680,76.21160,-7.02710,-7.02710,8.04430,-8.79230,-5.70310,0.44480,2.99150,122.01060,-7.64110,50.22030,-2.53660,-5.34910,4.98000,0.1604,-0.0292
2013-01-31,0.69090,,0.22490,77.58900,-3.62960,-3.62960,9.34330,-4.18970,-8.86650,0.55170,3.49540,104.42330,-11.66900,-34.30930,-4.89140,-11.66900,3.95750,0.2116,0.1809
2012-01-31,0.72700,0.04340,0.35800,78.43030,-1.54800,-1.54800,10.57750,-1.47000,-0.51060,0.54430,3.31490,110.10930,-0.72900,-1.44290,-0.27790,-0.69730,2.89590,0.2527,0.1388
2011-01-31,0.84210,0.28070,0.39020,80.45950,5.88350,5.88350,16.47560,6.29390,3.89070,0.53610,3.88140,94.03810,5.46000,7.91640,2.25470,3.92770,2.40080,0.3115,0.2418
2010-01-31,1.87880,0.30500,0.43880,80.24450,8.82920,8.82920,17.85170,10.90560,6.18260,0.53070,4.06780,89.72920,8.01500,8.40440,3.44250,5.57060,2.07760,0.0704,0.0957
2009-01-31,1.39320,0.01100,0.01120,79.52480,5.91980,5.91980,14.71490,7.94900,4.03320,0.72760,4.03960,90.35600,7.03820,7.53350,3.24600,6.96060,1.38890,0.4583,0.3364
