,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,4.75550,,50.30170,25.11030,25.11030,26.08060,24.90810,18.88160,0.76100,3.35230,6.21040,58.77220,16.96250,27.16450,14.36890,16.96250,13.45020,-0.4929,-0.765
2021-12-31,4.85150,,56.09670,32.43730,32.43730,33.34240,32.50870,24.85810,0.71000,4.10010,6.18000,59.06140,20.97590,33.08910,17.64910,20.97590,12.40630,-0.3931,-0.3832
2020-12-31,4.18800,,59.23230,35.51380,35.51380,36.75400,35.36170,30.65240,0.74140,5.62850,6.90470,52.86230,27.31320,50.88470,22.72540,27.31320,9.77260,0.5132,0.6076
2019-12-31,3.50370,,59.95460,33.39680,33.39680,34.84240,33.70680,26.37190,0.81560,4.66340,7.77450,46.94810,26.55860,61.97560,21.50990,26.55860,7.77210,-0.0215,-0.1031
2018-12-31,3.00120,,60.29060,33.71570,33.71570,35.21230,33.96930,26.08240,0.84100,5.44390,7.85700,46.45560,27.50020,80.51080,21.93570,27.50020,6.64160,0.3477,0.3877
2017-12-31,3.72330,,63.45090,35.58240,35.58240,37.03350,35.66660,24.35940,0.70320,4.81480,7.49550,48.69590,21.06890,53.65720,17.12950,21.06890,6.87840,0.5421,1.7129
2016-12-31,3.04360,,63.68480,35.59190,35.59190,36.93140,35.40660,23.37140,0.73420,6.83700,5.32130,68.59190,21.40380,73.82040,17.15880,21.40380,5.87700,0.2646,-0.9883
2015-12-31,8.77340,,59.95460,32.82400,32.82400,33.95740,32.74660,20.08160,0.48870,6.98340,5.69630,64.07690,11.36800,17.62680,9.81340,11.36800,7.90110,-0.238,-0.2464
2014-12-31,4.64740,,54.35630,30.32640,30.32640,31.36700,30.25670,19.60290,1.27130,6.44460,8.77940,41.57450,31.89030,32.99540,24.92090,31.89020,3.01120,0.4851,0.4946
2013-12-31,3.74360,,52.21320,25.50340,25.50340,26.51670,25.10180,15.07550,1.58140,4.84760,7.58470,48.12340,34.12960,36.55250,23.84080,34.12960,1.98270,0.1338,0.1504
2012-12-31,2.89410,,51.71330,26.72020,26.72020,27.71800,26.64890,16.50020,1.97510,4.89910,8.70560,41.92710,52.76560,57.65500,32.59000,52.76560,1.29570,-0.0723,-0.1053
2011-12-31,4.44470,,52.50670,26.79750,26.79750,27.80050,26.84720,16.80450,1.25020,5.19830,7.78650,46.87590,29.23110,30.75100,21.00850,29.23110,1.87280,0.1857,0.1633
2010-12-31,4.97270,,52.16800,26.67400,26.67400,27.57710,26.78820,16.26060,1.13690,4.07010,7.83360,46.59390,25.59510,27.00720,18.48630,25.59510,1.55170,0.1353,0.153
2009-12-31,6.99280,0.00040,53.55690,29.50310,29.50310,30.01980,29.36200,18.25560,1.42900,4.91000,10.49810,34.76810,35.68080,37.84920,26.08720,35.68080,1.10590,0.2751,0.2351
