,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.25880,70.52300,17.20640,17.20640,20.57470,16.04060,9.68160,0.62790,3.24980,4.34420,84.02030,10.03990,11.67090,6.07900,10.03990,46.60930,-7.4651,-6.1529
2021-12-31,1.29620,74.26420,24.70280,24.70280,27.45370,25.61420,19.53200,0.66520,4.41830,4.40550,82.85140,21.31050,24.94850,12.99240,21.31050,46.02610,6.3599,3.2807
2020-12-31,1.39520,71.33000,15.66260,15.66260,19.44660,15.33000,71.84180,0.51180,5.08990,3.75840,97.11480,54.91530,66.78840,36.77030,54.91530,41.00770,-0.9716,-1.0579
2019-12-31,1.68230,72.45720,22.54010,22.54010,25.82200,23.37760,18.39690,0.96240,5.91600,4.37370,83.45380,32.89160,34.85120,17.70610,32.89160,17.16330,2.5113,3.3872
2018-12-31,1.88200,73.62690,23.72570,23.72570,26.50870,23.73010,20.35270,0.95810,9.32090,4.47940,81.48430,31.94490,34.18060,19.50030,31.94490,15.70470,1.4589,1.1054
2017-12-31,2.31650,75.80680,23.99950,23.99950,26.56080,24.75880,15.70630,0.82590,11.24920,4.54490,80.30950,20.04860,21.72490,12.97180,20.04860,14.42140,2.3197,0.7944
2016-12-31,2.68950,75.49900,23.05090,23.05090,25.27360,22.46240,17.56520,0.77350,9.75190,4.36460,83.62690,19.05610,20.76680,13.58610,19.05610,12.51230,0.1198,-0.0906
2015-12-31,2.69450,75.70910,22.31070,22.31070,24.44010,22.01110,17.03400,0.72970,10.55100,5.33260,68.44670,16.98500,18.73400,12.43020,16.98500,10.66570,0.162,-0.201
2014-12-31,3.25630,75.94570,25.41530,25.41530,27.75960,24.99420,19.14680,0.77090,11.50240,5.87010,62.17940,19.37270,21.74280,14.76040,19.37270,9.38560,0.5057,0.448
2013-12-31,3.10640,75.44710,14.27010,14.27010,16.81850,14.10760,9.73860,0.79340,11.60510,5.82960,62.61110,10.14170,11.71970,7.72640,10.14170,7.86730,0.6408,0.8674
2012-12-31,3.11860,74.34960,15.28320,15.28320,18.46350,15.05180,10.47980,0.74050,9.49960,5.65740,64.51690,10.09620,13.45190,7.76020,10.09620,7.21140,-0.0139,-0.0968
2011-12-31,2.59810,75.30790,18.83520,18.83520,22.47820,18.74780,13.90670,0.73890,12.59920,5.24100,69.64380,13.59390,21.84720,10.27560,13.59380,6.23010,-0.034,-0.1818
2010-12-31,4.17980,78.37680,26.53760,26.53760,30.41570,26.34880,19.18060,0.81170,32.90450,5.91660,61.69040,19.65680,19.79650,15.56850,19.65680,4.94500,0.5855,0.4587
2009-12-31,3.21630,74.75740,-10.88970,-10.88970,-4.75230,-10.85160,-10.01140,0.87920,38.53420,5.72700,63.73330,-11.45230,-11.68630,-8.80220,-11.45230,3.66160,1.0734,0.9693
