,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.36020,0.68520,4.09020,4.09020,3.67960,4.09020,3.36780,0.10490,9.37440,14.21900,0.38370,5.99770,35.02380,1.8352,1.8352
2021-12-31,0.17830,0.26860,11.43220,11.43220,11.20570,11.43220,8.93780,0.09360,9.70490,11.29450,0.86550,7.97470,82.06630,1.7429,1.7429
2020-12-31,0.17110,0.25390,10.21050,10.21050,9.92010,10.21050,7.65160,0.08530,7.24170,8.37340,0.68140,6.00230,83.79000,-1.8523,-1.8523
2019-12-31,0.17890,0.26880,9.76010,9.76010,9.23010,9.76010,8.21750,0.09400,8.90150,10.35320,0.79800,7.30940,72.52180,3.0205,3.0205
2018-12-31,0.20780,0.32670,9.28310,9.28310,8.71640,9.28310,7.33280,0.09880,9.68310,11.77880,0.74580,7.67120,55.24440,0.1881,0.1881
2017-12-31,0.22210,0.34700,5.67500,5.67500,5.27540,5.67500,6.27050,0.08660,8.50350,10.15830,0.69540,6.61500,56.41120,-1.9389,-1.9389
2016-12-31,0.20740,0.31200,7.04260,7.04260,6.28920,7.04260,1.22890,0.06760,5.29970,6.13520,0.39920,4.20060,61.79900,0.8738,0.8738
2015-12-31,0.24470,0.37210,9.21210,9.21210,8.48180,9.21210,8.50140,0.06990,5.93550,6.88980,0.46260,4.48330,62.31070,-1.8794,-1.8794
2014-12-31,0.22010,0.32770,12.00830,12.00830,12.14740,12.00830,8.43880,0.08130,8.73630,10.11200,0.70250,6.81310,64.10300,-0.1182,-0.1182
2013-12-31,0.26900,0.42220,5.94140,5.94140,6.74350,5.94140,4.75960,0.07700,5.46100,6.57760,0.38300,3.99200,55.34260,-1.4838,-1.4838
2012-12-31,0.26400,0.50840,2.11590,2.11590,2.36540,2.11590,1.76380,0.08140,2.02670,2.39410,0.15700,1.49160,59.39160,6.3174,6.3174
2011-12-31,0.32870,0.73800,13.07500,13.07500,13.36260,13.07500,8.76270,0.08820,11.04030,13.90740,0.80270,7.41170,54.71770,0.6418,0.6418
2010-12-31,0.40160,0.95310,7.13730,7.13730,6.19370,7.13730,4.87110,0.07150,5.34540,7.03750,0.35830,3.19860,49.69990,4.3298,4.3298
2009-12-31,0.35600,0.98010,-10.72630,-10.72630,-11.82580,-10.72630,-5.82430,0.07540,-6.97380,-8.21060,-0.43310,-4.49100,40.90940,4.6465,4.6465
