,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.59220,1.57400,-13.45830,-13.45830,-13.85220,-14.96490,-11.85580,0.05600,-71.49280,-75.31280,-0.66390,-22.14600,24.23460,22.5541,22.5541
2021-12-31,0.23780,0.32680,9.92200,9.92200,9.68280,8.51790,7.30630,0.04970,6.93070,7.59710,0.36280,5.28260,114.40570,-1.9475,-1.9475
2020-12-31,0.22740,0.29440,4.05410,4.05410,3.81900,2.42560,2.86140,0.04770,2.19830,2.38520,0.13640,1.69840,118.02110,16.0361,16.0361
2019-12-31,0.23560,0.32340,7.21400,7.21400,7.03440,5.32510,5.13390,0.05160,4.50000,4.94670,0.26470,3.44000,100.11240,-22.1399,-22.1399
2018-12-31,0.28920,0.40690,13.28540,13.28540,13.23060,11.47710,9.99150,0.05510,11.43550,13.05700,0.55040,8.12820,69.70660,5.3665,5.3665
2017-12-31,0.22030,0.30850,9.70050,9.70050,9.53920,7.92590,14.58230,0.05060,12.00210,13.03120,0.73790,9.35810,79.42590,-1.8876,-1.8876
2016-12-31,0.26960,0.36920,13.42090,13.42090,12.87320,10.93770,8.94220,0.05100,8.23320,9.76650,0.45560,6.01320,63.96710,-3.4273,-3.4273
2015-12-31,0.28970,0.40780,12.54050,12.54050,11.99530,10.53640,8.50280,0.05390,8.47470,10.17280,0.45810,6.01980,55.84490,-0.6284,-0.6284
2014-12-31,0.25080,0.35070,16.70360,16.70360,16.15760,14.73370,11.17750,0.05350,9.61880,11.24230,0.59750,7.20610,61.35230,6.5227,6.5227
2013-12-31,0.28340,0.43270,15.84090,15.84090,15.22270,13.62690,10.39350,0.05050,9.24770,11.12800,0.52500,6.62690,51.16830,-1.5086,-1.5086
2012-12-31,0.26650,0.37660,15.96010,15.96010,15.31860,13.59340,11.38280,0.05270,8.58880,10.12600,0.58760,6.30020,55.16890,0.3611,0.3611
2011-12-31,0.29150,0.43440,7.48990,7.48990,6.78510,4.72700,2.07690,0.05280,1.74800,2.11490,0.11370,1.23840,44.97130,-1.3368,-1.3368
2010-12-31,0.29660,0.44900,13.69180,13.69180,12.97170,10.89770,7.05710,0.05370,6.81710,8.92000,0.45040,4.79540,40.56140,2.1078,2.1078
2009-12-31,0.30150,0.46150,-3.81220,-3.81220,-4.70640,-6.13010,-6.11840,0.04790,-3.80940,-4.77730,-0.23390,-2.47760,38.71310,3.2804,3.2804
