,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.15710,0.51090,1.06940,100.00000,20.65640,20.65640,24.12650,19.70080,14.72010,0.61940,3.54070,103.08780,28.71900,-38.40030,9.22760,14.04710,21.34700,0.0076,-0.1317
2021-12-31,1.24200,0.49350,0.97580,100.00000,21.75580,21.75580,25.52470,21.23110,15.85770,0.57640,3.54820,102.87030,28.28370,-40.15180,9.23000,14.32630,22.28640,0.2483,0.1366
2020-12-31,1.24390,0.53830,1.22170,100.00000,17.80070,17.80070,22.10290,16.21580,11.70460,0.52120,3.23390,112.86520,22.09500,-22.84500,6.19080,10.20140,18.23820,1.9851,2.1293
2019-12-31,1.05820,0.57490,1.50520,100.00000,16.07620,16.07620,19.96160,14.64690,10.46120,0.53100,3.18030,114.76940,22.32150,-18.65920,5.65420,9.48940,15.77150,-0.1311,-0.3464
2018-12-31,1.20510,0.42080,0.76790,100.00000,18.46820,18.46820,21.77260,15.01000,11.03680,0.69280,3.46310,105.39830,22.02000,-48.37780,7.73940,12.75390,15.05250,1.1041,1.062
2017-12-31,1.30500,0.41250,0.73730,100.00000,18.93180,18.93180,22.36170,18.84630,10.63890,0.68650,3.39320,107.56880,20.29030,-51.69460,7.39150,11.92070,14.62910,-0.1828,-0.2741
2016-12-31,1.19650,0.41750,0.76640,100.00000,18.40130,18.40130,21.71680,18.77220,13.38280,0.72630,3.62640,100.65060,28.61930,-55.69350,9.86810,16.67130,12.20230,0.3078,0.4352
2015-12-31,1.36030,0.40000,0.66860,100.00000,18.76210,18.76210,22.04300,17.89340,12.40210,0.70780,3.71450,98.26380,24.78040,-70.42620,8.98110,14.86730,12.65000,-0.3094,-0.252
2014-12-31,1.50480,0.32070,0.47370,100.00000,17.76700,17.76700,20.76290,15.88290,11.31190,0.72790,3.83510,95.17450,20.62250,-183.87500,8.26730,14.00820,13.20580,1.4286,1.4783
2013-12-31,1.65400,0.24740,0.37050,100.00000,16.93990,16.93990,19.85970,16.09170,11.06760,0.72210,3.70420,98.53600,17.29150,226.06560,8.12130,13.01440,14.58600,0.0083,-0.1326
2012-12-31,1.67310,0.28690,0.44170,100.00000,15.33880,15.33880,18.26570,14.22340,9.86250,0.73210,3.89930,93.60700,18.22590,-183.81680,7.39190,12.99660,12.10980,-0.6995,-0.7656
2011-12-31,1.51060,0.30990,0.49290,100.00000,14.21140,14.21140,17.09180,12.18120,8.61530,0.74580,3.96630,92.02590,16.53200,-95.99220,6.35430,11.40800,11.01680,1.7672,1.7516
2010-12-31,1.69920,0.32050,0.47300,100.00000,8.90050,8.90050,12.28440,7.28910,8.00000,0.68910,3.47610,105.00240,8.80750,-138.48040,3.69040,5.98450,11.86840,0.1058,0.1874
2009-12-31,1.32730,0.34100,0.61270,100.00000,7.91370,7.91370,14.83060,5.61490,2.26830,0.64100,3.60900,101.13520,9.05680,-149.15730,3.46220,5.96830,11.06910,1.2214,0.6527
