,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.40140,0.67070,35.17950,25.97060,0.03330,9.56360,13.53130,0.91430,5.23790,48.12280,3.2983,3.3247
2021-12-31,0.22840,0.29910,42.17910,31.25530,0.03750,10.83340,14.27960,1.23080,7.64040,55.47960,5.0631,5.0486
2020-12-31,0.26910,0.37880,24.54150,17.96180,0.02880,5.10430,6.76570,0.57650,3.40760,53.07230,-3.5017,-3.5667
2019-12-31,0.38750,0.64510,36.91370,28.17320,0.03680,8.68110,11.81630,1.08070,4.94100,51.25820,0.0831,0.3554
2018-12-31,0.43340,0.82830,37.62500,29.16240,0.03610,8.61490,12.38660,1.07220,4.68400,44.67090,-0.0605,-0.0412
2017-12-31,0.36730,0.71220,35.49940,30.41220,0.03540,8.25050,12.34400,1.08440,5.15690,41.29880,0.8945,0.65
2016-12-31,0.39310,0.86840,31.39580,21.10110,0.03270,5.35900,8.11900,0.69890,3.21170,38.57180,0.5605,0.4997
2015-12-31,0.33480,0.67790,27.93010,18.42110,0.03270,4.33010,6.57790,0.60780,2.84440,37.22430,-0.2089,-0.1583
2014-12-31,0.19410,0.78740,27.21030,18.56220,0.03510,4.48930,6.98030,0.65110,3.61770,35.29690,-2.2381,-2.2445
2013-12-31,0.06820,0.44000,-82.35570,-81.35840,0.03450,-17.84750,-27.80840,-2.80470,-16.63030,34.27870,1.6697,1.7357
2012-12-31,0.02800,0.19880,22.85200,14.34950,0.03530,2.66480,5.01640,0.50610,2.59030,43.08770,-1.3661,-1.4928
2011-12-31,,,18.75150,12.19570,,,,,,,4.4268,4.2464
